Substructure,Frequency1
O=CNCC(=O)NC(CS)C(=O)O,2
CC(=O)NCC(=O)NCCS,2
CSC1NC(=O)C1NC(C)=O,3
CSCCNC(=O)CN,2
cCC(=O)NCCSC,3
CC(C(=O)O)N1CC(NC=O)C1=O,2
CCNC(C)=O.CCC(=O)O,2
CC(=O)NCC(=O)NC(C)C(=O)O,2
CCN1CC(NC(C)=O)C1=O,2
CC.CCNC(=O)CN,1
cCC(=O)NCC.CC,2
CCNC(=O)CNC(=O)CN,1
cCC(=O)NCC(=O)NCC,2
O=CNC1C(=O)N(CC(=O)O)C1S,3
CC(=O)NC1C(=O)N(C)C1S,2
NCC(=O)NC1C(=O)NC1S,2
cCC(=O)NC1C(=O)NC1S,3
CC(=O)O.CC(=O)NCCS,3
C.NCC(=O)NCCS,2
C.cCC(=O)NCCS,3
cC(N)C(=O)NCCS,2
ccCC(=O)NCCS,3
CC(=O)NC1CN(CC(=O)O)C1=O,3
CN1CC(NC(=O)CN)C1=O,2
cCC(=O)NC1CN(C)C1=O,3
cC(N)C(=O)NC1CNC1=O,2
ccCC(=O)NC1CNC1=O,3
CCNC(=O)CN.CC(=O)O,1
cCC(=O)NCC.CC(=O)O,3
C.cC(N)C(=O)NCC,2
C.ccCC(=O)NCC,3
ccC(N)C(=O)NCC,2
cc(c)CC(=O)NCC,3
cccCC(=O)NCC,3
NCC(=O)NCC(=O)NCC(=O)O,2
cCC(=O)NCC(=O)NCC(=O)O,3
cC(N)C(=O)NCC(=O)NC,1
ccCC(=O)NCC(=O)NC,2
ccC(N)C(=O)NCC(N)=O,2
cc(c)CC(=O)NCC(N)=O,3
cccCC(=O)NCC(N)=O,3
cc(c)C(N)C(=O)NC,2
cccC(N)C(=O)NC,2
ccc(c)CC(=O)NC,3
CNC(=O)CccccO,1
ccc(c)C(N)C(N)=O,2
NC(=O)C(N)ccccO,1
ccc(cc)CC(N)=O,3
cc(cccO)CC(N)=O,1
cc(O)cccCC(N)=O,1
ccc(cc)CN,2
cc(cccO)CN,1
cc(O)cccCN,1
Cc1ccc(O)cc1,1
CC1(C)CN2C(=O)CC2S1,2
CCSC(C)(C)CC(=O)O,2
CC(C)(C)SCCNC=O,2
CC1(C)SCN(C=O)C1C(=O)O,2
CC(=O)NC(C(=O)O)C(C)(C)S,2
CC(C)(S)CNC(=O)CNC=O,2
CC(C)SC1NC(=O)C1NC=O,2
CC(=O)NCCSC(C)C,2
CC(C)C(C(=O)O)N1CCC1=O,2
CCNC=O.CC(C)CC(=O)O,2
CC(C)C(NC(=O)CNC=O)C(=O)O,2
CC(C)CN1CC(NC=O)C1=O,2
CCNC(C)=O.CC(C)C,2
CC(=O)NCC(=O)NCC(C)C,2
CC1SC2CC(=O)N2C1C(=O)O,2
CC1CN2C(=O)C(NC=O)C2S1,2
CC(CC(=O)O)SCCNC=O,2
CC(S)C(NC(=O)CNC=O)C(=O)O,2
CC(=O)NCC(=O)NCC(C)S,2
CCSC1NC(=O)C1NC(C)=O,3
CCSCCNC(=O)CN,2
cCC(=O)NCCSCC,2
CCC(C(=O)O)N1CC(NC=O)C1=O,2
CCCC(=O)O.CCNC(C)=O,2
CCC(NC(=O)CNC(C)=O)C(=O)O,2
CCCN1CC(NC(C)=O)C1=O,2
CCC.CCNC(=O)CN,1
cCC(=O)NCC.CCC,2
CCCNC(=O)CNC(=O)CN,1
cCC(=O)NCC(=O)NCCC,2
O=CNC1C(=O)N2C(C(=O)O)CSC12,2
CC(=O)NC1C(=O)N2CCSC12,2
CC(=O)NCCSCCC(=O)O,2
CC(=O)NCC(=O)NC(CS)C(=O)O,2
NCC(=O)NCC(=O)NCCS,1
cCC(=O)NCC(=O)NCCS,2
CSC1NC(=O)C1NC(=O)CN,2
cCC(=O)NC1C(=O)NC1SC,3
cC(N)C(=O)NCCSC,2
ccCC(=O)NCCSC,3
CC(=O)NC1CN(C(C)C(=O)O)C1=O,2
CCNC(=O)CN.CCC(=O)O,1
cCC(=O)NCC.CCC(=O)O,2
CC(NC(=O)CNC(=O)CN)C(=O)O,1
cCC(=O)NCC(=O)NC(C)C(=O)O,2
CCN1CC(NC(=O)CN)C1=O,1
cCC(=O)NC1CN(CC)C1=O,2
cC(N)C(=O)NCC.CC,1
ccCC(=O)NCC.CC,2
cC(N)C(=O)NCC(=O)NCC,1
ccCC(=O)NCC(=O)NCC,2
CC(=O)NC1C(=O)N(CC(=O)O)C1S,3
CN1C(=O)C(NC(=O)CN)C1S,2
cCC(=O)NC1C(=O)N(C)C1S,3
cC(N)C(=O)NC1C(=O)NC1S,2
ccCC(=O)NC1C(=O)NC1S,3
CC(=O)O.NCC(=O)NCCS,2
cCC(=O)NCCS.CC(=O)O,3
C.cC(N)C(=O)NCCS,2
C.ccCC(=O)NCCS,3
ccC(N)C(=O)NCCS,2
cc(c)CC(=O)NCCS,3
cccCC(=O)NCCS,3
NCC(=O)NC1CN(CC(=O)O)C1=O,2
cCC(=O)NC1CN(CC(=O)O)C1=O,3
cC(N)C(=O)NC1CN(C)C1=O,2
ccCC(=O)NC1CN(C)C1=O,2
ccC(N)C(=O)NC1CNC1=O,2
cc(c)CC(=O)NC1CNC1=O,3
cccCC(=O)NC1CNC1=O,3
cC(N)C(=O)NCC.CC(=O)O,1
ccCC(=O)NCC.CC(=O)O,2
C.ccC(N)C(=O)NCC,2
C.cc(c)CC(=O)NCC,3
C.cccCC(=O)NCC,3
cc(c)C(N)C(=O)NCC,2
cccC(N)C(=O)NCC,2
ccc(c)CC(=O)NCC,3
CCNC(=O)CccccO,1
cC(N)C(=O)NCC(=O)NCC(=O)O,2
ccCC(=O)NCC(=O)NCC(=O)O,3
ccC(N)C(=O)NCC(=O)NC,1
cc(c)CC(=O)NCC(=O)NC,2
cccCC(=O)NCC(=O)NC,2
cc(c)C(N)C(=O)NCC(N)=O,2
cccC(N)C(=O)NCC(N)=O,2
ccc(c)CC(=O)NCC(N)=O,3
NC(=O)CNC(=O)CccccO,1
ccc(c)C(N)C(=O)NC,2
CNC(=O)C(N)ccccO,1
cc(cccO)CC(=O)NC,1
ccc(cc)CC(=O)NC,3
cc(O)cccCC(=O)NC,1
cc(cccO)C(N)C(N)=O,1
ccc(cc)C(N)C(N)=O,2
cc(O)cccC(N)C(N)=O,1
NC(=O)Cc1ccc(O)cc1,1
NCc1ccc(O)cc1,1
CC1(C)SC2CC(=O)N2C1C(=O)O,2
CC1(C)CN2C(=O)C(NC=O)C2S1,2
CC(C)(CC(=O)O)SCCNC=O,2
CC(=O)NCCSC(C)(C)C,2
CC(C)(S)C(NC(=O)CNC=O)C(=O)O,2
CC(=O)NCC(=O)NCC(C)(C)S,2
CC(=O)NC1C(=O)NC1SC(C)C,2
CC(C)SCCNC(=O)CN,1
cCC(=O)NCCSC(C)C,2
CC(C)C(C(=O)O)N1CC(NC=O)C1=O,2
CCNC(C)=O.CC(C)CC(=O)O,2
CC(=O)NCC(=O)NC(C(=O)O)C(C)C,2
CC(=O)NC1CN(CC(C)C)C1=O,2
CCNC(=O)CN.CC(C)C,1
cCC(=O)NCC.CC(C)C,2
CC(C)CNC(=O)CNC(=O)CN,1
cCC(=O)NCC(=O)NCC(C)C,2
CC1SC2C(NC=O)C(=O)N2C1C(=O)O,2
CC(=O)NC1C(=O)N2CC(C)SC12,2
CC(=O)NCCSC(C)CC(=O)O,2
CC(=O)NCC(=O)NC(C(=O)O)C(C)S,2
CC(S)CNC(=O)CNC(=O)CN,1
cCC(=O)NCC(=O)NCC(C)S,2
CCSC1NC(=O)C1NC(=O)CN,2
cCC(=O)NC1C(=O)NC1SCC,2
cC(N)C(=O)NCCSCC,1
ccCC(=O)NCCSCC,2
CCC(C(=O)O)N1CC(NC(C)=O)C1=O,2
CCCC(=O)O.CCNC(=O)CN,1
cCC(=O)NCC.CCCC(=O)O,2
CCC(NC(=O)CNC(=O)CN)C(=O)O,1
cCC(=O)NCC(=O)NC(CC)C(=O)O,2
CCCN1CC(NC(=O)CN)C1=O,1
cCC(=O)NC1CN(CCC)C1=O,2
cC(N)C(=O)NCC.CCC,1
ccCC(=O)NCC.CCC,2
cC(N)C(=O)NCC(=O)NCCC,1
ccCC(=O)NCC(=O)NCCC,2
CC(=O)NC1C(=O)N2C(C(=O)O)CSC12,2
NCC(=O)NC1C(=O)N2CCSC12,1
cCC(=O)NC1C(=O)N2CCSC12,2
NCC(=O)NCCSCCC(=O)O,1
cCC(=O)NCCSCCC(=O)O,2
NCC(=O)NCC(=O)NC(CS)C(=O)O,1
cCC(=O)NCC(=O)NC(CS)C(=O)O,2
cC(N)C(=O)NCC(=O)NCCS,1
ccCC(=O)NCC(=O)NCCS,2
cC(N)C(=O)NC1C(=O)NC1SC,2
ccCC(=O)NC1C(=O)NC1SC,3
ccC(N)C(=O)NCCSC,2
cc(c)CC(=O)NCCSC,3
cccCC(=O)NCCSC,3
CC(C(=O)O)N1CC(NC(=O)CN)C1=O,1
cCC(=O)NC1CN(C(C)C(=O)O)C1=O,2
cC(N)C(=O)NCC.CCC(=O)O,1
ccCC(=O)NCC.CCC(=O)O,2
cC(N)C(=O)NCC(=O)NC(C)C(=O)O,1
ccCC(=O)NCC(=O)NC(C)C(=O)O,2
cC(N)C(=O)NC1CN(CC)C1=O,1
ccCC(=O)NC1CN(CC)C1=O,2
ccC(N)C(=O)NCC.CC,1
cc(c)CC(=O)NCC.CC,2
cccCC(=O)NCC.CC,2
ccC(N)C(=O)NCC(=O)NCC,1
cc(c)CC(=O)NCC(=O)NCC,2
cccCC(=O)NCC(=O)NCC,2
NCC(=O)NC1C(=O)N(CC(=O)O)C1S,2
cCC(=O)NC1C(=O)N(CC(=O)O)C1S,3
cC(N)C(=O)NC1C(=O)N(C)C1S,2
ccCC(=O)NC1C(=O)N(C)C1S,2
ccC(N)C(=O)NC1C(=O)NC1S,2
cc(c)CC(=O)NC1C(=O)NC1S,3
cccCC(=O)NC1C(=O)NC1S,3
cC(N)C(=O)NCCS.CC(=O)O,1
ccCC(=O)NCCS.CC(=O)O,2
C.ccC(N)C(=O)NCCS,2
C.cc(c)CC(=O)NCCS,3
C.cccCC(=O)NCCS,3
cc(c)C(N)C(=O)NCCS,2
cccC(N)C(=O)NCCS,2
ccc(c)CC(=O)NCCS,3
O=C(CccccO)NCCS,1
cC(N)C(=O)NC1CN(CC(=O)O)C1=O,2
ccCC(=O)NC1CN(CC(=O)O)C1=O,3
ccC(N)C(=O)NC1CN(C)C1=O,1
cc(c)CC(=O)NC1CN(C)C1=O,2
cccCC(=O)NC1CN(C)C1=O,2
cc(c)C(N)C(=O)NC1CNC1=O,2
cccC(N)C(=O)NC1CNC1=O,2
ccc(c)CC(=O)NC1CNC1=O,3
O=C(CccccO)NC1CNC1=O,1
ccC(N)C(=O)NCC.CC(=O)O,1
cc(c)CC(=O)NCC.CC(=O)O,2
cccCC(=O)NCC.CC(=O)O,2
C.cc(c)C(N)C(=O)NCC,2
C.cccC(N)C(=O)NCC,2
C.ccc(c)CC(=O)NCC,3
C.CCNC(=O)CccccO,1
ccc(c)C(N)C(=O)NCC,2
CCNC(=O)C(N)ccccO,1
cc(cccO)CC(=O)NCC,1
ccc(cc)CC(=O)NCC,3
cc(O)cccCC(=O)NCC,1
ccC(N)C(=O)NCC(=O)NCC(=O)O,2
cc(c)CC(=O)NCC(=O)NCC(=O)O,3
cccCC(=O)NCC(=O)NCC(=O)O,3
cc(c)C(N)C(=O)NCC(=O)NC,1
cccC(N)C(=O)NCC(=O)NC,1
ccc(c)CC(=O)NCC(=O)NC,2
CNC(=O)CNC(=O)CccccO,1
ccc(c)C(N)C(=O)NCC(N)=O,2
NC(=O)CNC(=O)C(N)ccccO,1
cc(cccO)CC(=O)NCC(N)=O,1
ccc(cc)CC(=O)NCC(N)=O,3
cc(O)cccCC(=O)NCC(N)=O,1
cc(cccO)C(N)C(=O)NC,1
ccc(cc)C(N)C(=O)NC,2
cc(O)cccC(N)C(=O)NC,1
CNC(=O)Cc1ccc(O)cc1,1
NC(=O)C(N)c1ccc(O)cc1,1
CC1(C)SC2C(NC=O)C(=O)N2C1C(=O)O,2
CC(=O)NC1C(=O)N2CC(C)(C)SC12,2
CC(=O)NCCSC(C)(C)CC(=O)O,2
CC(C)(C)SCCNC(=O)CN,1
cCC(=O)NCCSC(C)(C)C,2
CC(=O)NCC(=O)NC(C(=O)O)C(C)(C)S,2
CC(C)(S)CNC(=O)CNC(=O)CN,1
cCC(=O)NCC(=O)NCC(C)(C)S,2
CC(C)SC1NC(=O)C1NC(=O)CN,1
cCC(=O)NC1C(=O)NC1SC(C)C,2
cC(N)C(=O)NCCSC(C)C,1
ccCC(=O)NCCSC(C)C,2
CC(=O)NC1CN(C(C(=O)O)C(C)C)C1=O,2
CCNC(=O)CN.CC(C)CC(=O)O,1
cCC(=O)NCC.CC(C)CC(=O)O,2
CC(C)C(NC(=O)CNC(=O)CN)C(=O)O,1
cCC(=O)NCC(=O)NC(C(=O)O)C(C)C,2
CC(C)CN1CC(NC(=O)CN)C1=O,1
cCC(=O)NC1CN(CC(C)C)C1=O,2
cC(N)C(=O)NCC.CC(C)C,1
ccCC(=O)NCC.CC(C)C,2
cC(N)C(=O)NCC(=O)NCC(C)C,1
ccCC(=O)NCC(=O)NCC(C)C,2
CC(=O)NC1C(=O)N2C1SC(C)C2C(=O)O,2
CC1CN2C(=O)C(NC(=O)CN)C2S1,1
cCC(=O)NC1C(=O)N2CC(C)SC12,2
CC(CC(=O)O)SCCNC(=O)CN,1
cCC(=O)NCCSC(C)CC(=O)O,2
CC(S)C(NC(=O)CNC(=O)CN)C(=O)O,1
cCC(=O)NCC(=O)NC(C(=O)O)C(C)S,2
cC(N)C(=O)NCC(=O)NCC(C)S,1
ccCC(=O)NCC(=O)NCC(C)S,2
cC(N)C(=O)NC1C(=O)NC1SCC,1
ccCC(=O)NC1C(=O)NC1SCC,2
ccC(N)C(=O)NCCSCC,1
cc(c)CC(=O)NCCSCC,2
cccCC(=O)NCCSCC,2
CCC(C(=O)O)N1CC(NC(=O)CN)C1=O,1
cCC(=O)NC1CN(C(CC)C(=O)O)C1=O,2
cC(N)C(=O)NCC.CCCC(=O)O,1
ccCC(=O)NCC.CCCC(=O)O,2
cC(N)C(=O)NCC(=O)NC(CC)C(=O)O,1
ccCC(=O)NCC(=O)NC(CC)C(=O)O,2
cC(N)C(=O)NC1CN(CCC)C1=O,1
ccCC(=O)NC1CN(CCC)C1=O,2
ccC(N)C(=O)NCC.CCC,1
cc(c)CC(=O)NCC.CCC,2
cccCC(=O)NCC.CCC,2
ccC(N)C(=O)NCC(=O)NCCC,1
cc(c)CC(=O)NCC(=O)NCCC,2
cccCC(=O)NCC(=O)NCCC,2
NCC(=O)NC1C(=O)N2C(C(=O)O)CSC12,1
cCC(=O)NC1C(=O)N2C(C(=O)O)CSC12,2
cC(N)C(=O)NC1C(=O)N2CCSC12,1
ccCC(=O)NC1C(=O)N2CCSC12,2
cC(N)C(=O)NCCSCCC(=O)O,1
ccCC(=O)NCCSCCC(=O)O,2
cC(N)C(=O)NCC(=O)NC(CS)C(=O)O,1
ccCC(=O)NCC(=O)NC(CS)C(=O)O,2
ccC(N)C(=O)NCC(=O)NCCS,1
cc(c)CC(=O)NCC(=O)NCCS,2
cccCC(=O)NCC(=O)NCCS,2
ccC(N)C(=O)NC1C(=O)NC1SC,2
cc(c)CC(=O)NC1C(=O)NC1SC,3
cccCC(=O)NC1C(=O)NC1SC,3
cc(c)C(N)C(=O)NCCSC,2
cccC(N)C(=O)NCCSC,2
ccc(c)CC(=O)NCCSC,3
CSCCNC(=O)CccccO,1
cC(N)C(=O)NC1CN(C(C)C(=O)O)C1=O,1
ccCC(=O)NC1CN(C(C)C(=O)O)C1=O,2
ccC(N)C(=O)NCC.CCC(=O)O,1
cc(c)CC(=O)NCC.CCC(=O)O,2
cccCC(=O)NCC.CCC(=O)O,2
ccC(N)C(=O)NCC(=O)NC(C)C(=O)O,1
cc(c)CC(=O)NCC(=O)NC(C)C(=O)O,2
cccCC(=O)NCC(=O)NC(C)C(=O)O,2
ccC(N)C(=O)NC1CN(CC)C1=O,1
cc(c)CC(=O)NC1CN(CC)C1=O,2
cccCC(=O)NC1CN(CC)C1=O,2
cc(c)C(N)C(=O)NCC.CC,1
cccC(N)C(=O)NCC.CC,1
ccc(c)CC(=O)NCC.CC,2
CC.CCNC(=O)CccccO,1
cc(c)C(N)C(=O)NCC(=O)NCC,1
cccC(N)C(=O)NCC(=O)NCC,1
ccc(c)CC(=O)NCC(=O)NCC,2
CCNC(=O)CNC(=O)CccccO,1
cC(N)C(=O)NC1C(=O)N(CC(=O)O)C1S,2
ccCC(=O)NC1C(=O)N(CC(=O)O)C1S,3
ccC(N)C(=O)NC1C(=O)N(C)C1S,1
cc(c)CC(=O)NC1C(=O)N(C)C1S,2
cccCC(=O)NC1C(=O)N(C)C1S,2
cc(c)C(N)C(=O)NC1C(=O)NC1S,2
cccC(N)C(=O)NC1C(=O)NC1S,2
ccc(c)CC(=O)NC1C(=O)NC1S,3
O=C(CccccO)NC1C(=O)NC1S,1
ccC(N)C(=O)NCCS.CC(=O)O,1
cc(c)CC(=O)NCCS.CC(=O)O,2
cccCC(=O)NCCS.CC(=O)O,2
C.cc(c)C(N)C(=O)NCCS,2
C.cccC(N)C(=O)NCCS,2
C.ccc(c)CC(=O)NCCS,3
C.O=C(CccccO)NCCS,1
ccc(c)C(N)C(=O)NCCS,2
NC(ccccO)C(=O)NCCS,1
ccc(cc)CC(=O)NCCS,3
cc(cccO)CC(=O)NCCS,1
cc(O)cccCC(=O)NCCS,1
ccC(N)C(=O)NC1CN(CC(=O)O)C1=O,2
cc(c)CC(=O)NC1CN(CC(=O)O)C1=O,3
cccCC(=O)NC1CN(CC(=O)O)C1=O,3
cc(c)C(N)C(=O)NC1CN(C)C1=O,1
cccC(N)C(=O)NC1CN(C)C1=O,1
ccc(c)CC(=O)NC1CN(C)C1=O,2
CN1CC(NC(=O)CccccO)C1=O,1
ccc(c)C(N)C(=O)NC1CNC1=O,2
NC(ccccO)C(=O)NC1CNC1=O,1
ccc(cc)CC(=O)NC1CNC1=O,3
cc(cccO)CC(=O)NC1CNC1=O,1
cc(O)cccCC(=O)NC1CNC1=O,1
cc(c)C(N)C(=O)NCC.CC(=O)O,1
cccC(N)C(=O)NCC.CC(=O)O,1
ccc(c)CC(=O)NCC.CC(=O)O,2
CCNC(=O)CccccO.CC(=O)O,1
C.ccc(c)C(N)C(=O)NCC,2
C.CCNC(=O)C(N)ccccO,1
C.ccc(cc)CC(=O)NCC,3
C.cc(cccO)CC(=O)NCC,1
C.cc(O)cccCC(=O)NCC,1
ccc(cc)C(N)C(=O)NCC,2
cc(cccO)C(N)C(=O)NCC,1
cc(O)cccC(N)C(=O)NCC,1
CCNC(=O)Cc1ccc(O)cc1,1
cc(c)C(N)C(=O)NCC(=O)NCC(=O)O,2
cccC(N)C(=O)NCC(=O)NCC(=O)O,2
ccc(c)CC(=O)NCC(=O)NCC(=O)O,3
O=C(O)CNC(=O)CNC(=O)CccccO,1
ccc(c)C(N)C(=O)NCC(=O)NC,1
CNC(=O)CNC(=O)C(N)ccccO,1
ccc(cc)CC(=O)NCC(=O)NC,2
cc(cccO)CC(=O)NCC(=O)NC,1
cc(O)cccCC(=O)NCC(=O)NC,1
ccc(cc)C(N)C(=O)NCC(N)=O,2
cc(cccO)C(N)C(=O)NCC(N)=O,1
cc(O)cccC(N)C(=O)NCC(N)=O,1
NC(=O)CNC(=O)Cc1ccc(O)cc1,1
CNC(=O)C(N)c1ccc(O)cc1,1
CC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2
CC1(C)CN2C(=O)C(NC(=O)CN)C2S1,1
cCC(=O)NC1C(=O)N2CC(C)(C)SC12,2
CC(C)(CC(=O)O)SCCNC(=O)CN,1
cCC(=O)NCCSC(C)(C)CC(=O)O,2
cC(N)C(=O)NCCSC(C)(C)C,1
ccCC(=O)NCCSC(C)(C)C,2
CC(C)(S)C(NC(=O)CNC(=O)CN)C(=O)O,1
cCC(=O)NCC(=O)NC(C(=O)O)C(C)(C)S,2
cC(N)C(=O)NCC(=O)NCC(C)(C)S,1
ccCC(=O)NCC(=O)NCC(C)(C)S,2
cC(N)C(=O)NC1C(=O)NC1SC(C)C,1
ccCC(=O)NC1C(=O)NC1SC(C)C,2
ccC(N)C(=O)NCCSC(C)C,1
cc(c)CC(=O)NCCSC(C)C,2
cccCC(=O)NCCSC(C)C,2
CC(C)C(C(=O)O)N1CC(NC(=O)CN)C1=O,1
cCC(=O)NC1CN(C(C(=O)O)C(C)C)C1=O,2
cC(N)C(=O)NCC.CC(C)CC(=O)O,1
ccCC(=O)NCC.CC(C)CC(=O)O,2
cC(N)C(=O)NCC(=O)NC(C(=O)O)C(C)C,1
ccCC(=O)NCC(=O)NC(C(=O)O)C(C)C,2
cC(N)C(=O)NC1CN(CC(C)C)C1=O,1
ccCC(=O)NC1CN(CC(C)C)C1=O,2
ccC(N)C(=O)NCC.CC(C)C,1
cc(c)CC(=O)NCC.CC(C)C,2
cccCC(=O)NCC.CC(C)C,2
ccC(N)C(=O)NCC(=O)NCC(C)C,1
cc(c)CC(=O)NCC(=O)NCC(C)C,2
cccCC(=O)NCC(=O)NCC(C)C,2
CC1SC2C(NC(=O)CN)C(=O)N2C1C(=O)O,1
cCC(=O)NC1C(=O)N2C1SC(C)C2C(=O)O,2
