,Substructure,Frequency0,Frequency1,Frequency2
2207,C=C(C(=O)O)N1CC(NC(=O)C(N)cccc)C1=O,0.0,0.0,1.0
2208,C=C(C(=O)O)N1CC(NC(=O)Cc(c)ccc)C1=O,0.0,0.0,1.0
2209,C=C(C(=O)O)N1CC(NC(=O)Cc(cc)cc)C1=O,0.0,0.0,1.0
2210,C=C(C(=O)O)N1CC(NC(=O)Cccccc)C1=O,0.0,0.0,1.0
2211,C=C(NC(=O)CNC(=O)C(N)c(c)ccc)C(=O)O,0.0,0.0,1.0
2212,C=C(NC(=O)CNC(=O)C(N)c(cc)cc)C(=O)O,0.0,0.0,1.0
2213,C=C(NC(=O)CNC(=O)C(N)ccccc)C(=O)O,0.0,0.0,1.0
2214,C=C(NC(=O)CNC(=O)Cc1ccccc1)C(=O)O,0.0,0.0,1.0
2215,C=CN1C(=O)C(NC(=O)C(N)c(c)cc)C1S,0.0,0.0,1.0
2216,C=CN1C(=O)C(NC(=O)C(N)cccc)C1S,0.0,0.0,1.0
2217,C=CN1C(=O)C(NC(=O)Cc(c)ccc)C1S,0.0,0.0,1.0
2218,C=CN1C(=O)C(NC(=O)Cc(cc)cc)C1S,0.0,0.0,1.0
2219,C=CN1C(=O)C(NC(=O)Cccccc)C1S,0.0,0.0,1.0
2220,C=CN1CC(NC(=O)C(N)c(c)ccc)C1=O,0.0,0.0,1.0
2221,C=CN1CC(NC(=O)C(N)c(cc)cc)C1=O,0.0,0.0,1.0
2222,C=CN1CC(NC(=O)C(N)ccccc)C1=O,0.0,0.0,1.0
2223,C=CN1CC(NC(=O)Cc2ccccc2)C1=O,0.0,0.0,1.0
2224,C=CNC(=O)CNC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2225,CCSC1NC(=O)C1NC(=O)C(N)c(c)cc,0.0,0.0,1.0
2226,CCSC1NC(=O)C1NC(=O)C(N)cccc,0.0,0.0,1.0
2227,CCSC1NC(=O)C1NC(=O)Cc(c)ccc,0.0,0.0,1.0
2228,CCSC1NC(=O)C1NC(=O)Cc(cc)cc,0.0,0.0,1.0
2229,CCSC1NC(=O)C1NC(=O)Cccccc,0.0,0.0,1.0
2230,CCSCCNC(=O)C(N)c(c)ccc,0.0,0.0,1.0
2231,CCSCCNC(=O)C(N)c(cc)cc,0.0,0.0,1.0
2232,CCSCCNC(=O)C(N)ccccc,0.0,0.0,1.0
2233,CCSCCNC(=O)Cc1ccccc1,0.0,0.0,2.0
2234,cc(c)C(N)C(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2235,cccC(N)C(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2236,ccc(c)CC(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2237,ccccCC(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2238,ccccC(N)C(=O)NC1C(=O)N(CC(=O)O)C1S,0.0,0.0,1.0
2239,cccc(c)CC(=O)NC1C(=O)N(CC(=O)O)C1S,0.0,0.0,2.0
2240,cccccCC(=O)NC1C(=O)N(CC(=O)O)C1S,0.0,0.0,2.0
2241,cccc(c)C(N)C(=O)NC1CN(CC(=O)O)C1=O,0.0,0.0,1.0
2242,cccccC(N)C(=O)NC1CN(CC(=O)O)C1=O,0.0,0.0,1.0
2243,O=C(O)CN1CC(NC(=O)Cc2ccccc2)C1=O,0.0,0.0,2.0
2244,NC(C(=O)NCC(=O)NCC(=O)O)c1ccccc1,0.0,0.0,1.0
2245,CN1C(=O)C(NC(=O)C(N)c(c)cc)C1SC,0.0,0.0,1.0
2246,CN1C(=O)C(NC(=O)C(N)cccc)C1SC,0.0,0.0,1.0
2247,CN1C(=O)C(NC(=O)Cc(c)ccc)C1SC,0.0,0.0,1.0
2248,CN1C(=O)C(NC(=O)Cc(cc)cc)C1SC,0.0,0.0,1.0
2249,CN1C(=O)C(NC(=O)Cccccc)C1SC,0.0,0.0,1.0
2250,CN1C(=O)C(NC(=O)C(N)c(c)ccc)C1S,0.0,0.0,1.0
2251,CN1C(=O)C(NC(=O)C(N)c(cc)cc)C1S,0.0,0.0,1.0
2252,CN1C(=O)C(NC(=O)C(N)ccccc)C1S,0.0,0.0,1.0
2253,CN1C(=O)C(NC(=O)Cc2ccccc2)C1S,0.0,0.0,2.0
2254,CN1CC(NC(=O)C(N)c2ccccc2)C1=O,0.0,0.0,1.0
2255,cccc(c)C(N)C(=O)NC1C(=O)NC1SC,0.0,0.0,1.0
2256,cccccC(N)C(=O)NC1C(=O)NC1SC,0.0,0.0,1.0
2257,NC(C(=O)NC1C(=O)NC1S)c1ccccc1,0.0,0.0,1.0
2258,CSC1NC(=O)C1NC(=O)Cc1ccccc1,0.0,0.0,2.0
2259,CSCCNC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2260,ccC(N)C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2261,cc(c)CC(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2262,cccCC(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2263,cc(c)C(N)C(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2264,cccC(N)C(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2265,ccc(c)CC(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2266,ccccCC(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2267,cc(c)C(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2268,cccC(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2269,ccc(c)CC(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2270,ccccCC(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2271,ccc(c)C(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)C,0.0,0.0,1.0
2272,ccccC(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)C,0.0,0.0,1.0
2273,cccc(c)CC(=O)NCC(=O)NC(C(=O)O)=C(C)C,0.0,0.0,1.0
2274,ccc(cc)CC(=O)NCC(=O)NC(C(=O)O)=C(C)C,0.0,0.0,1.0
2275,cccccCC(=O)NCC(=O)NC(C(=O)O)=C(C)C,0.0,0.0,1.0
2276,cc(c)C(N)C(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2277,cccC(N)C(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2278,ccc(c)CC(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2279,ccccCC(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2280,cc(c)C(N)C(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2281,cccC(N)C(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2282,ccc(c)CC(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2283,ccccCC(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2284,ccc(c)C(N)C(=O)NC1CN(C=C(C)C)C1=O,0.0,0.0,1.0
2285,ccccC(N)C(=O)NC1CN(C=C(C)C)C1=O,0.0,0.0,1.0
2286,cccc(c)CC(=O)NC1CN(C=C(C)C)C1=O,0.0,0.0,1.0
2287,ccc(cc)CC(=O)NC1CN(C=C(C)C)C1=O,0.0,0.0,1.0
2288,cccccCC(=O)NC1CN(C=C(C)C)C1=O,0.0,0.0,1.0
2289,ccc(c)C(N)C(=O)NCC(=O)NC=C(C)CS,0.0,0.0,1.0
2290,ccccC(N)C(=O)NCC(=O)NC=C(C)CS,0.0,0.0,1.0
2291,cccc(c)CC(=O)NCC(=O)NC=C(C)CS,0.0,0.0,1.0
2292,ccc(cc)CC(=O)NCC(=O)NC=C(C)CS,0.0,0.0,1.0
2293,cccccCC(=O)NCC(=O)NC=C(C)CS,0.0,0.0,1.0
2294,cccc(c)C(N)C(=O)NCC(=O)NC=C(C)C,0.0,0.0,1.0
2295,ccc(cc)C(N)C(=O)NCC(=O)NC=C(C)C,0.0,0.0,1.0
2296,cccccC(N)C(=O)NCC(=O)NC=C(C)C,0.0,0.0,1.0
2297,CC(C)=CNC(=O)CNC(=O)Cc1ccccc1,0.0,0.0,1.0
2298,C=C(C)CSCCNC(=O)C(N)c(c)cc,0.0,0.0,1.0
2299,C=C(C)CSCCNC(=O)C(N)cccc,0.0,0.0,1.0
2300,C=C(C)CSCCNC(=O)Cc(c)ccc,0.0,0.0,1.0
2301,C=C(C)CSCCNC(=O)Cc(cc)cc,0.0,0.0,1.0
2302,C=C(C)CSCCNC(=O)Cccccc,0.0,0.0,1.0
2303,cc(c)C(N)C(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2304,cccC(N)C(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2305,ccc(c)CC(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2306,ccccCC(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2307,ccc(c)C(N)C(=O)NC1CN(C(=CC)C(=O)O)C1=O,0.0,0.0,1.0
2308,ccccC(N)C(=O)NC1CN(C(=CC)C(=O)O)C1=O,0.0,0.0,1.0
2309,cccc(c)CC(=O)NC1CN(C(=CC)C(=O)O)C1=O,0.0,0.0,1.0
2310,ccc(cc)CC(=O)NC1CN(C(=CC)C(=O)O)C1=O,0.0,0.0,1.0
2311,cccccCC(=O)NC1CN(C(=CC)C(=O)O)C1=O,0.0,0.0,1.0
2312,cccc(c)C(N)C(=O)NCC(=O)NC(=CC)C(=O)O,0.0,0.0,1.0
2313,ccc(cc)C(N)C(=O)NCC(=O)NC(=CC)C(=O)O,0.0,0.0,1.0
2314,cccccC(N)C(=O)NCC(=O)NC(=CC)C(=O)O,0.0,0.0,1.0
2315,CC=C(NC(=O)CNC(=O)Cc1ccccc1)C(=O)O,0.0,0.0,1.0
2316,ccc(c)C(N)C(=O)NC1C(=O)N(C=CC)C1S,0.0,0.0,1.0
2317,ccccC(N)C(=O)NC1C(=O)N(C=CC)C1S,0.0,0.0,1.0
2318,cccc(c)CC(=O)NC1C(=O)N(C=CC)C1S,0.0,0.0,1.0
2319,ccc(cc)CC(=O)NC1C(=O)N(C=CC)C1S,0.0,0.0,1.0
2320,cccccCC(=O)NC1C(=O)N(C=CC)C1S,0.0,0.0,1.0
2321,cccc(c)C(N)C(=O)NC1CN(C=CC)C1=O,0.0,0.0,1.0
2322,ccc(cc)C(N)C(=O)NC1CN(C=CC)C1=O,0.0,0.0,1.0
2323,cccccC(N)C(=O)NC1CN(C=CC)C1=O,0.0,0.0,1.0
2324,CC=CN1CC(NC(=O)Cc2ccccc2)C1=O,0.0,0.0,1.0
2325,CC=CNC(=O)CNC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2326,ccc(c)C(N)C(=O)NC1C(=O)NC1SCCC,0.0,0.0,1.0
2327,ccccC(N)C(=O)NC1C(=O)NC1SCCC,0.0,0.0,1.0
2328,cccc(c)CC(=O)NC1C(=O)NC1SCCC,0.0,0.0,1.0
2329,ccc(cc)CC(=O)NC1C(=O)NC1SCCC,0.0,0.0,1.0
2330,cccccCC(=O)NC1C(=O)NC1SCCC,0.0,0.0,1.0
2331,cccc(c)C(N)C(=O)NCCSCCC,0.0,0.0,1.0
2332,ccc(cc)C(N)C(=O)NCCSCCC,0.0,0.0,1.0
2333,cccccC(N)C(=O)NCCSCCC,0.0,0.0,1.0
2334,CCCSCCNC(=O)Cc1ccccc1,0.0,0.0,1.0
2335,cc(c)C(N)C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2336,cccC(N)C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2337,ccc(c)CC(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2338,ccccCC(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2339,ccc(c)C(N)C(=O)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2340,ccccC(N)C(=O)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2341,cccc(c)CC(=O)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2342,ccc(cc)CC(=O)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2343,cccccCC(=O)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2344,ccc(c)C(N)C(=O)NCCSCC=CC(=O)O,0.0,0.0,1.0
2345,ccccC(N)C(=O)NCCSCC=CC(=O)O,0.0,0.0,1.0
2346,cccc(c)CC(=O)NCCSCC=CC(=O)O,0.0,0.0,1.0
2347,ccc(cc)CC(=O)NCCSCC=CC(=O)O,0.0,0.0,1.0
2348,cccccCC(=O)NCCSCC=CC(=O)O,0.0,0.0,1.0
2349,ccc(c)C(N)C(=O)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2350,ccccC(N)C(=O)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2351,cccc(c)CC(=O)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2352,ccc(cc)CC(=O)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2353,cccccCC(=O)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2354,cccc(c)C(N)C(=O)NCC(=O)NC=CCS,0.0,0.0,1.0
2355,ccc(cc)C(N)C(=O)NCC(=O)NC=CCS,0.0,0.0,1.0
2356,cccccC(N)C(=O)NCC(=O)NC=CCS,0.0,0.0,1.0
2357,O=C(CNC(=O)Cc1ccccc1)NC=CCS,0.0,0.0,1.0
2358,C=CCSCCNC(=O)C(N)c(c)ccc,0.0,0.0,1.0
2359,C=CCSCCNC(=O)C(N)c(cc)cc,0.0,0.0,1.0
2360,C=CCSCCNC(=O)C(N)ccccc,0.0,0.0,1.0
2361,C=CCSCCNC(=O)Cc1ccccc1,0.0,0.0,1.0
2362,C=C(C(=O)O)N1C(=O)C(NC(=O)C(N)c(c)cc)C1S,0.0,0.0,1.0
2363,C=C(C(=O)O)N1C(=O)C(NC(=O)C(N)cccc)C1S,0.0,0.0,1.0
2364,C=C(C(=O)O)N1C(=O)C(NC(=O)Cc(c)ccc)C1S,0.0,0.0,1.0
2365,C=C(C(=O)O)N1C(=O)C(NC(=O)Cc(cc)cc)C1S,0.0,0.0,1.0
2366,C=C(C(=O)O)N1C(=O)C(NC(=O)Cccccc)C1S,0.0,0.0,1.0
2367,C=C(C(=O)O)N1CC(NC(=O)C(N)c(c)ccc)C1=O,0.0,0.0,1.0
2368,C=C(C(=O)O)N1CC(NC(=O)C(N)c(cc)cc)C1=O,0.0,0.0,1.0
2369,C=C(C(=O)O)N1CC(NC(=O)C(N)ccccc)C1=O,0.0,0.0,1.0
2370,C=C(C(=O)O)N1CC(NC(=O)Cc2ccccc2)C1=O,0.0,0.0,1.0
2371,C=C(NC(=O)CNC(=O)C(N)c1ccccc1)C(=O)O,0.0,0.0,1.0
2372,C=CN1C(=O)C(NC(=O)C(N)c(c)ccc)C1S,0.0,0.0,1.0
2373,C=CN1C(=O)C(NC(=O)C(N)c(cc)cc)C1S,0.0,0.0,1.0
2374,C=CN1C(=O)C(NC(=O)C(N)ccccc)C1S,0.0,0.0,1.0
2375,C=CN1C(=O)C(NC(=O)Cc2ccccc2)C1S,0.0,0.0,1.0
2376,C=CN1CC(NC(=O)C(N)c2ccccc2)C1=O,0.0,0.0,1.0
2377,CCSC1NC(=O)C1NC(=O)C(N)c(c)ccc,0.0,0.0,1.0
2378,CCSC1NC(=O)C1NC(=O)C(N)c(cc)cc,0.0,0.0,1.0
2379,CCSC1NC(=O)C1NC(=O)C(N)ccccc,0.0,0.0,1.0
2380,CCSC1NC(=O)C1NC(=O)Cc1ccccc1,0.0,0.0,2.0
2381,CCSCCNC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2382,ccc(c)C(N)C(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2383,ccccC(N)C(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2384,cccc(c)CC(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2385,ccc(cc)CC(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2386,cccccCC(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2387,cccc(c)C(N)C(=O)NC1C(=O)N(CC(=O)O)C1S,0.0,0.0,1.0
2388,cccccC(N)C(=O)NC1C(=O)N(CC(=O)O)C1S,0.0,0.0,1.0
2389,O=C(O)CN1C(=O)C(NC(=O)Cc2ccccc2)C1S,0.0,0.0,2.0
2390,NC(C(=O)NC1CN(CC(=O)O)C1=O)c1ccccc1,0.0,0.0,1.0
2391,CN1C(=O)C(NC(=O)C(N)c(c)ccc)C1SC,0.0,0.0,1.0
2392,CN1C(=O)C(NC(=O)C(N)c(cc)cc)C1SC,0.0,0.0,1.0
2393,CN1C(=O)C(NC(=O)C(N)ccccc)C1SC,0.0,0.0,1.0
2394,CN1C(=O)C(NC(=O)Cc2ccccc2)C1SC,0.0,0.0,1.0
2395,CN1C(=O)C(NC(=O)C(N)c2ccccc2)C1S,0.0,0.0,1.0
2396,CSC1NC(=O)C1NC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2397,cc(c)C(N)C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2398,cccC(N)C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2399,ccc(c)CC(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2400,ccccCC(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2401,ccc(c)C(N)C(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2402,ccccC(N)C(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2403,cccc(c)CC(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2404,ccc(cc)CC(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2405,cccccCC(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2406,ccc(c)C(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2407,ccccC(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2408,cccc(c)CC(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2409,ccc(cc)CC(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2410,cccccCC(=O)NCC(=O)NC(C(=O)O)=C(C)CS,0.0,0.0,1.0
2411,cccc(c)C(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)C,0.0,0.0,1.0
2412,ccc(cc)C(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)C,0.0,0.0,1.0
2413,cccccC(N)C(=O)NCC(=O)NC(C(=O)O)=C(C)C,0.0,0.0,1.0
2414,CC(C)=C(NC(=O)CNC(=O)Cc1ccccc1)C(=O)O,0.0,0.0,1.0
2415,ccc(c)C(N)C(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2416,ccccC(N)C(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2417,cccc(c)CC(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2418,ccc(cc)CC(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2419,cccccCC(=O)NCCSCC(C)=CC(=O)O,0.0,0.0,1.0
2420,ccc(c)C(N)C(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2421,ccccC(N)C(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2422,cccc(c)CC(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2423,ccc(cc)CC(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2424,cccccCC(=O)NC1C(=O)N2C=C(C)CSC12,0.0,0.0,1.0
2425,cccc(c)C(N)C(=O)NC1CN(C=C(C)C)C1=O,0.0,0.0,1.0
2426,ccc(cc)C(N)C(=O)NC1CN(C=C(C)C)C1=O,0.0,0.0,1.0
2427,cccccC(N)C(=O)NC1CN(C=C(C)C)C1=O,0.0,0.0,1.0
2428,CC(C)=CN1CC(NC(=O)Cc2ccccc2)C1=O,0.0,0.0,1.0
2429,cccc(c)C(N)C(=O)NCC(=O)NC=C(C)CS,0.0,0.0,1.0
2430,ccc(cc)C(N)C(=O)NCC(=O)NC=C(C)CS,0.0,0.0,1.0
2431,cccccC(N)C(=O)NCC(=O)NC=C(C)CS,0.0,0.0,1.0
2432,CC(=CNC(=O)CNC(=O)Cc1ccccc1)CS,0.0,0.0,1.0
2433,CC(C)=CNC(=O)CNC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2434,C=C(C)CSCCNC(=O)C(N)c(c)ccc,0.0,0.0,1.0
2435,C=C(C)CSCCNC(=O)C(N)c(cc)cc,0.0,0.0,1.0
2436,C=C(C)CSCCNC(=O)C(N)ccccc,0.0,0.0,1.0
2437,C=C(C)CSCCNC(=O)Cc1ccccc1,0.0,0.0,1.0
2438,ccc(c)C(N)C(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2439,ccccC(N)C(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2440,cccc(c)CC(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2441,ccc(cc)CC(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2442,cccccCC(=O)NC1C(=O)N(C(=CC)C(=O)O)C1S,0.0,0.0,1.0
2443,cccc(c)C(N)C(=O)NC1CN(C(=CC)C(=O)O)C1=O,0.0,0.0,1.0
2444,ccc(cc)C(N)C(=O)NC1CN(C(=CC)C(=O)O)C1=O,0.0,0.0,1.0
2445,cccccC(N)C(=O)NC1CN(C(=CC)C(=O)O)C1=O,0.0,0.0,1.0
2446,CC=C(C(=O)O)N1CC(NC(=O)Cc2ccccc2)C1=O,0.0,0.0,1.0
2447,CC=C(NC(=O)CNC(=O)C(N)c1ccccc1)C(=O)O,0.0,0.0,1.0
2448,cccc(c)C(N)C(=O)NC1C(=O)N(C=CC)C1S,0.0,0.0,1.0
2449,ccc(cc)C(N)C(=O)NC1C(=O)N(C=CC)C1S,0.0,0.0,1.0
2450,cccccC(N)C(=O)NC1C(=O)N(C=CC)C1S,0.0,0.0,1.0
2451,CC=CN1C(=O)C(NC(=O)Cc2ccccc2)C1S,0.0,0.0,1.0
2452,CC=CN1CC(NC(=O)C(N)c2ccccc2)C1=O,0.0,0.0,1.0
2453,cccc(c)C(N)C(=O)NC1C(=O)NC1SCCC,0.0,0.0,1.0
2454,ccc(cc)C(N)C(=O)NC1C(=O)NC1SCCC,0.0,0.0,1.0
2455,cccccC(N)C(=O)NC1C(=O)NC1SCCC,0.0,0.0,1.0
2456,CCCSC1NC(=O)C1NC(=O)Cc1ccccc1,0.0,0.0,1.0
2457,CCCSCCNC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2458,ccc(c)C(N)C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2459,ccccC(N)C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2460,cccc(c)CC(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2461,ccc(cc)CC(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2462,cccccCC(=O)NC1C(=O)N2C(C(=O)O)=CCSC12,0.0,0.0,1.0
2463,cccc(c)C(N)C(=O)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2464,ccc(cc)C(N)C(=O)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2465,cccccC(N)C(=O)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2466,O=C(Cc1ccccc1)NCC(=O)NC(=CCS)C(=O)O,0.0,0.0,1.0
2467,cccc(c)C(N)C(=O)NCCSCC=CC(=O)O,0.0,0.0,1.0
2468,ccc(cc)C(N)C(=O)NCCSCC=CC(=O)O,0.0,0.0,1.0
2469,cccccC(N)C(=O)NCCSCC=CC(=O)O,0.0,0.0,1.0
2470,O=C(O)C=CCSCCNC(=O)Cc1ccccc1,0.0,0.0,1.0
2471,cccc(c)C(N)C(=O)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2472,ccc(cc)C(N)C(=O)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2473,cccccC(N)C(=O)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2474,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,0.0,0.0,1.0
2475,NC(C(=O)NCC(=O)NC=CCS)c1ccccc1,0.0,0.0,1.0
2476,C=CCSCCNC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2477,C=C(C(=O)O)N1C(=O)C(NC(=O)C(N)c(c)ccc)C1S,0.0,0.0,1.0
2478,C=C(C(=O)O)N1C(=O)C(NC(=O)C(N)c(cc)cc)C1S,0.0,0.0,1.0
2479,C=C(C(=O)O)N1C(=O)C(NC(=O)C(N)ccccc)C1S,0.0,0.0,1.0
2480,C=C(C(=O)O)N1C(=O)C(NC(=O)Cc2ccccc2)C1S,0.0,0.0,1.0
2481,C=C(C(=O)O)N1CC(NC(=O)C(N)c2ccccc2)C1=O,0.0,0.0,1.0
2482,C=CN1C(=O)C(NC(=O)C(N)c2ccccc2)C1S,0.0,0.0,1.0
2483,CCSC1NC(=O)C1NC(=O)C(N)c1ccccc1,0.0,0.0,1.0
2484,cccc(c)C(N)C(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2485,ccc(cc)C(N)C(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2486,cccccC(N)C(=O)NC1C(=O)N(CC(=O)O)C1SC,0.0,0.0,1.0
2487,CSC1C(NC(=O)Cc2ccccc2)C(=O)N1CC(=O)O,0.0,0.0,1.0
2488,NC(C(=O)NC1C(=O)N(CC(=O)O)C1S)c1ccccc1,0.0,0.0,1.0
2489,CN1C(=O)C(NC(=O)C(N)c2ccccc2)C1SC,0.0,0.0,1.0
2490,ccc(c)C(N)C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2491,ccccC(N)C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2492,cccc(c)CC(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2493,ccc(cc)CC(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2494,cccccCC(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12,0.0,0.0,1.0
2495,cccc(c)C(N)C(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2496,ccc(cc)C(N)C(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
2497,cccccC(N)C(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,0.0,0.0,1.0
