,Substructure,Frequency0,Frequency1,Frequency2
136,OCCOC(O)C(O)CO,0.0,1.0,0.0
137,OCCOCOCCO,0.0,1.0,0.0
138,OC1COC(O)C(O)C1O,0.0,1.0,0.0
139,COCOCC(O)CO,0.0,1.0,0.0
140,COC(OC)C(O)CO,0.0,1.0,0.0
141,COCOCCOCO,0.0,1.0,0.0
142,COCC(O)C(O)CO,0.0,1.0,0.0
143,OCCOCC(O)CO,0.0,1.0,0.0
144,OCCOC(CO)CO,0.0,1.0,0.0
145,OCCOCCOCO,0.0,1.0,0.0
146,COC(CO)C(O)CO,0.0,1.0,0.0
147,COC(CO)COCO,0.0,1.0,0.0
148,COCC(CO)OCO,0.0,1.0,0.0
149,COCCOC(O)CO,0.0,1.0,0.0
150,COC(CO)OC(CO)CO,0.0,1.0,0.0
151,OCC1OC(O)C(O)C(O)C1O,0.0,1.0,0.0
152,OCCOCOC(CO)CO,0.0,1.0,0.0
153,COCOC(CO)C(O)CO,0.0,1.0,0.0
154,OCCOC(CO)OCCO,0.0,1.0,0.0
155,COC(OCCO)C(O)CO,0.0,1.0,0.0
156,OCCOCOCC(O)CO,0.0,1.0,0.0
157,OCCOCOCCOCO,0.0,1.0,0.0
158,COC1OCC(O)C(O)C1O,0.0,1.0,0.0
159,COC(CO)OCC(O)CO,0.0,1.0,0.0
160,COC(CO)OCCOCO,0.0,1.0,0.0
161,COCOC(CO)COCO,0.0,1.0,0.0
162,COCOCC(CO)OCO,0.0,1.0,0.0
163,COCOCCOC(O)CO,0.0,1.0,0.0
164,COCOCC(O)C(O)CO,0.0,1.0,0.0
165,OCCOCC(O)C(O)CO,0.0,1.0,0.0
166,OCC(O)COC(CO)CO,0.0,1.0,0.0
167,OCC(O)COCC(O)CO,0.0,1.0,0.0
168,OCOCCOCC(O)CO,0.0,1.0,0.0
169,OCCOC(CO)C(O)CO,0.0,1.0,0.0
170,OCCOC(CO)COCO,0.0,1.0,0.0
171,OCCOCC(CO)OCO,0.0,1.0,0.0
172,OCCOCCOC(O)CO,0.0,1.0,0.0
173,COC(C(O)CO)C(O)CO,0.0,1.0,0.0
174,COC1COC(O)C(O)C1O,0.0,1.0,0.0
175,COC(CO)C(CO)OCO,0.0,1.0,0.0
176,COCC(CO)OC(O)CO,0.0,1.0,0.0
177,COC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
178,OCCOC(CO)OC(CO)CO,0.0,1.0,0.0
179,OCCOCOC(CO)C(O)CO,0.0,1.0,0.0
180,OCC(CO)OCOC(CO)CO,0.0,1.0,0.0
181,OCC(O)COCOC(CO)CO,0.0,1.0,0.0
182,OCOCCOCOC(CO)CO,0.0,1.0,0.0
183,OCCOC(OCCO)C(O)CO,0.0,1.0,0.0
184,OCCOC(CO)OCC(O)CO,0.0,1.0,0.0
185,OCCOC(CO)OCCOCO,0.0,1.0,0.0
186,OCCOCOC(CO)COCO,0.0,1.0,0.0
187,OCCOCOCC(CO)OCO,0.0,1.0,0.0
188,OCCOCOCCOC(O)CO,0.0,1.0,0.0
189,OCCOCOCC(O)C(O)CO,0.0,1.0,0.0
190,OCCOC1OCC(O)C(O)C1O,0.0,1.0,0.0
191,OCC(O)COCOCC(O)CO,0.0,1.0,0.0
192,OCOCCOCOCC(O)CO,0.0,1.0,0.0
193,COC(OC(CO)CO)C(O)CO,0.0,1.0,0.0
194,COC(OCC(O)CO)C(O)CO,0.0,1.0,0.0
195,COC(OCCOCO)C(O)CO,0.0,1.0,0.0
196,COC(CO)OC(CO)C(O)CO,0.0,1.0,0.0
197,COC(CO)OC(CO)COCO,0.0,1.0,0.0
198,COC(CO)OCC(CO)OCO,0.0,1.0,0.0
199,COC(CO)OCCOC(O)CO,0.0,1.0,0.0
200,COC(CO)OCC(O)C(O)CO,0.0,1.0,0.0
201,COCOC(CO)C(CO)OCO,0.0,1.0,0.0
202,COCOC(C(O)CO)C(O)CO,0.0,1.0,0.0
203,COCOC1COC(O)C(O)C1O,0.0,1.0,0.0
204,COCOCC(CO)OC(O)CO,0.0,1.0,0.0
205,OCC(CO)OCC(O)C(O)CO,0.0,1.0,0.0
206,OCC(O)COCC(O)C(O)CO,0.0,1.0,0.0
207,OCOCCOCC(O)C(O)CO,0.0,1.0,0.0
208,OCC(O)COC(CO)C(O)CO,0.0,1.0,0.0
209,OCOCC(CO)OCC(O)CO,0.0,1.0,0.0
210,OCOC(CO)COCC(O)CO,0.0,1.0,0.0
211,OCC(O)COCCOC(O)CO,0.0,1.0,0.0
212,OCCOC(CO)C(CO)OCO,0.0,1.0,0.0
213,OCCOC(C(O)CO)C(O)CO,0.0,1.0,0.0
214,OCCOC1COC(O)C(O)C1O,0.0,1.0,0.0
215,OCCOCC(CO)OC(O)CO,0.0,1.0,0.0
216,COC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
217,OCCOC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
218,OCC(CO)OC(CO)OC(CO)CO,0.0,1.0,0.0
219,OCC(O)COC(CO)OC(CO)CO,0.0,1.0,0.0
220,OCOCCOC(CO)OC(CO)CO,0.0,1.0,0.0
221,OCC(CO)OCOC(CO)C(O)CO,0.0,1.0,0.0
222,OCC(O)COCOC(CO)C(O)CO,0.0,1.0,0.0
223,OCOCCOCOC(CO)C(O)CO,0.0,1.0,0.0
224,OCOCC(CO)OCOC(CO)CO,0.0,1.0,0.0
225,OCOC(CO)COCOC(CO)CO,0.0,1.0,0.0
226,OCC(O)OCCOCOC(CO)CO,0.0,1.0,0.0
227,OCC(CO)OCOCC(O)C(O)CO,0.0,1.0,0.0
228,OCCOC(OC(CO)CO)C(O)CO,0.0,1.0,0.0
229,OCCOC(OCC(O)CO)C(O)CO,0.0,1.0,0.0
230,OCCOC(OCCOCO)C(O)CO,0.0,1.0,0.0
231,OCCOC(CO)OC(CO)C(O)CO,0.0,1.0,0.0
232,OCCOC(CO)OC(CO)COCO,0.0,1.0,0.0
233,OCCOC(CO)OCC(CO)OCO,0.0,1.0,0.0
234,OCCOC(CO)OCCOC(O)CO,0.0,1.0,0.0
235,OCCOC(CO)OCC(O)C(O)CO,0.0,1.0,0.0
