Substructure,Frequency0
COC(OCC(O)C(O)CO)C(O)CO,1
COC(CO)OC(CO)C(CO)OCO,1
COC(CO)OC(C(O)CO)C(O)CO,1
COC(CO)OC1COC(O)C(O)C1O,1
COC(CO)OCC(CO)OC(O)CO,1
COCOC1C(CO)OC(O)C(O)C1O,1
OCC(O)C(O)COC(CO)C(O)CO,1
OCOCC(CO)OCC(O)C(O)CO,1
OCOC(CO)COCC(O)C(O)CO,1
OCC(O)OCCOCC(O)C(O)CO,1
OCC(O)C(O)COCC(O)C(O)CO,1
OCOC(CO)C(CO)OCC(O)CO,1
OCC(O)COC(C(O)CO)C(O)CO,1
OCC(O)COC1COC(O)C(O)C1O,1
OCC(O)COCC(CO)OC(O)CO,1
OCCOC1C(CO)OC(O)C(O)C1O,1
OCC(CO)OC1OC(CO)C(O)C(O)C1O,1
OCC(O)COC1OC(CO)C(O)C(O)C1O,1
OCOCCOC1OC(CO)C(O)C(O)C1O,1
OCC(CO)OC(CO)OC(CO)C(O)CO,1
OCOCC(CO)OC(CO)OC(CO)CO,1
OCOC(CO)COC(CO)OC(CO)CO,1
OCC(O)OCCOC(CO)OC(CO)CO,1
OCC(CO)OC(CO)OCC(O)C(O)CO,1
OCC(O)C(CO)OCOC(CO)C(O)CO,1
OCOCC(CO)OCOC(CO)C(O)CO,1
OCOC(CO)COCOC(CO)C(O)CO,1
OCC(O)OCCOCOC(CO)C(O)CO,1
OCOC(CO)C(CO)OCOC(CO)CO,1
OCC(CO)OCOC(C(O)CO)C(O)CO,1
OCC(CO)OCOC1COC(O)C(O)C1O,1
OCC(O)OC(CO)COCOC(CO)CO,1
OCC(O)C(O)COCOC(CO)C(O)CO,1
OCCOC(OC(CO)C(O)CO)C(O)CO,1
OCCOC(OC(CO)COCO)C(O)CO,1
OCCOC(OCC(CO)OCO)C(O)CO,1
OCCOC(OCCOC(O)CO)C(O)CO,1
OCCOC(CO)OC(CO)C(CO)OCO,1
OCCOC(CO)OC(C(O)CO)C(O)CO,1
OCCOC(CO)OC1COC(O)C(O)C1O,1
OCCOC(CO)OCC(CO)OC(O)CO,1
OCCOC(OCC(O)C(O)CO)C(O)CO,1
OCCOCOC1C(CO)OC(O)C(O)C1O,1
OCC(O)C(CO)OC1OCC(O)C(O)C1O,1
OCOCC(CO)OC1OCC(O)C(O)C1O,1
OCOC(CO)COC1OCC(O)C(O)C1O,1
OCC(O)OCCOC1OCC(O)C(O)C1O,1
OCC(O)C(O)COC1OCC(O)C(O)C1O,1
OCOC(CO)C(CO)OCOCC(O)CO,1
OCC(O)COCOC(C(O)CO)C(O)CO,1
OCC(O)COCOC1COC(O)C(O)C1O,1
OCC(O)COCOCC(CO)OC(O)CO,1
COC(OC(CO)C(CO)OCO)C(O)CO,1
COC(OC(C(O)CO)C(O)CO)C(O)CO,1
COC(OC1COC(O)C(O)C1O)C(O)CO,1
COC(OCC(CO)OC(O)CO)C(O)CO,1
COC(CO)OC1C(CO)OC(O)C(O)C1O,1
OCOC(CO)C(CO)OCC(O)C(O)CO,1
OCC(O)C(O)COC(C(O)CO)C(O)CO,1
OCC(O)C(O)COC1COC(O)C(O)C1O,1
OCC(O)OC(CO)COCC(O)C(O)CO,1
OCC(O)COC1C(CO)OC(O)C(O)C1O,1
OCC(O)C(CO)OC1OC(CO)C(O)C(O)C1O,1
OCOCC(CO)OC1OC(CO)C(O)C(O)C1O,1
OCOC(CO)COC1OC(CO)C(O)C(O)C1O,1
OCC(O)OCCOC1OC(CO)C(O)C(O)C1O,1
OCC(O)C(O)COC1OC(CO)C(O)C(O)C1O,1
OCOC(CO)C(CO)OC(CO)OC(CO)CO,1
OCC(CO)OC(CO)OC(C(O)CO)C(O)CO,1
OCC(CO)OC(CO)OC1COC(O)C(O)C1O,1
OCC(O)OC(CO)COC(CO)OC(CO)CO,1
OCOC(CO)C(CO)OCOC(CO)C(O)CO,1
OCC(O)C(CO)OCOC(C(O)CO)C(O)CO,1
OCC(O)C(CO)OCOC1COC(O)C(O)C1O,1
OCC(O)OC(CO)COCOC(CO)C(O)CO,1
OCC(CO)OCOC1C(CO)OC(O)C(O)C1O,1
OCCOC(OC(CO)C(CO)OCO)C(O)CO,1
OCCOC(OC(C(O)CO)C(O)CO)C(O)CO,1
OCCOC(OC1COC(O)C(O)C1O)C(O)CO,1
OCCOC(OCC(CO)OC(O)CO)C(O)CO,1
OCCOC(CO)OC1C(CO)OC(O)C(O)C1O,1
OCOC(CO)C(CO)OC1OCC(O)C(O)C1O,1
OCC(O)C(OC1OCC(O)C(O)C1O)C(O)CO,1
OC1COC(OC2COC(O)C(O)C2O)C(O)C1O,1
OCC(O)OC(CO)COC1OCC(O)C(O)C1O,1
OCC(O)COCOC1C(CO)OC(O)C(O)C1O,1
COC(OC1C(CO)OC(O)C(O)C1O)C(O)CO,1
OCC(O)C(O)COC1C(CO)OC(O)C(O)C1O,1
OCOC(CO)C(CO)OC1OC(CO)C(O)C(O)C1O,1
OCC(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1
OCC1OC(OC2COC(O)C(O)C2O)C(O)C(O)C1O,1
OCC(O)OC(CO)COC1OC(CO)C(O)C(O)C1O,1
OCC(CO)OC(CO)OC1C(CO)OC(O)C(O)C1O,1
OCC(O)C(CO)OCOC1C(CO)OC(O)C(O)C1O,1
OCCOC(OC1C(CO)OC(O)C(O)C1O)C(O)CO,1
OCC1OC(O)C(O)C(O)C1OC1OCC(O)C(O)C1O,1
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1
