Substructure,Frequency0
N,2
CO,2
NN,1
N=CO,1
NCO,1
NN=CO,1
N=C(N)O,1
NNCO,1
NN=C(N)O,1
N=C(O)NN,1
NN=C(O)NN,1
C,2
O=CO,3
CC,2
COC=O,1
CC(=O)O,2
CCOC=O,1
COC(C)=O,1
CCC(=O)O,2
CCOC(C)=O,1
CCC(=O)OC,1
O=C(O)CCC(=O)O,1
CCOC(=O)CC,1
COC(=O)CCC(=O)O,1
CCOC(=O)CCC(=O)O,1
COC(=O)CCC(=O)OC,1
CCOC(=O)CCC(=O)OC,1
CCOC(=O)CCC(=O)OCC,1
c,2
cO,1
cN,1
cc,2
ccO,1
cC(=O)O,1
ccN,1
ccc,2
cccO,1
cc(c)O,1
O=C(O)ccO,1
ccC(=O)O,1
cc(c)N,1
NcccO,1
cccN,1
ccccO,1
cccc,2
ccc(c)O,1
cc(O)cC(=O)O,1
cc(cO)C(=O)O,1
cccC(=O)O,1
cc(N)ccO,1
ccc(c)N,1
cc(O)ccN,1
ccccN,1
cccc(c)O,1
cccccO,1
ccccc,2
ccc(O)cC(=O)O,1
ccc(O)cc,1
ccccC(=O)O,1
cc(O)c(c)C(=O)O,1
ccc(cO)C(=O)O,1
cc(N)cc(c)O,1
ccc(N)ccO,1
cccc(c)N,1
Nccc(O)cC(=O)O,1
ccc(O)ccN,1
NcccccO,1
NccccC(=O)O,1
cccc(O)cC(=O)O,1
Oc1ccccc1,1
cccccC(=O)O,1
ccc(O)c(c)C(=O)O,1
cccc(cO)C(=O)O,1
ccc(C(=O)O)c(c)O,1
cc(N)cc(O)cC(=O)O,1
Nc1cccc(O)c1,1
cc(N)cccC(=O)O,1
cc(C(=O)O)c(O)ccN,1
Ncccc(cO)C(=O)O,1
O=C(O)c1ccccc1O,1
Nc1ccc(C(=O)O)c(O)c1,1
cC,1
cCC,1
ccC,1
cCCC(=O)O,1
ccCC,1
cc(c)C,1
cccC,1
ccCCC(=O)O,1
cc(c)CC,1
cccCC,1
ccc(c)C,1
ccccC,1
cc(c)CCC(=O)O,1
cccCCC(=O)O,1
ccc(c)CC,1
ccccCC,1
ccc(C)cc,1
cccc(c)C,1
cccccC,1
c1ccccc1,1
ccc(c)CCC(=O)O,1
ccccCCC(=O)O,1
cccc(c)CC,1
ccc(cc)CC,1
cccccCC,1
Cc1ccccc1,1
cccc(c)CCC(=O)O,1
ccc(cc)CCC(=O)O,1
cccccCCC(=O)O,1
CCc1ccccc1,1
O=C(O)CCc1ccccc1,1
OCCO,1
COCO,1
COC,1
OCC(O)CO,1
OCCOCO,1
COC(O)CO,1
COCOC,1
COCCO,1
OCOC(CO)CO,1
OCC(O)C(O)CO,1
OCCOC(O)CO,1
COCOCCO,1
OCOCC(O)CO,1
COC(O)C(O)CO,1
COC(CO)OC,1
COCC(O)CO,1
OCCOCCO,1
COC(CO)CO,1
COCCOCO,1
OCC(O)OC(CO)CO,1
COCOC(CO)CO,1
OCOC(CO)C(O)CO,1
OCC(O)C(O)C(O)CO,1
COC(CO)OCCO,1
OCCOC(O)C(O)CO,1
OCCOCOCCO,1
OC1COC(O)C(O)C1O,1
COCOCC(O)CO,1
COC(OC)C(O)CO,1
COCOCCOCO,1
COCC(O)C(O)CO,1
OCCOCC(O)CO,1
OCCOC(CO)CO,1
OCCOCCOCO,1
COC(CO)C(O)CO,1
COC(CO)COCO,1
COCC(CO)OCO,1
COCCOC(O)CO,1
COC(CO)OC(CO)CO,1
OCC1OC(O)C(O)C(O)C1O,1
OCCOCOC(CO)CO,1
COCOC(CO)C(O)CO,1
OCCOC(CO)OCCO,1
COC(OCCO)C(O)CO,1
OCCOCOCC(O)CO,1
OCCOCOCCOCO,1
COC1OCC(O)C(O)C1O,1
COC(CO)OCC(O)CO,1
COC(CO)OCCOCO,1
COCOC(CO)COCO,1
COCOCC(CO)OCO,1
COCOCCOC(O)CO,1
COCOCC(O)C(O)CO,1
OCCOCC(O)C(O)CO,1
OCC(O)COC(CO)CO,1
OCC(O)COCC(O)CO,1
OCOCCOCC(O)CO,1
OCCOC(CO)C(O)CO,1
OCCOC(CO)COCO,1
OCCOCC(CO)OCO,1
OCCOCCOC(O)CO,1
COC(C(O)CO)C(O)CO,1
COC1COC(O)C(O)C1O,1
COC(CO)C(CO)OCO,1
COCC(CO)OC(O)CO,1
COC1OC(CO)C(O)C(O)C1O,1
OCCOC(CO)OC(CO)CO,1
OCCOCOC(CO)C(O)CO,1
OCC(CO)OCOC(CO)CO,1
OCC(O)COCOC(CO)CO,1
OCOCCOCOC(CO)CO,1
OCCOC(OCCO)C(O)CO,1
OCCOC(CO)OCC(O)CO,1
OCCOC(CO)OCCOCO,1
OCCOCOC(CO)COCO,1
OCCOCOCC(CO)OCO,1
OCCOCOCCOC(O)CO,1
OCCOCOCC(O)C(O)CO,1
OCCOC1OCC(O)C(O)C1O,1
OCC(O)COCOCC(O)CO,1
OCOCCOCOCC(O)CO,1
COC(OC(CO)CO)C(O)CO,1
COC(OCC(O)CO)C(O)CO,1
COC(OCCOCO)C(O)CO,1
COC(CO)OC(CO)C(O)CO,1
COC(CO)OC(CO)COCO,1
COC(CO)OCC(CO)OCO,1
COC(CO)OCCOC(O)CO,1
COC(CO)OCC(O)C(O)CO,1
COCOC(CO)C(CO)OCO,1
COCOC(C(O)CO)C(O)CO,1
COCOC1COC(O)C(O)C1O,1
COCOCC(CO)OC(O)CO,1
OCC(CO)OCC(O)C(O)CO,1
OCC(O)COCC(O)C(O)CO,1
OCOCCOCC(O)C(O)CO,1
OCC(O)COC(CO)C(O)CO,1
OCOCC(CO)OCC(O)CO,1
OCOC(CO)COCC(O)CO,1
OCC(O)COCCOC(O)CO,1
OCCOC(CO)C(CO)OCO,1
OCCOC(C(O)CO)C(O)CO,1
OCCOC1COC(O)C(O)C1O,1
OCCOCC(CO)OC(O)CO,1
COC1C(CO)OC(O)C(O)C1O,1
OCCOC1OC(CO)C(O)C(O)C1O,1
OCC(CO)OC(CO)OC(CO)CO,1
OCC(O)COC(CO)OC(CO)CO,1
OCOCCOC(CO)OC(CO)CO,1
OCC(CO)OCOC(CO)C(O)CO,1
OCC(O)COCOC(CO)C(O)CO,1
OCOCCOCOC(CO)C(O)CO,1
OCOCC(CO)OCOC(CO)CO,1
OCOC(CO)COCOC(CO)CO,1
OCC(O)OCCOCOC(CO)CO,1
OCC(CO)OCOCC(O)C(O)CO,1
OCCOC(OC(CO)CO)C(O)CO,1
OCCOC(OCC(O)CO)C(O)CO,1
OCCOC(OCCOCO)C(O)CO,1
OCCOC(CO)OC(CO)C(O)CO,1
OCCOC(CO)OC(CO)COCO,1
OCCOC(CO)OCC(CO)OCO,1
OCCOC(CO)OCCOC(O)CO,1
OCCOC(CO)OCC(O)C(O)CO,1
OCCOCOC(CO)C(CO)OCO,1
OCCOCOC(C(O)CO)C(O)CO,1
OCCOCOC1COC(O)C(O)C1O,1
OCCOCOCC(CO)OC(O)CO,1
OCC(CO)OC1OCC(O)C(O)C1O,1
OCC(O)COC1OCC(O)C(O)C1O,1
OCOCCOC1OCC(O)C(O)C1O,1
OCOCC(CO)OCOCC(O)CO,1
OCOC(CO)COCOCC(O)CO,1
OCC(O)COCOCCOC(O)CO,1
OCC(O)COCOCC(O)C(O)CO,1
COC(OC(CO)C(O)CO)C(O)CO,1
COC(OC(CO)COCO)C(O)CO,1
COC(OCC(CO)OCO)C(O)CO,1
COC(OCCOC(O)CO)C(O)CO,1
