,Substructure,Frequencyantibacterial,Frequencynot-antibacterial
3535,ccc(Cl)ccCl,0.0,1.0
3536,ClcccccCl,0.0,1.0
3537,cc(Cl)cc(c)Cl,0.0,1.0
3538,cC=CC(=O)N1CCOCC1,0.0,1.0
3539,ccC=CC(=O)N(C)CCO,0.0,1.0
3540,cc(c)C=CC(=O)N(C)C,0.0,1.0
3541,cccC=CC(=O)N(C)C,0.0,1.0
3542,CN(C)C(=O)C=CccCl,0.0,1.0
3543,ccc(c)C=CC(=O)NC,0.0,1.0
3544,cc(C=CC(=O)NC)cCl,0.0,1.0
3545,cc(c)C=CC(=O)NCCO,0.0,1.0
3546,ccccC=CC(=O)NC,0.0,1.0
3547,cccC=CC(=O)NCCO,0.0,1.0
3548,ccC=CC(=O)NCCOC,0.0,1.0
3549,cc(Cl)cC=CC(=O)NC,0.0,1.0
3550,O=C(C=CccCl)NCCO,0.0,1.0
3551,cccc(c)C=CC(N)=O,0.0,1.0
3552,ccc(C=CC(N)=O)cc,0.0,1.0
3553,ccc(C=CC(N)=O)cCl,0.0,1.0
3554,cc(Cl)c(c)C=CC(N)=O,0.0,1.0
3555,NC(=O)C=CccccCl,0.0,1.0
3556,cccccC=CC(N)=O,0.0,1.0
3557,ccc(Cl)cC=CC(N)=O,0.0,1.0
3558,C=Cc(c)cccCl,0.0,1.0
3559,C=Cc1ccccc1,0.0,1.0
3560,C=Cc(cCl)ccc,0.0,1.0
3561,C=Cc(cc)c(c)Cl,0.0,1.0
3562,C=Cc(c)c(Cl)cc,0.0,1.0
3563,C=Ccccc(c)Cl,0.0,1.0
3564,C=Ccc(Cl)ccc,0.0,1.0
3565,C=Ccc(Cl)ccCl,0.0,1.0
3566,Cc1ccc(Cl)cc1,0.0,1.0
3567,Cc1ccccc1Cl,0.0,1.0
3568,Cc(c)c(Cl)ccCl,0.0,1.0
3569,Cc(cCl)cccCl,0.0,1.0
3570,Ccc(Cl)cc(c)Cl,0.0,1.0
3571,Clc1cccc(Cl)c1,0.0,1.0
3572,ccC=CC(=O)N1CCOCC1,0.0,1.0
3573,cc(c)C=CC(=O)N(C)CCO,0.0,1.0
3574,cccC=CC(=O)N(C)CCO,0.0,1.0
3575,CN(CCO)C(=O)C=CccCl,0.0,1.0
3576,ccc(c)C=CC(=O)N(C)C,0.0,1.0
3577,cc(C=CC(=O)N(C)C)cCl,0.0,1.0
3578,ccccC=CC(=O)N(C)C,0.0,1.0
3579,cc(Cl)cC=CC(=O)N(C)C,0.0,1.0
3580,cccc(c)C=CC(=O)NC,0.0,1.0
3581,ccc(C=CC(=O)NC)cc,0.0,1.0
3582,ccc(C=CC(=O)NC)cCl,0.0,1.0
3583,ccc(c)C=CC(=O)NCCO,0.0,1.0
3584,cc(Cl)c(c)C=CC(=O)NC,0.0,1.0
3585,cc(C=CC(=O)NCCO)cCl,0.0,1.0
3586,cc(c)C=CC(=O)NCCOC,0.0,1.0
3587,CNC(=O)C=CccccCl,0.0,1.0
3588,cccccC=CC(=O)NC,0.0,1.0
3589,ccccC=CC(=O)NCCO,0.0,1.0
3590,cccC=CC(=O)NCCOC,0.0,1.0
3591,ccc(Cl)cC=CC(=O)NC,0.0,1.0
3592,cc(Cl)cC=CC(=O)NCCO,0.0,1.0
3593,COCCNC(=O)C=CccCl,0.0,1.0
3594,cc(C=CC(N)=O)cccCl,0.0,1.0
3595,NC(=O)C=Cc1ccccc1,0.0,1.0
3596,cccc(C=CC(N)=O)cCl,0.0,1.0
3597,ccc(C=CC(N)=O)c(c)Cl,0.0,1.0
3598,ccc(Cl)c(c)C=CC(N)=O,0.0,1.0
3599,cc(Cl)cccC=CC(N)=O,0.0,1.0
3600,cccc(Cl)cC=CC(N)=O,0.0,1.0
3601,NC(=O)C=Ccc(Cl)ccCl,0.0,1.0
3602,C=Cc1ccc(Cl)cc1,0.0,1.0
3603,C=Cc(cCl)cccCl,0.0,1.0
3604,C=Cc1ccccc1Cl,0.0,1.0
3605,C=Cc(c)c(Cl)ccCl,0.0,1.0
3606,C=Ccc(Cl)cc(c)Cl,0.0,1.0
3607,Cc1ccc(Cl)cc1Cl,0.0,1.0
3608,cc(c)C=CC(=O)N1CCOCC1,0.0,1.0
3609,cccC=CC(=O)N1CCOCC1,0.0,1.0
3610,O=C(C=CccCl)N1CCOCC1,0.0,1.0
3611,ccc(c)C=CC(=O)N(C)CCO,0.0,1.0
3612,cc(C=CC(=O)N(C)CCO)cCl,0.0,1.0
3613,ccccC=CC(=O)N(C)CCO,0.0,1.0
3614,cc(Cl)cC=CC(=O)N(C)CCO,0.0,1.0
3615,cccc(c)C=CC(=O)N(C)C,0.0,1.0
3616,ccc(C=CC(=O)N(C)C)cc,0.0,1.0
3617,ccc(C=CC(=O)N(C)C)cCl,0.0,1.0
3618,cc(Cl)c(c)C=CC(=O)N(C)C,0.0,1.0
3619,CN(C)C(=O)C=CccccCl,0.0,1.0
3620,cccccC=CC(=O)N(C)C,0.0,1.0
3621,ccc(Cl)cC=CC(=O)N(C)C,0.0,1.0
3622,cc(C=CC(=O)NC)cccCl,0.0,1.0
3623,CNC(=O)C=Cc1ccccc1,0.0,1.0
3624,cccc(C=CC(=O)NC)cCl,0.0,1.0
3625,cccc(c)C=CC(=O)NCCO,0.0,1.0
3626,ccc(C=CC(=O)NC)c(c)Cl,0.0,1.0
3627,ccc(C=CC(=O)NCCO)cc,0.0,1.0
3628,ccc(C=CC(=O)NCCO)cCl,0.0,1.0
3629,ccc(c)C=CC(=O)NCCOC,0.0,1.0
3630,ccc(Cl)c(c)C=CC(=O)NC,0.0,1.0
3631,cc(Cl)c(c)C=CC(=O)NCCO,0.0,1.0
3632,cc(C=CC(=O)NCCOC)cCl,0.0,1.0
3633,cc(Cl)cccC=CC(=O)NC,0.0,1.0
3634,O=C(C=CccccCl)NCCO,0.0,1.0
3635,cccccC=CC(=O)NCCO,0.0,1.0
3636,ccccC=CC(=O)NCCOC,0.0,1.0
3637,cccc(Cl)cC=CC(=O)NC,0.0,1.0
3638,CNC(=O)C=Ccc(Cl)ccCl,0.0,1.0
3639,ccc(Cl)cC=CC(=O)NCCO,0.0,1.0
3640,cc(Cl)cC=CC(=O)NCCOC,0.0,1.0
3641,NC(=O)C=Cc1ccc(Cl)cc1,0.0,1.0
3642,NC(=O)C=Cc(cCl)cccCl,0.0,1.0
3643,NC(=O)C=Cc1ccccc1Cl,0.0,1.0
3644,cc(C=CC(N)=O)c(Cl)ccCl,0.0,1.0
3645,cc(Cl)cc(Cl)cC=CC(N)=O,0.0,1.0
3646,C=Cc1ccc(Cl)cc1Cl,0.0,1.0
3647,ccc(c)C=CC(=O)N1CCOCC1,0.0,1.0
3648,cc(C=CC(=O)N1CCOCC1)cCl,0.0,1.0
3649,ccccC=CC(=O)N1CCOCC1,0.0,1.0
3650,cc(Cl)cC=CC(=O)N1CCOCC1,0.0,1.0
3651,cccc(c)C=CC(=O)N(C)CCO,0.0,1.0
3652,ccc(C=CC(=O)N(C)CCO)cc,0.0,1.0
3653,ccc(C=CC(=O)N(C)CCO)cCl,0.0,1.0
3654,cc(Cl)c(c)C=CC(=O)N(C)CCO,0.0,1.0
3655,CN(CCO)C(=O)C=CccccCl,0.0,1.0
3656,cccccC=CC(=O)N(C)CCO,0.0,1.0
3657,ccc(Cl)cC=CC(=O)N(C)CCO,0.0,1.0
3658,cc(C=CC(=O)N(C)C)cccCl,0.0,1.0
3659,CN(C)C(=O)C=Cc1ccccc1,0.0,1.0
3660,cccc(C=CC(=O)N(C)C)cCl,0.0,1.0
3661,ccc(C=CC(=O)N(C)C)c(c)Cl,0.0,1.0
3662,ccc(Cl)c(c)C=CC(=O)N(C)C,0.0,1.0
3663,cc(Cl)cccC=CC(=O)N(C)C,0.0,1.0
3664,cccc(Cl)cC=CC(=O)N(C)C,0.0,1.0
3665,CN(C)C(=O)C=Ccc(Cl)ccCl,0.0,1.0
3666,CNC(=O)C=Cc1ccc(Cl)cc1,0.0,1.0
3667,CNC(=O)C=Cc(cCl)cccCl,0.0,1.0
3668,cc(C=CC(=O)NCCO)cccCl,0.0,1.0
3669,CNC(=O)C=Cc1ccccc1Cl,0.0,1.0
3670,O=C(C=Cc1ccccc1)NCCO,0.0,1.0
3671,cccc(C=CC(=O)NCCO)cCl,0.0,1.0
3672,cccc(c)C=CC(=O)NCCOC,0.0,1.0
3673,ccc(C=CC(=O)NCCO)c(c)Cl,0.0,1.0
3674,ccc(C=CC(=O)NCCOC)cc,0.0,1.0
3675,ccc(C=CC(=O)NCCOC)cCl,0.0,1.0
3676,cc(C=CC(=O)NC)c(Cl)ccCl,0.0,1.0
3677,ccc(Cl)c(c)C=CC(=O)NCCO,0.0,1.0
3678,cc(Cl)c(c)C=CC(=O)NCCOC,0.0,1.0
3679,cc(Cl)cccC=CC(=O)NCCO,0.0,1.0
3680,COCCNC(=O)C=CccccCl,0.0,1.0
3681,cccccC=CC(=O)NCCOC,0.0,1.0
3682,cc(Cl)cc(Cl)cC=CC(=O)NC,0.0,1.0
3683,cccc(Cl)cC=CC(=O)NCCO,0.0,1.0
3684,O=C(C=Ccc(Cl)ccCl)NCCO,0.0,1.0
3685,ccc(Cl)cC=CC(=O)NCCOC,0.0,1.0
3686,NC(=O)C=Cc1ccc(Cl)cc1Cl,0.0,1.0
3687,cccc(c)C=CC(=O)N1CCOCC1,0.0,1.0
3688,ccc(C=CC(=O)N1CCOCC1)cc,0.0,1.0
3689,ccc(C=CC(=O)N1CCOCC1)cCl,0.0,1.0
3690,cc(Cl)c(c)C=CC(=O)N1CCOCC1,0.0,1.0
3691,O=C(C=CccccCl)N1CCOCC1,0.0,1.0
3692,cccccC=CC(=O)N1CCOCC1,0.0,1.0
3693,ccc(Cl)cC=CC(=O)N1CCOCC1,0.0,1.0
3694,cc(C=CC(=O)N(C)CCO)cccCl,0.0,1.0
3695,CN(CCO)C(=O)C=Cc1ccccc1,0.0,1.0
3696,cccc(C=CC(=O)N(C)CCO)cCl,0.0,1.0
3697,ccc(C=CC(=O)N(C)CCO)c(c)Cl,0.0,1.0
3698,ccc(Cl)c(c)C=CC(=O)N(C)CCO,0.0,1.0
3699,cc(Cl)cccC=CC(=O)N(C)CCO,0.0,1.0
3700,cccc(Cl)cC=CC(=O)N(C)CCO,0.0,1.0
3701,CN(CCO)C(=O)C=Ccc(Cl)ccCl,0.0,1.0
3702,CN(C)C(=O)C=Cc1ccc(Cl)cc1,0.0,1.0
3703,CN(C)C(=O)C=Cc(cCl)cccCl,0.0,1.0
3704,CN(C)C(=O)C=Cc1ccccc1Cl,0.0,1.0
3705,cc(C=CC(=O)N(C)C)c(Cl)ccCl,0.0,1.0
3706,cc(Cl)cc(Cl)cC=CC(=O)N(C)C,0.0,1.0
3707,CNC(=O)C=Cc1ccc(Cl)cc1Cl,0.0,1.0
3708,O=C(C=Cc1ccc(Cl)cc1)NCCO,0.0,1.0
3709,O=C(C=Cc(cCl)cccCl)NCCO,0.0,1.0
3710,cc(C=CC(=O)NCCOC)cccCl,0.0,1.0
3711,O=C(C=Cc1ccccc1Cl)NCCO,0.0,1.0
3712,COCCNC(=O)C=Cc1ccccc1,0.0,1.0
3713,cccc(C=CC(=O)NCCOC)cCl,0.0,1.0
3714,ccc(C=CC(=O)NCCOC)c(c)Cl,0.0,1.0
3715,cc(C=CC(=O)NCCO)c(Cl)ccCl,0.0,1.0
3716,ccc(Cl)c(c)C=CC(=O)NCCOC,0.0,1.0
3717,cc(Cl)cccC=CC(=O)NCCOC,0.0,1.0
3718,cc(Cl)cc(Cl)cC=CC(=O)NCCO,0.0,1.0
3719,cccc(Cl)cC=CC(=O)NCCOC,0.0,1.0
3720,COCCNC(=O)C=Ccc(Cl)ccCl,0.0,1.0
3721,cc(C=CC(=O)N1CCOCC1)cccCl,0.0,1.0
3722,O=C(C=Cc1ccccc1)N1CCOCC1,0.0,1.0
3723,cccc(C=CC(=O)N1CCOCC1)cCl,0.0,1.0
3724,ccc(C=CC(=O)N1CCOCC1)c(c)Cl,0.0,1.0
3725,ccc(Cl)c(c)C=CC(=O)N1CCOCC1,0.0,1.0
3726,cc(Cl)cccC=CC(=O)N1CCOCC1,0.0,1.0
3727,cccc(Cl)cC=CC(=O)N1CCOCC1,0.0,1.0
3728,O=C(C=Ccc(Cl)ccCl)N1CCOCC1,0.0,1.0
3729,CN(CCO)C(=O)C=Cc1ccc(Cl)cc1,0.0,1.0
3730,CN(CCO)C(=O)C=Cc(cCl)cccCl,0.0,1.0
3731,CN(CCO)C(=O)C=Cc1ccccc1Cl,0.0,1.0
3732,cc(C=CC(=O)N(C)CCO)c(Cl)ccCl,0.0,1.0
3733,cc(Cl)cc(Cl)cC=CC(=O)N(C)CCO,0.0,1.0
3734,CN(C)C(=O)C=Cc1ccc(Cl)cc1Cl,0.0,1.0
3735,O=C(C=Cc1ccc(Cl)cc1Cl)NCCO,0.0,1.0
3736,COCCNC(=O)C=Cc1ccc(Cl)cc1,0.0,1.0
3737,COCCNC(=O)C=Cc(cCl)cccCl,0.0,1.0
3738,COCCNC(=O)C=Cc1ccccc1Cl,0.0,1.0
3739,cc(C=CC(=O)NCCOC)c(Cl)ccCl,0.0,1.0
3740,cc(Cl)cc(Cl)cC=CC(=O)NCCOC,0.0,1.0
3741,O=C(C=Cc1ccc(Cl)cc1)N1CCOCC1,0.0,1.0
3742,O=C(C=Cc(cCl)cccCl)N1CCOCC1,0.0,1.0
3743,O=C(C=Cc1ccccc1Cl)N1CCOCC1,0.0,1.0
3744,cc(C=CC(=O)N1CCOCC1)c(Cl)ccCl,0.0,1.0
3745,cc(Cl)cc(Cl)cC=CC(=O)N1CCOCC1,0.0,1.0
3746,CN(CCO)C(=O)C=Cc1ccc(Cl)cc1Cl,0.0,1.0
3747,COCCNC(=O)C=Cc1ccc(Cl)cc1Cl,0.0,1.0
3748,O=C(C=Cc1ccc(Cl)cc1Cl)N1CCOCC1,0.0,1.0
3749,c=O,0.0,1.0
3750,cc=O,0.0,1.0
3751,O=co,0.0,1.0
3752,cCC,0.0,1.0
3753,coc=O,0.0,1.0
3754,CccO,0.0,1.0
3755,O=cccO,0.0,1.0
3756,Ccc=O,0.0,1.0
3757,cc(=O)o,0.0,1.0
3758,cCC(C)=O,0.0,1.0
3759,cC(C)C=O,0.0,1.0
3760,O=CCco,0.0,1.0
3761,ccCC,0.0,1.0
3762,CCco,0.0,1.0
3763,cc(C)o,0.0,1.0
3764,CcccO,0.0,1.0
3765,Ccoc=O,0.0,1.0
3766,Occco,0.0,1.0
3767,ccoc=O,0.0,1.0
3768,cc(C)cO,0.0,1.0
3769,coc(c)=O,0.0,1.0
3770,cc(O)cC,0.0,1.0
3771,cc(O)cc=O,0.0,1.0
3772,Cc(cO)c=O,0.0,1.0
3773,O=c(o)ccO,0.0,1.0
3774,Ccc(=O)o,0.0,1.0
3775,cCC(=O)CC,0.0,1.0
3776,cC(C)C(C)=O,0.0,1.0
3777,ccCC(C)=O,0.0,1.0
3778,CC(=O)Cco,0.0,1.0
3779,ccC(C)C=O,0.0,1.0
3780,CC(C=O)co,0.0,1.0
3781,cc(o)CC=O,0.0,1.0
3782,CccCC=O,0.0,1.0
3783,O=CCcccO,0.0,1.0
3784,O=CCcoc=O,0.0,1.0
3785,cc(o)CC,0.0,1.0
3786,CccCC,0.0,1.0
3787,CCcccO,0.0,1.0
3788,CCcoc=O,0.0,1.0
3789,Ccc(C)o,0.0,1.0
3790,Cc(o)ccO,0.0,1.0
3791,cc(C)oc=O,0.0,1.0
3792,Ccc(C)cO,0.0,1.0
3793,cc(O)ccC,0.0,1.0
3794,cc(=O)ocC,0.0,1.0
3795,Cc(cO)co,0.0,1.0
3796,Cccoc=O,0.0,1.0
3797,cc(O)cco,0.0,1.0
3798,O=cocccO,0.0,1.0
3799,ccoc(c)=O,0.0,1.0
3800,cc(C)c(c)O,0.0,1.0
3801,ccc(O)cC,0.0,1.0
3802,ccc(O)cc=O,0.0,1.0
3803,coc(=O)ccO,0.0,1.0
3804,coc(=O)cC,0.0,1.0
3805,Ccc(O)cC,0.0,1.0
3806,Ccc(O)cc=O,0.0,1.0
3807,cc(O)c(C)c=O,0.0,1.0
3808,cc(O)cc(=O)o,0.0,1.0
3809,Cc(cO)c(=O)o,0.0,1.0
3810,CCC(C)C(C)=O,0.0,1.0
3811,cCC(=O)CCC,0.0,1.0
3812,cCC(=O)C(C)C,0.0,1.0
3813,cC(C)C(=O)CC,0.0,1.0
3814,ccCC(=O)CC,0.0,1.0
3815,CCC(=O)Cco,0.0,1.0
3816,ccC(C)C(C)=O,0.0,1.0
3817,CC(=O)C(C)co,0.0,1.0
3818,cc(o)CC(C)=O,0.0,1.0
3819,CccCC(C)=O,0.0,1.0
3820,CC(=O)CcccO,0.0,1.0
3821,CC(=O)Ccoc=O,0.0,1.0
3822,cc(o)C(C)C=O,0.0,1.0
3823,CccC(C)C=O,0.0,1.0
3824,CC(C=O)cccO,0.0,1.0
3825,CC(C=O)coc=O,0.0,1.0
3826,Ccc(o)CC=O,0.0,1.0
3827,O=CCc(o)ccO,0.0,1.0
3828,cc(CC=O)oc=O,0.0,1.0
3829,Cc(cO)cCC=O,0.0,1.0
3830,cc(O)ccCC=O,0.0,1.0
3831,cc(=O)ocCC=O,0.0,1.0
3832,Ccc(o)CC,0.0,1.0
3833,CCc(o)ccO,0.0,1.0
3834,cc(CC)oc=O,0.0,1.0
3835,CCcc(C)cO,0.0,1.0
3836,cc(O)ccCC,0.0,1.0
3837,cc(=O)ocCC,0.0,1.0
3838,Cc(o)c(C)cO,0.0,1.0
3839,Ccc(C)oc=O,0.0,1.0
3840,cc(O)cc(C)o,0.0,1.0
3841,Cc(ccO)oc=O,0.0,1.0
3842,cc(C)oc(c)=O,0.0,1.0
3843,cc(O)c(C)cC,0.0,1.0
3844,Cccc(O)cC,0.0,1.0
3845,Cccc(O)cc=O,0.0,1.0
3846,Ccoc(=O)ccO,0.0,1.0
3847,Ccoc(=O)cC,0.0,1.0
3848,cc(O)c(C)co,0.0,1.0
3849,Cc(cO)coc=O,0.0,1.0
3850,cc(=O)occC,0.0,1.0
3851,Ccc(O)cco,0.0,1.0
3852,O=c1cc(O)cco1,0.0,1.0
3853,ccoc(=O)cC,0.0,1.0
3854,cc(C)c(O)cC,0.0,1.0
3855,cc(C)c(O)cc=O,0.0,1.0
3856,ccc(O)c(C)c=O,0.0,1.0
3857,coc(=O)c(C)cO,0.0,1.0
3858,Ccc(O)c(C)c=O,0.0,1.0
3859,Ccc(O)cc(=O)o,0.0,1.0
3860,cc(O)c(C)c(=O)o,0.0,1.0
3861,cCC(=O)C(C)CC,0.0,1.0
3862,cC(C)C(=O)CCC,0.0,1.0
3863,ccCC(=O)CCC,0.0,1.0
3864,CCCC(=O)Cco,0.0,1.0
3865,cC(C)C(=O)C(C)C,0.0,1.0
3866,ccCC(=O)C(C)C,0.0,1.0
3867,CC(C)C(=O)Cco,0.0,1.0
3868,ccC(C)C(=O)CC,0.0,1.0
3869,CCC(=O)C(C)co,0.0,1.0
3870,cc(o)CC(=O)CC,0.0,1.0
3871,CccCC(=O)CC,0.0,1.0
3872,CCC(=O)CcccO,0.0,1.0
3873,CCC(=O)Ccoc=O,0.0,1.0
3874,cc(o)C(C)C(C)=O,0.0,1.0
3875,CccC(C)C(C)=O,0.0,1.0
3876,CC(=O)C(C)cccO,0.0,1.0
3877,CC(=O)C(C)coc=O,0.0,1.0
3878,cc(CC(C)=O)oc=O,0.0,1.0
3879,Ccc(o)CC(C)=O,0.0,1.0
3880,CC(=O)Cc(o)ccO,0.0,1.0
3881,CC(=O)Ccc(C)cO,0.0,1.0
3882,cc(O)ccCC(C)=O,0.0,1.0
3883,cc(=O)ocCC(C)=O,0.0,1.0
3884,cc(oc=O)C(C)C=O,0.0,1.0
3885,Ccc(o)C(C)C=O,0.0,1.0
3886,CC(C=O)c(o)ccO,0.0,1.0
3887,Cc(cO)cC(C)C=O,0.0,1.0
3888,cc(O)ccC(C)C=O,0.0,1.0
3889,cc(=O)ocC(C)C=O,0.0,1.0
3890,Ccc(CC=O)oc=O,0.0,1.0
3891,Cc(cO)c(o)CC=O,0.0,1.0
3892,O=CCc(ccO)oc=O,0.0,1.0
3893,cc(O)cc(o)CC=O,0.0,1.0
3894,cc(CC=O)oc(c)=O,0.0,1.0
3895,cc(O)c(C)cCC=O,0.0,1.0
3896,Ccc(O)ccCC=O,0.0,1.0
3897,O=CCccc(O)cc=O,0.0,1.0
3898,O=CCcoc(=O)ccO,0.0,1.0
3899,Ccc(=O)ocCC=O,0.0,1.0
3900,Ccc(CC)oc=O,0.0,1.0
3901,CCc(o)c(C)cO,0.0,1.0
3902,CCc(ccO)oc=O,0.0,1.0
3903,cc(O)cc(o)CC,0.0,1.0
3904,cc(CC)oc(c)=O,0.0,1.0
3905,cc(O)c(C)cCC,0.0,1.0
3906,Ccc(O)ccCC,0.0,1.0
3907,CCccc(O)cc=O,0.0,1.0
3908,CCcoc(=O)ccO,0.0,1.0
3909,Ccc(=O)ocCC,0.0,1.0
3910,Cc(cO)c(C)oc=O,0.0,1.0
3911,cc(O)c(C)c(C)o,0.0,1.0
3912,cc(=O)oc(C)cC,0.0,1.0
3913,Cc1cc(O)cc(=O)o1,0.0,1.0
3914,Ccc(O)cc(C)o,0.0,1.0
3915,cc(C)oc(=O)cC,0.0,1.0
3916,Ccc(C)c(O)cC,0.0,1.0
3917,Ccc(C)c(O)cc=O,0.0,1.0
3918,Cccc(O)c(C)c=O,0.0,1.0
3919,Ccoc(=O)c(C)cO,0.0,1.0
3920,Cc1coc(=O)cc1O,0.0,1.0
3921,Ccc(O)c(C)co,0.0,1.0
3922,Cccoc(=O)cC,0.0,1.0
3923,Cc1c(O)ccoc1=O,0.0,1.0
3924,cc(C)c(O)c(C)c=O,0.0,1.0
3925,Ccc(O)c(C)c(=O)o,0.0,1.0
3926,cC(C)C(=O)C(C)CC,0.0,1.0
3927,ccCC(=O)C(C)CC,0.0,1.0
3928,CCC(C)C(=O)Cco,0.0,1.0
3929,ccC(C)C(=O)CCC,0.0,1.0
3930,CCCC(=O)C(C)co,0.0,1.0
3931,cc(o)CC(=O)CCC,0.0,1.0
3932,CccCC(=O)CCC,0.0,1.0
3933,CCCC(=O)CcccO,0.0,1.0
3934,CCCC(=O)Ccoc=O,0.0,1.0
3935,ccC(C)C(=O)C(C)C,0.0,1.0
3936,CC(C)C(=O)C(C)co,0.0,1.0
3937,cc(o)CC(=O)C(C)C,0.0,1.0
3938,CccCC(=O)C(C)C,0.0,1.0
3939,CC(C)C(=O)CcccO,0.0,1.0
3940,CC(C)C(=O)Ccoc=O,0.0,1.0
3941,cc(o)C(C)C(=O)CC,0.0,1.0
3942,CccC(C)C(=O)CC,0.0,1.0
3943,CCC(=O)C(C)cccO,0.0,1.0
3944,CCC(=O)C(C)coc=O,0.0,1.0
3945,cc(CC(=O)CC)oc=O,0.0,1.0
3946,Ccc(o)CC(=O)CC,0.0,1.0
3947,CCC(=O)Cc(o)ccO,0.0,1.0
3948,CCC(=O)Ccc(C)cO,0.0,1.0
3949,cc(O)ccCC(=O)CC,0.0,1.0
3950,cc(=O)ocCC(=O)CC,0.0,1.0
3951,cc(oc=O)C(C)C(C)=O,0.0,1.0
3952,Ccc(o)C(C)C(C)=O,0.0,1.0
3953,CC(=O)C(C)c(o)ccO,0.0,1.0
3954,CC(=O)C(C)cc(C)cO,0.0,1.0
3955,cc(O)ccC(C)C(C)=O,0.0,1.0
3956,cc(=O)ocC(C)C(C)=O,0.0,1.0
3957,Ccc(CC(C)=O)oc=O,0.0,1.0
3958,CC(=O)Cc(ccO)oc=O,0.0,1.0
3959,cc(CC(C)=O)oc(c)=O,0.0,1.0
3960,CC(=O)Cc(o)c(C)cO,0.0,1.0
3961,cc(O)cc(o)CC(C)=O,0.0,1.0
3962,cc(O)c(C)cCC(C)=O,0.0,1.0
3963,Ccc(O)ccCC(C)=O,0.0,1.0
3964,CC(=O)Cccc(O)cc=O,0.0,1.0
3965,CC(=O)Ccoc(=O)ccO,0.0,1.0
3966,Ccc(=O)ocCC(C)=O,0.0,1.0
3967,Ccc(oc=O)C(C)C=O,0.0,1.0
3968,CC(C=O)c(ccO)oc=O,0.0,1.0
3969,cc(oc(c)=O)C(C)C=O,0.0,1.0
3970,Cc(cO)c(o)C(C)C=O,0.0,1.0
3971,cc(O)cc(o)C(C)C=O,0.0,1.0
3972,cc(O)c(C)cC(C)C=O,0.0,1.0
3973,Ccc(O)ccC(C)C=O,0.0,1.0
3974,CC(C=O)ccc(O)cc=O,0.0,1.0
3975,CC(C=O)coc(=O)ccO,0.0,1.0
3976,Ccc(=O)ocC(C)C=O,0.0,1.0
3977,Cc(cO)c(CC=O)oc=O,0.0,1.0
3978,cc(=O)oc(cC)CC=O,0.0,1.0
3979,cc(O)c(C)c(o)CC=O,0.0,1.0
3980,O=CCc1cc(O)cc(=O)o1,0.0,1.0
3981,Ccc(O)cc(o)CC=O,0.0,1.0
3982,cc(CC=O)oc(=O)cC,0.0,1.0
3983,Ccc(O)c(C)cCC=O,0.0,1.0
3984,Cc(cCC=O)c(O)cc=O,0.0,1.0
3985,Cc(c=O)c(O)ccCC=O,0.0,1.0
3986,Cc(cO)c(=O)ocCC=O,0.0,1.0
3987,CCc(oc=O)c(C)cO,0.0,1.0
3988,cc(=O)oc(cC)CC,0.0,1.0
3989,cc(O)c(C)c(o)CC,0.0,1.0
3990,CCc1cc(O)cc(=O)o1,0.0,1.0
3991,Ccc(O)cc(o)CC,0.0,1.0
3992,cc(CC)oc(=O)cC,0.0,1.0
3993,Ccc(O)c(C)cCC,0.0,1.0
3994,CCcc(C)c(O)cc=O,0.0,1.0
3995,CCccc(O)c(C)c=O,0.0,1.0
3996,CCcoc(=O)c(C)cO,0.0,1.0
3997,Cc1oc(=O)cc(O)c1C,0.0,1.0
3998,Ccc(O)c(C)c(C)o,0.0,1.0
3999,Ccc(C)oc(=O)cC,0.0,1.0
4000,Cc1cc(O)c(C)c(=O)o1,0.0,1.0
4001,Ccc(C)c(O)c(C)c=O,0.0,1.0
4002,Cc1coc(=O)c(C)c1O,0.0,1.0
4003,ccC(C)C(=O)C(C)CC,0.0,1.0
4004,CCC(C)C(=O)C(C)co,0.0,1.0
4005,cc(o)CC(=O)C(C)CC,0.0,1.0
4006,CccCC(=O)C(C)CC,0.0,1.0
4007,CCC(C)C(=O)CcccO,0.0,1.0
4008,CCC(C)C(=O)Ccoc=O,0.0,1.0
4009,cc(o)C(C)C(=O)CCC,0.0,1.0
4010,CccC(C)C(=O)CCC,0.0,1.0
4011,CCCC(=O)C(C)cccO,0.0,1.0
4012,CCCC(=O)C(C)coc=O,0.0,1.0
4013,cc(CC(=O)CCC)oc=O,0.0,1.0
4014,Ccc(o)CC(=O)CCC,0.0,1.0
4015,CCCC(=O)Cc(o)ccO,0.0,1.0
4016,CCCC(=O)Ccc(C)cO,0.0,1.0
4017,cc(O)ccCC(=O)CCC,0.0,1.0
4018,cc(=O)ocCC(=O)CCC,0.0,1.0
4019,cc(o)C(C)C(=O)C(C)C,0.0,1.0
4020,CccC(C)C(=O)C(C)C,0.0,1.0
4021,CC(C)C(=O)C(C)cccO,0.0,1.0
4022,CC(C)C(=O)C(C)coc=O,0.0,1.0
4023,cc(CC(=O)C(C)C)oc=O,0.0,1.0
4024,Ccc(o)CC(=O)C(C)C,0.0,1.0
4025,CC(C)C(=O)Cc(o)ccO,0.0,1.0
4026,Cc(cO)cCC(=O)C(C)C,0.0,1.0
4027,cc(O)ccCC(=O)C(C)C,0.0,1.0
4028,cc(=O)ocCC(=O)C(C)C,0.0,1.0
4029,cc(oc=O)C(C)C(=O)CC,0.0,1.0
