Substructure,Frequency1
CC(=O)NC=C(C)C,1
C=C(C)C.CC,1
CC=C(C(=O)O)N(C)C=O,1
CC=C(NC(C)=O)C(=O)O,1
CC.CC=CC(=O)O,1
CS.CC=CC(=O)O,1
CC=CN1CCC1=O,1
CC=CNC(=O)CNC=O,1
CC=CN(C=O)CS,1
C=CC.CCNC=O,1
C=CC.CCS,1
CCCSCC,1
CCCSCNC=O,1
CSCC=CC(=O)O,1
O=CN1C=CCSC1,1
C=CCSCC,1
O=CNC(=CCS)C(=O)O,1
CC(=O)NC=CCS,1
C=C(C(=O)O)N1CCC1=O,1
C=C(NC(=O)CNC=O)C(=O)O,1
C=C(C(=O)O)N(C=O)CS,1
C=CC(=O)O.CCNC=O,1
C=CC(=O)O.CCS,1
C=CN1CC(NC=O)C1=O,1
C=CN1C(=O)CC1S,1
C=CNC(=O)CNC(C)=O,1
C=C.CCNC(C)=O,1
C=C.O=CNCCS,1
CCSC1CC(=O)N1,1
CCSCCNC=O,1
O=CNC1CN(CC(=O)O)C1=O,1
O=C(O)CN1C(=O)CC1S,1
CC(=O)NCC(=O)NCC(=O)O,1
CSCN(CC(=O)O)C=O,1
CC(=O)O.O=CNCCS,1
CC(=O)O.CCSC,1
CC(=O)O.CCNC(C)=O,1
CN1CC(NC(C)=O)C1=O,1
CN1C(=O)C(NC=O)C1S,1
CN1C(=O)CC1SC,1
cCC(=O)NCC(=O)NC,1
C.cCC(=O)NCC,1
C.CC(=O)NCCS,1
C.CSCCNC=O,1
cCC(=O)NC1CNC1=O,1
CC(=O)NC1C(=O)NC1S,1
CSC1NC(=O)C1NC=O,1
ccCC(=O)NCC(N)=O,1
NC(=O)CNC(=O)Ccs,1
ccCC(=O)NCC,1
CCNC(=O)Ccs,1
cCC(=O)NCCS,1
CSCCNC(C)=O,1
cc(s)CC(=O)NC,1
cccCC(=O)NC,1
cscCC(=O)NC,1
ccc(s)CC(N)=O,1
csc(c)CC(N)=O,1
ccccCC(N)=O,1
ccscCC(N)=O,1
Cc1cccs1,1
CC(=O)OCC(C)=CC(=O)O,1
CC(=O)OCC(C)=CNC=O,1
C.C=C(C)COC(C)=O,1
C=C(CS)COC(C)=O,1
CC(=O)OCC=C(NC=O)C(=O)O,1
C.CC(=O)OCC=CC(=O)O,1
CC(=O)OCC=CN(C)C=O,1
CC(=O)NC=CCOC(C)=O,1
C=CCOC(C)=O.CC,1
C=CCOC(C)=O.CS,1
CSCCCOC(C)=O,1
CC(COC=O)=C(NC=O)C(=O)O,1
C.CC(=CC(=O)O)COC=O,1
O=COCC(=CC(=O)O)CS,1
CC(=CN(C)C=O)COC=O,1
O=CNC=C(CS)COC=O,1
CC(=O)NC=C(C)COC=O,1
C=C(C)COC=O.CC,1
C=C(COC=O)CSC,1
CN(C=O)C(=CCOC=O)C(=O)O,1
CC(=O)NC(=CCOC=O)C(=O)O,1
CC.O=COCC=CC(=O)O,1
CS.O=COCC=CC(=O)O,1
O=COCC=CN1CCC1=O,1
O=COCC=CN(C=O)CS,1
O=CNCC(=O)NC=CCOC=O,1
C=CCOC=O.CCS,1
C=CCOC=O.CCNC=O,1
CCSCCCOC=O,1
O=CNCSCCCOC=O,1
CC(CS)=C(NC=O)C(=O)O,1
CSCC(C)=CC(=O)O,1
CC1=CN(C=O)CSC1,1
CC(=O)NC=C(C)CS,1
C=C(C)CSCC,1
CC(C)=C(C(=O)O)N(C)C=O,1
CC(=O)NC(C(=O)O)=C(C)C,1
CC.CC(C)=CC(=O)O,1
CC(C)=CN1CCC1=O,1
CC(C)=CNC(=O)CNC=O,1
C=C(C)C.CCNC=O,1
CC=C(C(=O)O)N1CCC1=O,1
CC=C(C(=O)O)N(C=O)CS,1
CC=C(NC(=O)CNC=O)C(=O)O,1
CC=CC(=O)O.CCS,1
CC=CC(=O)O.CCNC=O,1
CC=CN1C(=O)CC1S,1
CC=CN1CC(NC=O)C1=O,1
CC=CNC(=O)CNC(C)=O,1
C=CC.O=CNCCS,1
C=CC.CCNC(C)=O,1
CCCSC1CC(=O)N1,1
CCCSCCNC=O,1
O=CN1CSCC=C1C(=O)O,1
CCSCC=CC(=O)O,1
O=C1CC2SCC=CN12,1
C=CCSCCNC=O,1
CC(=O)NC(=CCS)C(=O)O,1
O=CNCC(=O)NC=CCS,1
C=C(C(=O)O)N1C(=O)CC1S,1
C=C(C(=O)O)N1CC(NC=O)C1=O,1
C=C(NC(=O)CNC(C)=O)C(=O)O,1
C=CC(=O)O.O=CNCCS,1
C=CC(=O)O.CCNC(C)=O,1
C=CN1C(=O)C(NC=O)C1S,1
C=CN1CC(NC(C)=O)C1=O,1
cCC(=O)NCC(=O)NC=C,1
cCC(=O)NCC.C=C,1
C=C.CC(=O)NCCS,1
CCSC1NC(=O)C1NC=O,1
CCSCCNC(C)=O,1
O=CNC1C(=O)N(CC(=O)O)C1S,1
CC(=O)NC1CN(CC(=O)O)C1=O,1
CSC1CC(=O)N1CC(=O)O,1
cCC(=O)NCC(=O)NCC(=O)O,1
CC(=O)O.CSCCNC=O,1
CC(=O)O.CC(=O)NCCS,1
cCC(=O)NCC.CC(=O)O,1
cCC(=O)NC1CN(C)C1=O,1
CN1C(=O)C(NC(C)=O)C1S,1
CN1C(=O)C(NC=O)C1SC,1
CNC(=O)CNC(=O)Ccc,1
CNC(=O)CNC(=O)Ccs,1
C.ccCC(=O)NCC,1
C.CCNC(=O)Ccs,1
C.cCC(=O)NCCS,1
C.CSCCNC(C)=O,1
ccCC(=O)NC1CNC1=O,1
O=C(Ccs)NC1CNC1=O,1
cCC(=O)NC1C(=O)NC1S,1
CSC1NC(=O)C1NC(C)=O,1
cc(s)CC(=O)NCC(N)=O,1
cccCC(=O)NCC(N)=O,1
cscCC(=O)NCC(N)=O,1
cc(s)CC(=O)NCC,1
cccCC(=O)NCC,1
ccCC(=O)NCCS,1
cscCC(=O)NCC,1
O=C(Ccs)NCCS,1
cCC(=O)NCCSC,1
ccc(s)CC(=O)NC,1
csc(c)CC(=O)NC,1
ccccCC(=O)NC,1
ccscCC(=O)NC,1
NC(=O)Cc1cccs1,1
CC(=O)OCC(C)=C(NC=O)C(=O)O,1
C.CC(=O)OCC(C)=CC(=O)O,1
CC(=O)OCC(=CC(=O)O)CS,1
CC(=O)OCC(C)=CN(C)C=O,1
CC(=O)OCC(=CNC=O)CS,1
CC(=O)NC=C(C)COC(C)=O,1
C=C(C)COC(C)=O.CC,1
C=C(COC(C)=O)CSC,1
CC(=O)OCC=C(C(=O)O)N(C)C=O,1
CC(=O)NC(=CCOC(C)=O)C(=O)O,1
CC.CC(=O)OCC=CC(=O)O,1
CS.CC(=O)OCC=CC(=O)O,1
CC(=O)OCC=CN1CCC1=O,1
CC(=O)OCC=CN(C=O)CS,1
CC(=O)OCC=CNC(=O)CNC=O,1
C=CCOC(C)=O.CCS,1
C=CCOC(C)=O.CCNC=O,1
CCSCCCOC(C)=O,1
CC(=O)OCCCSCNC=O,1
CC(COC=O)=C(C(=O)O)N(C)C=O,1
O=CNC(C(=O)O)=C(CS)COC=O,1
CC(=O)NC(C(=O)O)=C(C)COC=O,1
CC.CC(=CC(=O)O)COC=O,1
CSCC(=CC(=O)O)COC=O,1
CC(=CN1CCC1=O)COC=O,1
O=COCC1=CN(C=O)CSC1,1
CC(=O)NC=C(CS)COC=O,1
CC(=CNC(=O)CNC=O)COC=O,1
C=C(COC=O)CSCC,1
C=C(C)COC=O.CCNC=O,1
O=COCC=C(C(=O)O)N1CCC1=O,1
O=COCC=C(C(=O)O)N(C=O)CS,1
O=CNCC(=O)NC(=CCOC=O)C(=O)O,1
CCS.O=COCC=CC(=O)O,1
CCNC=O.O=COCC=CC(=O)O,1
O=COCC=CN1C(=O)CC1S,1
O=CNC1CN(C=CCOC=O)C1=O,1
CC(=O)NCC(=O)NC=CCOC=O,1
C=CCOC=O.O=CNCCS,1
C=CCOC=O.CCNC(C)=O,1
O=COCCCSC1CC(=O)N1,1
O=CNCCSCCCOC=O,1
CC1=C(C(=O)O)N(C=O)CSC1,1
CC(=O)NC(C(=O)O)=C(C)CS,1
CCSCC(C)=CC(=O)O,1
CC1=CN2C(=O)CC2SC1,1
CC(=CNC(=O)CNC=O)CS,1
C=C(C)CSCCNC=O,1
CC(C)=C(C(=O)O)N1CCC1=O,1
CC(C)=C(NC(=O)CNC=O)C(=O)O,1
CCNC=O.CC(C)=CC(=O)O,1
CC(C)=CN1CC(NC=O)C1=O,1
CC(=O)NCC(=O)NC=C(C)C,1
C=C(C)C.CCNC(C)=O,1
CC=C(C(=O)O)N1C(=O)CC1S,1
CC=C(C(=O)O)N1CC(NC=O)C1=O,1
CC=C(NC(=O)CNC(C)=O)C(=O)O,1
CC=CC(=O)O.O=CNCCS,1
CC=CC(=O)O.CCNC(C)=O,1
CC=CN1C(=O)C(NC=O)C1S,1
CC=CN1CC(NC(C)=O)C1=O,1
cCC(=O)NCC(=O)NC=CC,1
C=CC.CC(=O)NCCS,1
cCC(=O)NCC.C=CC,1
CCCSC1NC(=O)C1NC=O,1
CCCSCCNC(C)=O,1
O=C(O)C1=CCSC2CC(=O)N12,1
O=CNCCSCC=CC(=O)O,1
O=CNC1C(=O)N2C=CCSC12,1
C=CCSCCNC(C)=O,1
O=CNCC(=O)NC(=CCS)C(=O)O,1
CC(=O)NCC(=O)NC=CCS,1
C=C(C(=O)O)N1C(=O)C(NC=O)C1S,1
C=C(C(=O)O)N1CC(NC(C)=O)C1=O,1
cCC(=O)NCC(=O)NC(=C)C(=O)O,1
C=CC(=O)O.CC(=O)NCCS,1
cCC(=O)NCC.C=CC(=O)O,1
C=CN1C(=O)C(NC(C)=O)C1S,1
cCC(=O)NC1CN(C=C)C1=O,1
C=CNC(=O)CNC(=O)Ccc,1
C=CNC(=O)CNC(=O)Ccs,1
C=C.ccCC(=O)NCC,1
C=C.CCNC(=O)Ccs,1
cCC(=O)NCCS.C=C,1
CCSC1NC(=O)C1NC(C)=O,1
CCSCCNC(=O)Cc,1
CSC1C(NC=O)C(=O)N1CC(=O)O,1
CC(=O)NC1C(=O)N(CC(=O)O)C1S,1
cCC(=O)NC1CN(CC(=O)O)C1=O,1
ccCC(=O)NCC(=O)NCC(=O)O,1
O=C(O)CNC(=O)CNC(=O)Ccs,1
CC(=O)O.CSCCNC(C)=O,1
cCC(=O)NCCS.CC(=O)O,1
CC(=O)O.ccCC(=O)NCC,1
CC(=O)O.CCNC(=O)Ccs,1
CN1CC(NC(=O)Ccc)C1=O,1
CN1CC(NC(=O)Ccs)C1=O,1
cCC(=O)NC1C(=O)N(C)C1S,1
CN1C(=O)C(NC(C)=O)C1SC,1
CNC(=O)CNC(=O)Cc(c)s,1
CNC(=O)CNC(=O)Cccc,1
CNC(=O)CNC(=O)Ccsc,1
C.cc(s)CC(=O)NCC,1
C.cccCC(=O)NCC,1
C.ccCC(=O)NCCS,1
C.O=C(Ccs)NCCS,1
C.cscCC(=O)NCC,1
C.cCC(=O)NCCSC,1
cc(s)CC(=O)NC1CNC1=O,1
cccCC(=O)NC1CNC1=O,1
ccCC(=O)NC1C(=O)NC1S,1
cscCC(=O)NC1CNC1=O,1
O=C(Ccs)NC1C(=O)NC1S,1
cCC(=O)NC1C(=O)NC1SC,1
ccc(s)CC(=O)NCC(N)=O,1
csc(c)CC(=O)NCC(N)=O,1
ccccCC(=O)NCC(N)=O,1
ccscCC(=O)NCC(N)=O,1
ccc(s)CC(=O)NCC,1
csc(c)CC(=O)NCC,1
cc(s)CC(=O)NCCS,1
ccccCC(=O)NCC,1
cccCC(=O)NCCS,1
ccCC(=O)NCCSC,1
ccscCC(=O)NCC,1
cscCC(=O)NCCS,1
CSCCNC(=O)Ccs,1
CNC(=O)Cc1cccs1,1
CC(=O)OCC(C)=C(C(=O)O)N(C)C=O,1
CC(=O)OCC(CS)=C(NC=O)C(=O)O,1
CC(=O)NC(C(=O)O)=C(C)COC(C)=O,1
CC.CC(=O)OCC(C)=CC(=O)O,1
CSCC(=CC(=O)O)COC(C)=O,1
CC(=O)OCC(C)=CN1CCC1=O,1
CC(=O)OCC1=CN(C=O)CSC1,1
CC(=O)NC=C(CS)COC(C)=O,1
CC(=O)OCC(C)=CNC(=O)CNC=O,1
C=C(COC(C)=O)CSCC,1
C=C(C)COC(C)=O.CCNC=O,1
CC(=O)OCC=C(C(=O)O)N1CCC1=O,1
CC(=O)OCC=C(C(=O)O)N(C=O)CS,1
CC(=O)OCC=C(NC(=O)CNC=O)C(=O)O,1
CCS.CC(=O)OCC=CC(=O)O,1
CCNC=O.CC(=O)OCC=CC(=O)O,1
CC(=O)OCC=CN1C(=O)CC1S,1
CC(=O)OCC=CN1CC(NC=O)C1=O,1
CC(=O)NCC(=O)NC=CCOC(C)=O,1
C=CCOC(C)=O.O=CNCCS,1
C=CCOC(C)=O.CCNC(C)=O,1
CC(=O)OCCCSC1CC(=O)N1,1
CC(=O)OCCCSCCNC=O,1
CC(COC=O)=C(C(=O)O)N1CCC1=O,1
O=COCC1=C(C(=O)O)N(C=O)CSC1,1
CC(=O)NC(C(=O)O)=C(CS)COC=O,1
CC(COC=O)=C(NC(=O)CNC=O)C(=O)O,1
CCSCC(=CC(=O)O)COC=O,1
CCNC=O.CC(=CC(=O)O)COC=O,1
O=COCC1=CN2C(=O)CC2SC1,1
CC(=CN1CC(NC=O)C1=O)COC=O,1
O=CNCC(=O)NC=C(CS)COC=O,1
CC(=O)NCC(=O)NC=C(C)COC=O,1
C=C(COC=O)CSCCNC=O,1
C=C(C)COC=O.CCNC(C)=O,1
O=COCC=C(C(=O)O)N1C(=O)CC1S,1
O=CNC1CN(C(=CCOC=O)C(=O)O)C1=O,1
CC(=O)NCC(=O)NC(=CCOC=O)C(=O)O,1
O=CNCCS.O=COCC=CC(=O)O,1
CCNC(C)=O.O=COCC=CC(=O)O,1
O=CNC1C(=O)N(C=CCOC=O)C1S,1
CC(=O)NC1CN(C=CCOC=O)C1=O,1
cCC(=O)NCC(=O)NC=CCOC=O,1
C=CCOC=O.CC(=O)NCCS,1
cCC(=O)NCC.C=CCOC=O,1
O=CNC1C(=O)NC1SCCCOC=O,1
CC(=O)NCCSCCCOC=O,1
CC1=C(C(=O)O)N2C(=O)CC2SC1,1
CC(CS)=C(NC(=O)CNC=O)C(=O)O,1
CC(=CC(=O)O)CSCCNC=O,1
CC1=CN2C(=O)C(NC=O)C2SC1,1
CC(=O)NCC(=O)NC=C(C)CS,1
C=C(C)CSCCNC(C)=O,1
CC(C)=C(C(=O)O)N1CC(NC=O)C1=O,1
CC(=O)NCC(=O)NC(C(=O)O)=C(C)C,1
CCNC(C)=O.CC(C)=CC(=O)O,1
CC(=O)NC1CN(C=C(C)C)C1=O,1
cCC(=O)NCC(=O)NC=C(C)C,1
cCC(=O)NCC.C=C(C)C,1
CC=C(C(=O)O)N1C(=O)C(NC=O)C1S,1
CC=C(C(=O)O)N1CC(NC(C)=O)C1=O,1
cCC(=O)NCC(=O)NC(=CC)C(=O)O,1
CC=CC(=O)O.CC(=O)NCCS,1
cCC(=O)NCC.CC=CC(=O)O,1
CC=CN1C(=O)C(NC(C)=O)C1S,1
cCC(=O)NC1CN(C=CC)C1=O,1
ccCC(=O)NCC(=O)NC=CC,1
CC=CNC(=O)CNC(=O)Ccs,1
cCC(=O)NCCS.C=CC,1
C=CC.ccCC(=O)NCC,1
C=CC.CCNC(=O)Ccs,1
CCCSC1NC(=O)C1NC(C)=O,1
cCC(=O)NCCSCCC,1
O=CNC1C(=O)N2C(C(=O)O)=CCSC12,1
CC(=O)NCCSCC=CC(=O)O,1
CC(=O)NC1C(=O)N2C=CCSC12,1
cCC(=O)NCCSCC=C,1
CC(=O)NCC(=O)NC(=CCS)C(=O)O,1
cCC(=O)NCC(=O)NC=CCS,1
C=C(C(=O)O)N1C(=O)C(NC(C)=O)C1S,1
cCC(=O)NC1CN(C(=C)C(=O)O)C1=O,1
C=C(NC(=O)CNC(=O)Ccc)C(=O)O,1
C=C(NC(=O)CNC(=O)Ccs)C(=O)O,1
cCC(=O)NCCS.C=CC(=O)O,1
C=CC(=O)O.ccCC(=O)NCC,1
C=CC(=O)O.CCNC(=O)Ccs,1
cCC(=O)NC1C(=O)N(C=C)C1S,1
C=CN1CC(NC(=O)Ccc)C1=O,1
C=CN1CC(NC(=O)Ccs)C1=O,1
C=CNC(=O)CNC(=O)Cc(c)s,1
C=CNC(=O)CNC(=O)Cccc,1
C=CNC(=O)CNC(=O)Ccsc,1
C=C.cc(s)CC(=O)NCC,1
C=C.cccCC(=O)NCC,1
C=C.ccCC(=O)NCCS,1
C=C.O=C(Ccs)NCCS,1
C=C.cscCC(=O)NCC,1
CCSC1NC(=O)C1NC(=O)Cc,1
CCSCCNC(=O)Ccc,1
CCSCCNC(=O)Ccs,1
CSC1C(NC(C)=O)C(=O)N1CC(=O)O,1
cCC(=O)NC1C(=O)N(CC(=O)O)C1S,1
ccCC(=O)NC1CN(CC(=O)O)C1=O,1
O=C(O)CN1CC(NC(=O)Ccs)C1=O,1
cc(s)CC(=O)NCC(=O)NCC(=O)O,1
cccCC(=O)NCC(=O)NCC(=O)O,1
cscCC(=O)NCC(=O)NCC(=O)O,1
cCC(=O)NCCSC.CC(=O)O,1
CC(=O)O.ccCC(=O)NCCS,1
CC(=O)O.O=C(Ccs)NCCS,1
CC(=O)O.cc(s)CC(=O)NCC,1
CC(=O)O.cccCC(=O)NCC,1
CC(=O)O.cscCC(=O)NCC,1
CN1CC(NC(=O)Cc(c)s)C1=O,1
CN1CC(NC(=O)Cccc)C1=O,1
CN1C(=O)C(NC(=O)Ccc)C1S,1
CN1C(=O)C(NC(=O)Ccs)C1S,1
CN1CC(NC(=O)Ccsc)C1=O,1
cCC(=O)NC1C(=O)N(C)C1SC,1
CNC(=O)CNC(=O)Cc(s)cc,1
CNC(=O)CNC(=O)Cc(c)sc,1
CNC(=O)CNC(=O)Ccccc,1
CNC(=O)CNC(=O)Ccscc,1
C.ccc(s)CC(=O)NCC,1
C.cc(s)CC(=O)NCCS,1
C.csc(c)CC(=O)NCC,1
C.ccccCC(=O)NCC,1
C.cccCC(=O)NCCS,1
C.ccCC(=O)NCCSC,1
C.cscCC(=O)NCCS,1
C.CSCCNC(=O)Ccs,1
C.ccscCC(=O)NCC,1
ccc(s)CC(=O)NC1CNC1=O,1
csc(c)CC(=O)NC1CNC1=O,1
cc(s)CC(=O)NC1C(=O)NC1S,1
ccccCC(=O)NC1CNC1=O,1
cccCC(=O)NC1C(=O)NC1S,1
ccCC(=O)NC1C(=O)NC1SC,1
ccscCC(=O)NC1CNC1=O,1
cscCC(=O)NC1C(=O)NC1S,1
CSC1NC(=O)C1NC(=O)Ccs,1
NC(=O)CNC(=O)Cc1cccs1,1
CCNC(=O)Cc1cccs1,1
ccc(s)CC(=O)NCCS,1
csc(c)CC(=O)NCCS,1
cc(s)CC(=O)NCCSC,1
ccccCC(=O)NCCS,1
cccCC(=O)NCCSC,1
ccscCC(=O)NCCS,1
cscCC(=O)NCCSC,1
CC(=O)OCC(C)=C(C(=O)O)N1CCC1=O,1
CC(=O)OCC1=C(C(=O)O)N(C=O)CSC1,1
CC(=O)NC(C(=O)O)=C(CS)COC(C)=O,1
CC(=O)OCC(C)=C(NC(=O)CNC=O)C(=O)O,1
CCNC=O.CC(=O)OCC(C)=CC(=O)O,1
CCSCC(=CC(=O)O)COC(C)=O,1
CC(=O)OCC(C)=CN1CC(NC=O)C1=O,1
CC(=O)OCC1=CN2C(=O)CC2SC1,1
CC(=O)OCC(=CNC(=O)CNC=O)CS,1
CC(=O)NCC(=O)NC=C(C)COC(C)=O,1
C=C(COC(C)=O)CSCCNC=O,1
C=C(C)COC(C)=O.CCNC(C)=O,1
CC(=O)OCC=C(C(=O)O)N1CC(NC=O)C1=O,1
CC(=O)OCC=C(C(=O)O)N1C(=O)CC1S,1
CC(=O)NCC(=O)NC(=CCOC(C)=O)C(=O)O,1
CC(=O)OCC=CC(=O)O.O=CNCCS,1
CCNC(C)=O.CC(=O)OCC=CC(=O)O,1
CC(=O)OCC=CN1C(=O)C(NC=O)C1S,1
CC(=O)NC1CN(C=CCOC(C)=O)C1=O,1
cCC(=O)NCC(=O)NC=CCOC(C)=O,1
C=CCOC(C)=O.CC(=O)NCCS,1
cCC(=O)NCC.C=CCOC(C)=O,1
CC(=O)OCCCSC1NC(=O)C1NC=O,1
CC(=O)NCCSCCCOC(C)=O,1
CC(COC=O)=C(C(=O)O)N1CC(NC=O)C1=O,1
O=COCC1=C(C(=O)O)N2C(=O)CC2SC1,1
O=CNCC(=O)NC(C(=O)O)=C(CS)COC=O,1
CC(=O)NCC(=O)NC(C(=O)O)=C(C)COC=O,1
O=CNCCSCC(=CC(=O)O)COC=O,1
CCNC(C)=O.CC(=CC(=O)O)COC=O,1
O=CNC1C(=O)N2C=C(COC=O)CSC12,1
CC(=O)NC1CN(C=C(C)COC=O)C1=O,1
CC(=O)NCC(=O)NC=C(CS)COC=O,1
cCC(=O)NCC(=O)NC=C(C)COC=O,1
C=C(COC=O)CSCCNC(C)=O,1
cCC(=O)NCC.C=C(C)COC=O,1
O=CNC1C(=O)N(C(=CCOC=O)C(=O)O)C1S,1
CC(=O)NC1CN(C(=CCOC=O)C(=O)O)C1=O,1
cCC(=O)NCC(=O)NC(=CCOC=O)C(=O)O,1
CC(=O)NCCS.O=COCC=CC(=O)O,1
cCC(=O)NCC.O=COCC=CC(=O)O,1
CC(=O)NC1C(=O)N(C=CCOC=O)C1S,1
cCC(=O)NC1CN(C=CCOC=O)C1=O,1
ccCC(=O)NCC(=O)NC=CCOC=O,1
O=COCC=CNC(=O)CNC(=O)Ccs,1
cCC(=O)NCCS.C=CCOC=O,1
C=CCOC=O.ccCC(=O)NCC,1
C=CCOC=O.CCNC(=O)Ccs,1
CC(=O)NC1C(=O)NC1SCCCOC=O,1
cCC(=O)NCCSCCCOC=O,1
CC1=C(C(=O)O)N2C(=O)C(NC=O)C2SC1,1
CC(=O)NCC(=O)NC(C(=O)O)=C(C)CS,1
CC(=O)NCCSCC(C)=CC(=O)O,1
CC(=O)NC1C(=O)N2C=C(C)CSC12,1
cCC(=O)NCC(=O)NC=C(C)CS,1
cCC(=O)NCCSCC(=C)C,1
CC(=O)NC1CN(C(C(=O)O)=C(C)C)C1=O,1
cCC(=O)NCC(=O)NC(C(=O)O)=C(C)C,1
cCC(=O)NCC.CC(C)=CC(=O)O,1
cCC(=O)NC1CN(C=C(C)C)C1=O,1
ccCC(=O)NCC(=O)NC=C(C)C,1
CC(C)=CNC(=O)CNC(=O)Ccs,1
C=C(C)C.ccCC(=O)NCC,1
C=C(C)C.CCNC(=O)Ccs,1
CC=C(C(=O)O)N1C(=O)C(NC(C)=O)C1S,1
cCC(=O)NC1CN(C(=CC)C(=O)O)C1=O,1
ccCC(=O)NCC(=O)NC(=CC)C(=O)O,1
CC=C(NC(=O)CNC(=O)Ccs)C(=O)O,1
cCC(=O)NCCS.CC=CC(=O)O,1
ccCC(=O)NCC.CC=CC(=O)O,1
CC=CC(=O)O.CCNC(=O)Ccs,1
cCC(=O)NC1C(=O)N(C=CC)C1S,1
ccCC(=O)NC1CN(C=CC)C1=O,1
CC=CN1CC(NC(=O)Ccs)C1=O,1
cc(s)CC(=O)NCC(=O)NC=CC,1
cccCC(=O)NCC(=O)NC=CC,1
cscCC(=O)NCC(=O)NC=CC,1
C=CC.ccCC(=O)NCCS,1
C=CC.O=C(Ccs)NCCS,1
C=CC.cc(s)CC(=O)NCC,1
C=CC.cccCC(=O)NCC,1
C=CC.cscCC(=O)NCC,1
cCC(=O)NC1C(=O)NC1SCCC,1
ccCC(=O)NCCSCCC,1
CCCSCCNC(=O)Ccs,1
