Substructure,Frequency1
C,4
O=CO,1
NC=O,4
c,3
s,1
S,1
CC(=O)O,1
COC=O,1
CC,3
C=C,2
CNC=O,2
C.C,2
CC(N)=O,4
cC,1
cc,3
cs,1
CS,1
COC(C)=O,1
CCOC=O,1
C=CC,1
CCC,2
C=CC(=O)O,1
C=CNC=O,1
C.C=C,1
CCS,1
O=CNCC(=O)O,1
C.CC(=O)O,1
CNC(C)=O,1
CN(C)C=O,1
C.CC,2
C.CS,1
O=C1CCN1,1
NC(=O)CNC=O,1
O=CNCS,1
CCNC=O,2
cCC(N)=O,1
ccC,1
Ccs,1
ccs,1
ccc,3
csc,1
CSC,1
CCOC(C)=O,1
C=CCOC=O,1
CCCOC=O,1
C=C(C)C,1
CC=CC(=O)O,1
CC=CNC=O,1
C.C=CC,1
CCCS,1
C=CCS,1
C=C(NC=O)C(=O)O,1
C.C=CC(=O)O,1
C=CNC(C)=O,1
C=CN(C)C=O,1
C=C.CC,1
C=C.CS,1
CCSC,1
CC(=O)NCC(=O)O,1
CN(CC(=O)O)C=O,1
CC(=O)O.CC,1
CC(=O)O.CS,1
CN1CCC1=O,1
CNC(=O)CNC=O,1
CN(C=O)CS,1
C.CCNC=O,2
C.CCS,1
C.CSC,1
O=CNC1CNC1=O,1
O=C1CC(S)N1,1
CC(=O)NCC(N)=O,1
CSCNC=O,1
CCNC(C)=O,1
O=CNCCS,1
cCC(=O)NC,1
ccCC(N)=O,1
NC(=O)Ccs,1
cc(C)s,1
cccC,1
cscC,1
cccs,1
ccsc,1
cccc,3
C=CCOC(C)=O,1
CCCOC(C)=O,1
C=C(C)COC=O,1
O=COCC=CC(=O)O,1
O=CNC=CCOC=O,1
C.C=CCOC=O,1
O=COCCCS,1
C=C(C)CS,1
CC(C)=CC(=O)O,1
CC(C)=CNC=O,1
C.C=C(C)C,1
CC=C(NC=O)C(=O)O,1
C.CC=CC(=O)O,1
CC=CNC(C)=O,1
CC=CN(C)C=O,1
C=CC.CC,1
C=CC.CS,1
CCCSC,1
C=CCSC,1
O=C(O)C=CCS,1
O=CNC=CCS,1
C=C(NC(C)=O)C(=O)O,1
C=C(C(=O)O)N(C)C=O,1
C=CC(=O)O.CC,1
C=CC(=O)O.CS,1
C=CN1CCC1=O,1
C=CNC(=O)CNC=O,1
C=CN(C=O)CS,1
C=C.CCNC=O,1
C=C.CCS,1
CCSCC,1
CCSCNC=O,1
O=C(O)CN1CCC1=O,1
O=CNCC(=O)NCC(=O)O,1
O=CN(CC(=O)O)CS,1
CC(=O)O.CCS,1
CC(=O)O.CCNC=O,1
CC(=O)O.CSC,1
CN1CC(NC=O)C1=O,1
CN1C(=O)CC1S,1
CNC(=O)CNC(C)=O,1
CN(C=O)CSC,1
C.CCNC(C)=O,1
C.O=CNCCS,1
C.CCSC,1
CC(=O)NC1CNC1=O,1
O=CNC1C(=O)NC1S,1
CSC1CC(=O)N1,1
cCC(=O)NCC(N)=O,1
cCC(=O)NCC,1
CC(=O)NCCS,1
CSCCNC=O,1
ccCC(=O)NC,1
CNC(=O)Ccs,1
cc(s)CC(N)=O,1
cccCC(N)=O,1
cscCC(N)=O,1
ccc(C)s,1
csc(c)C,1
ccccC,1
ccscC,1
c1ccsc1,1
C=C(C)COC(C)=O,1
CC(=O)OCC=CC(=O)O,1
CC(=O)OCC=CNC=O,1
C.C=CCOC(C)=O,1
CC(=O)OCCCS,1
CC(=CC(=O)O)COC=O,1
CC(=CNC=O)COC=O,1
C.C=C(C)COC=O,1
C=C(CS)COC=O,1
O=CNC(=CCOC=O)C(=O)O,1
C.O=COCC=CC(=O)O,1
CN(C=O)C=CCOC=O,1
CC(=O)NC=CCOC=O,1
C=CCOC=O.CC,1
C=CCOC=O.CS,1
CSCCCOC=O,1
CC(=CC(=O)O)CS,1
CC(=CNC=O)CS,1
C=C(C)CSC,1
CC(C)=C(NC=O)C(=O)O,1
C.CC(C)=CC(=O)O,1
CC(C)=CN(C)C=O,1
