smiles,group
CSCCC(NC=O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NP(=O)(OCCCN)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(C)O,antibacterial
CCCC=CC=CCC1CC=CC=C(C)C=CC=CC(O)C(O)C=C(C)C=CC=CC(=O)N1,antibacterial
NC(N)=NS(=O)(=O)c1ccc(N)cc1,antibacterial
CCC1C=CC=CCC(C)C(O)C(C)(O)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(CCC(C)C(CC(C)O)O1)C2C,antibacterial
COc1cc2c(ccc3c(C)c(C)ccc32)cc1C(C)C,antibacterial
CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)CC(c1ccc(O)cc1)O2,antibacterial
CC=CC=CC(=O)NC(CC(=O)NC(C(=O)C1C(=O)NC(=O)C1C)C(C)C)c1ccccc1,antibacterial
C=C(C(=O)O)C(CCCCCC(=O)OCC)C(=O)O,antibacterial
C=CC(C)(C)C12C=C(O)C(=O)N3C(=Cc4c[nH]cn4)C(=O)NC31N(O)c1ccccc12,antibacterial
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O.O.O.O.O.O,antibacterial
CC1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21.CS(=O)(=O)O,antibacterial
C=C(NC(=O)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CSCC(NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc2cnc[nH]2)NC(=O)C2CSCCC(NC(=O)C(NC(=O)C3CSCCC(NC(=O)C4CSCC(NC(=O)C(=CC)NC(=O)C(N)Cc5ccccc5)C(=O)NC(Cc5cnc[nH]5)C(=O)NC(=C)C(=O)NC(CC(C)C)C(=O)N4)C(=O)N4CCCC4C(=O)NCC(=O)N3)C(C)CC)C(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NCC(=O)N2)C(C)CC)C(=O)NC(C(C)CC)C(=O)NCC(=O)N1)C(C)C)C(C)CC)C(C)CC)C(=O)NC(CCCCN)C(=O)O,antibacterial
CCCC1OC1C(=O)NC(CO)C(=O)NC1C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(O)C(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(=Cc2c[nH]c3ccccc23)C(=O)OC1C,antibacterial
O=C(O)c1cn(C2CC2)c2cc(N3CCC(O)(COc4ccc(N5CC(CO)OC5=O)cc4F)CC3)c(F)cc2c1=O,antibacterial
CSCCC(NC(=O)NC(Cc1cccc(O)c1)C(=O)O)C(=O)NC(C(=O)NC=C1CC(O)C(N2CCC(=O)NC2=O)O1)C(C)N(C)C(=O)C1Cc2cc(O)ccc2CN1,antibacterial
CC(C)CCCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,antibacterial
COC1=CC(=O)c2c(O)c3c(c(C)c2C1=O)CC1(O)C(OC2CCC(OC4CC(C)(O)C(OC(=O)c5c(C)ccc(C)c5O)C(C)O4)C(C)O2)C(=O)C(=C(C)O)C(=O)C1(O)C3=O,antibacterial
C=C(NC(=O)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CSCC(NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc2cnc[nH]2)NC(=O)C2CSCCC(NC(=O)C(NC(=O)C3CSCCC(NC(=O)C4CSCC(NC(=O)C(=CC)NC(=O)C(N)Cc5ccccc5)C(=O)NC(Cc5cnc[nH]5)C(=O)NC(=C)C(=O)NC(CC(C)C)C(=O)N4)C(=O)N4CCCC4C(=O)NCC(=O)N3)C(C)CC)C(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NCC(=O)N2)C(C)CC)C(=O)NC(C(C)CC)C(=O)NCC(=O)N1)C(C)C)C(C)CC)C(C)CC)C(=O)NC(CCCCN)C(=O)O,antibacterial
CC=C(NC(=O)c1csc(-c2csc(-c3ccc4c(n3)-c3csc(n3)C(C(C)O)NC(=O)c3csc(n3)C(C(C)C)NC(=O)c3csc(n3)C(=CC)NC(=O)C(C(C)O)NC(=O)c3csc-4n3)n2)n1)C(=O)NCC(C)O,antibacterial
[Cl-].[Cl-].[NH3+]c1cc([As]=[As]c2ccc(O)c([NH3+])c2)ccc1O,antibacterial
NCC1OC(OC2C(N)CC(N)C(O)C2OC2OC(CO)C(O)C2O)C(N)C(O)C1O,antibacterial
Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+],antibacterial
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2OC(C)=O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,antibacterial
COC(C(N)=O)C(NC(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1)C(=O)Nc1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(C(=O)O)cc3OC(C)C)c(O)c2OC(C)C)cc1,antibacterial
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,antibacterial
Cc1c(CO)[n+]([O-])c2ccccc2[n+]1[O-],antibacterial
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].O.[Na+],antibacterial
