smiles,group
CCC(C)CCC=CC=CC(=O)NC(C(=O)NC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C(O)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)C(=O)O)C(=O)NC(C(C)C)C(=O)N2CC(C)CC2C(=O)NC1C)C(C)C(=O)O,antibacterial
O=C(CNCCc1c[nH]c2ccc(O)cc12)C(O)C(O)C(O)CO,antibacterial
O=CC(=O)CCO,antibacterial
O=C(C=CC=CC=CC1CCCCC1)NC1=CC(O)(C=CC=CC=CC(=O)NC2=C(O)CCC2=O)C2OC2C1=O,antibacterial
CC(=O)NC(CSC(=O)C1(C(O)C(C)C)NC(=O)C(C)C1O)C(=O)O,antibacterial
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12.Cl,antibacterial
CNC1C(=O)NC2Cc3ccc(cc3)Oc3cc4cc(c3OC3OC(C(=O)O)C(O)C(O)C3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(OC2OC(CO)C(O)C(O)C2O)cc(O)cc1C(C(=O)NCCCN(C)C)NC3=O,antibacterial
CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O,antibacterial
CC(C)CC1NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C(Cc2ccc(O)cc2)NC(CCC(=O)O)C(=O)NC(CC(N)=O)C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,antibacterial
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,antibacterial
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1.Cl,antibacterial
CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,antibacterial
[H]C12SC(C)(C)C(C(=O)O)N1C(=O)C2NC(=O)C(N)c1ccccc1.[H]C12SC(C)(C)C(C(=O)O)N1C(=O)C2NC(=O)C(N)c1ccccc1.c1ccc(CNCCNCc2ccccc2)cc1,antibacterial
CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC(C(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS(=O)(=O)[O-])NC1=O)C(C)O.[Na+].[Na+].[Na+].[Na+].[Na+],antibacterial
CC1=CC2OC3CC4OC(=O)C=CC=CC(=O)OCCC(C)C(O)C(=O)OCC2(CC1)C4(C)C31CO1,antibacterial
CC=CC1C=CC2CC(C)CCC2C1(C)C(O)=C1C(=O)NC(CO)C1=O,antibacterial
CCNC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OCC(C)(O)C(NC)C1O,antibacterial
CCCCn1c(Cn2cnc3c(N4CCOCC4)ncnc32)nc2ccccc21,not-antibacterial
Clc1ccc(C2=NN(c3cc(Cl)cc(Cl)c3)C(c3cccc(Nc4ccnc5cc(Cl)ccc45)c3)C2)cc1,not-antibacterial
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(CCCCN)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(N)=O)C(C)CC,not-antibacterial
NC(=O)c1c(F)ccc(OCCCCn2cnc3ccccc32)c1F,not-antibacterial
Cc1ccc(S(=O)(=O)NC(=O)Nc2ccccc2C(=O)C=Cc2cccc(O)c2)cc1,not-antibacterial
N#Cc1c(NC(=O)c2cc(OCCN)ccc2Cl)sc2c1CCN(Cc1ccc(-n3cnnn3)cc1)C2,not-antibacterial
Cc1ccc2nc(Cl)c(C3C(C#N)=C(N)N(Nc4ccc(F)cc4)C4=C3C(=O)CC(C)(C)C4)cc2c1,not-antibacterial
CC1CCCC1=NN=C1SCC(=O)N1CN1C(=O)c2ccccc2C1=O,not-antibacterial
Fc1ccccc1-n1cc(CN(Cc2cn(-c3ccccc3F)nn2)c2nc3ccccc3s2)nn1,not-antibacterial
CCC(CC)=NN=C1SCC(=O)N1CN1C(=O)c2ccccc2C1=O,not-antibacterial
COC(=O)c1c(C=Cc2cccc(C#N)c2)cc(OC)c(CC=C(C)C)c1O,not-antibacterial
O=S(=O)(c1ccccc1)c1ccc(C(O)Cc2cn(Cc3ccccc3)nn2)cc1,not-antibacterial
COC(=O)CNP(=O)(OCCN(C)c1cc(=O)oc2ccc(C)cc12)Oc1ccccc1,not-antibacterial
NC(=O)c1c(F)ccc(OCCCCCCn2cnc3ccccc32)c1F,not-antibacterial
NC(=O)c1c(F)ccc(OCc2nc3ccccc3[nH]2)c1F,not-antibacterial
CCOC(=O)C1=C(N)N(Nc2ccc(F)cc2)C2=C(C(=O)CC(C)(C)C2)C1c1cc2cc(Cl)ccc2nc1Cl,not-antibacterial
CCCCSC=C(C)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,not-antibacterial
Cc1ccc2nc(-c3ccc(NCc4cn(Cc5cc(=O)oc6cc(O)ccc56)nn4)cc3)sc2c1,not-antibacterial
CCn1cc(C(=O)O)c(=O)c2cc(F)c(C(=O)O)cc21,not-antibacterial
CN(CC(=O)O)NC(=O)CC(N)CC(O)CNCCO,not-antibacterial
CNC(=N)NCCCC=CCCCC(C)CC(C)C1OC(=O)C(C)C(O)C=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC2(OC)OC(CC(OC(=O)CC(=O)O)CC(O)CC(O)C(C)C(O)C=CC=CC1C)CC(O)C2O,not-antibacterial
Cc1cnc(C(=O)O)cn1,not-antibacterial
COc1ccc(NC(=O)[N-]c2c([N+]#N)c(C)nn2C)c([N+](=O)[O-])c1,not-antibacterial
Cc1coc2c1C(=O)C1=C(C2=O)C23CCCC(C)(C)C2CC1OC3=O,not-antibacterial
NCC1OC(OC2C(N)CC(N)C(OCc3ccc4ccccc4c3)C2O)C(N)C(O)C1O,not-antibacterial
CCOC(=O)CCC(=O)c1ccc(C(C)(C)C)cc1,not-antibacterial
CCCCCCCCN(Cc1ccccc1)C(=O)C(N)CCCCN.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,not-antibacterial
COC(=O)C1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C4NC(=O)C(NC(=O)C(n5cc(COc6ccc(-c7ccccc7)cc6)nn5)c5ccc(O)c(c5)Oc5cc4cc(O)c5C)C(O)c4ccc(cc4)Oc4cc3cc(c4O)Oc3ccc(cc3)C2O)c2ccc(O)c(c2)-c2c(O)cc(O)cc21,not-antibacterial
COc1cc(OC)c2c(=O)cc(-c3ccc(OCc4cn(-c5ccc(F)cc5Cl)nn4)c(OCc4cn(-c5ccc(F)cc5Cl)nn4)c3)oc2c1,not-antibacterial
CN(CC(=O)O)NC(=O)CC(N)CC(O)CN1CCOCC1,not-antibacterial
Brc1ccc(C2=CSC3=NC4=C(CSc5ccccc54)C(c4ccccc4)N23)cc1,not-antibacterial
COc1ccc(C2CCN(C(=O)Cc3ccc(NC(C)=O)cc3)C2)cc1,not-antibacterial
O=[N+]([O-])c1ccc(-c2csc(Nc3nc(Nc4ccc(Br)cc4)nc(Nc4ccc(Br)cc4)n3)n2)cc1,not-antibacterial
CC1OC(OC2C(O)C(OCCc3ccc(O)c(O)c3)OC(CO)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1OC1OCC(O)(CO)C1O,not-antibacterial
CCCCNC(=O)C=Cc1ccc(C#N)cc1,not-antibacterial
CCc1[nH]cc(CN(CC)CC)c(=O)c1O,not-antibacterial
CCOC(=O)C1=C(C)N=C(C)C(=C(O)OCC)C1,not-antibacterial
O=c1cc(CO)oc(C2C=C(c3ccc4ccccc4c3)Oc3ccccc32)c1O,not-antibacterial
CCN1C(C)CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2N(C)C5)CC1C.Cl,not-antibacterial
CC(=O)OCC(C)C1=C(OC(C)=O)C(O)C2=C(C1=O)C1CC3C(C)(C)CCCC23C(=O)O1,not-antibacterial
CN1Cc2csc3c(C(=O)O)c(=O)c4cc(F)c(N5CCNCC5)c1c4n23,not-antibacterial
CC(=O)Nc1ccc(C(=O)C=Cc2ccc(C=O)cc2)cc1,not-antibacterial
O=C1NC(=O)C(=Cc2ccc(C=CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)S1,not-antibacterial
Cc1ccc(-n2nc(C)c3c2OCC2CSc4nc5c(C)cccc5cc4C32)cc1,not-antibacterial
COC1C=C(CCC2C(=COS(=O)(=O)[O-])CCC3C2(C)CCC2C(C)(C)CCCC23C)C(=O)O1.[Na+],not-antibacterial
COC(=O)c1c(O)cc(OC)cc1C=Cc1ccc(F)cc1,not-antibacterial
CN(CC(=O)O)NC(=O)CC(N)CC(O)CNC(N)=O,not-antibacterial
