Substructure,Frequency,Percentage1
C,4,100.0
N,4,100.0
S,4,100.0
O,4,100.0
c,3,75.0
CC,4,100.0
CS,4,100.0
CN,4,100.0
C=O,4,100.0
cC,3,75.0
cc,3,75.0
cO,1,25.0
CO,4,100.0
CCC,4,100.0
CCS,4,100.0
CCN,4,100.0
CSC,4,100.0
CNC,4,100.0
CC=O,4,100.0
CCO,4,100.0
NCS,3,75.0
NC=O,4,100.0
CCc,3,75.0
cCN,2,50.0
ccC,3,75.0
ccc,3,75.0
ccO,1,25.0
O=CO,3,75.0
CC(C)C,3,75.0
CC(C)S,2,50.0
CCCN,3,75.0
CCCC,3,75.0
CCSC,4,100.0
NCCS,3,75.0
CCCS,4,100.0
CC(C)N,4,100.0
CCNC,4,100.0
CNCC,4,100.0
CCC=O,4,100.0
CCCO,3,75.0
CSCN,3,75.0
NCC=O,4,100.0
NCCO,4,100.0
CN(C)C,4,100.0
CNCS,3,75.0
CNC=O,4,100.0
CC(=O)O,3,75.0
C1CCN1,3,75.0
CC(N)S,3,75.0
NCCN,4,100.0
CC(N)=O,4,100.0
cCCN,3,75.0
cCC=O,3,75.0
CC(c)N,2,50.0
CCcc,3,75.0
ccCN,2,50.0
cc(c)C,3,75.0
cccC,3,75.0
cccc,3,75.0
cccO,1,25.0
cc(c)O,1,25.0
CC(C)(C)S,2,50.0
CC(C)CN,3,75.0
CCC(C)C,3,75.0
CC(S)CN,2,50.0
CCC(C)S,2,50.0
CSC(C)C,2,50.0
CC(N)CC,3,75.0
CCCNC,3,75.0
CNCCC,3,75.0
CCCC=O,3,75.0
CCCCO,3,75.0
CCSCN,3,75.0
CCSCC,3,75.0
CC(N)CS,3,75.0
C1CSCN1,2,50.0
CNCCS,3,75.0
CCCSC,4,100.0
O=CCCS,3,75.0
OCCCS,3,75.0
CC(C)NC,3,75.0
CNC(C)C,4,100.0
CC(N)C=O,4,100.0
CC(N)CO,3,75.0
CN(C)CC,2,50.0
CCNCC,4,100.0
CCNC=O,4,100.0
CCC(=O)O,2,50.0
CNCSC,3,75.0
CSC(C)N,3,75.0
CSCCN,3,75.0
CCN(C)C,4,100.0
CCNCS,3,75.0
CNCC=O,4,100.0
CNCCO,4,100.0
NCC(=O)O,3,75.0
CN(C)CS,3,75.0
CN1CCC1,3,75.0
CN(C)C=O,3,75.0
CNC(C)S,3,75.0
CNCCN,4,100.0
CNC(C)=O,4,100.0
SC1CCN1,3,75.0
O=CNCS,3,75.0
NC1CNC1,3,75.0
O=C1CCN1,3,75.0
NCC(N)S,3,75.0
NCC(N)=O,4,100.0
cCCNC,3,75.0
cCC(N)=O,3,75.0
cC(N)CN,2,50.0
ccCCN,3,75.0
cC(N)C=O,2,50.0
ccCC=O,3,75.0
CC(N)cc,2,50.0
CCc(c)c,3,75.0
CCccc,3,75.0
cc(c)CN,2,50.0
cccCN,2,50.0
ccc(c)C,3,75.0
ccccC,3,75.0
ccccc,3,75.0
ccccO,1,25.0
ccc(c)O,1,25.0
CC(C)(S)CN,2,50.0
CCC(C)(C)S,2,50.0
CSC(C)(C)C,2,50.0
CC(N)C(C)C,2,50.0
CNCC(C)C,3,75.0
CC(C)CC=O,2,50.0
CC(C)CCO,2,50.0
CC(N)C(C)S,2,50.0
CC1CNCS1,2,50.0
CNCC(C)S,2,50.0
CCC(C)SC,2,50.0
CC(S)CC=O,2,50.0
CC(S)CCO,2,50.0
CCSC(C)C,2,50.0
CC(CC)NC,3,75.0
CNC(C)CC,3,75.0
CCC(N)C=O,3,75.0
CCC(N)CO,3,75.0
CN(C)CCC,2,50.0
CCCNCC,3,75.0
CCNCCC,3,75.0
CCCNC=O,3,75.0
CCCC(=O)O,2,50.0
CC(C)SCN,2,50.0
CNCSCC,2,50.0
CCSC(C)N,3,75.0
CCCSCC,3,75.0
CCSCCN,3,75.0
CC1CSCN1,2,50.0
CNC(C)CS,3,75.0
NC(C=O)CS,3,75.0
NC(CO)CS,2,50.0
CN1CCSC1,2,50.0
CC1NCCS1,2,50.0
CCNCCS,3,75.0
O=CNCCS,3,75.0
CSCCC=O,3,75.0
CSCCCO,3,75.0
O=C(O)CCS,2,50.0
CC(C)N(C)C,3,75.0
CC(C)NCC,3,75.0
CNC(C)C=O,4,100.0
CNC(C)CO,3,75.0
CC(C)NC=O,4,100.0
CC(N)C(=O)O,2,50.0
CCN1CCC1,3,75.0
CCN(C)C=O,3,75.0
CCNCCN,4,100.0
CCNC(C)=O,4,100.0
CSC1CCN1,3,75.0
CSCNC=O,3,75.0
CSC(N)CN,3,75.0
CC(N)CSC,3,75.0
CNCCSC,3,75.0
CCN(C)CS,3,75.0
CN(C)CC=O,4,100.0
CN(C)CCO,3,75.0
CCNC(C)S,3,75.0
O=CCNCS,3,75.0
OCCNCS,3,75.0
CCNCC=O,4,100.0
CCNCCO,4,100.0
CNCC(=O)O,3,75.0
O=CCNC=O,3,75.0
O=CNCCO,4,100.0
CN1CCC1S,3,75.0
CN(C=O)CS,3,75.0
CN1CC(N)C1,3,75.0
CN1CCC1=O,3,75.0
CNC(S)CN,3,75.0
CNCCNC,4,100.0
CNC(=O)CN,4,100.0
NC1CNC1S,3,75.0
O=C1CC(S)N1,3,75.0
NC1CNC1=O,3,75.0
CNC1CNC1,3,75.0
CNCC(N)S,3,75.0
NCCNC=O,3,75.0
CNCC(N)=O,4,100.0
cCCNCC,3,75.0
cCC(=O)NC,3,75.0
cC(N)CNC,2,50.0
ccCCNC,3,75.0
cC(N)C(N)=O,2,50.0
ccCC(N)=O,3,75.0
ccC(N)CN,2,50.0
cc(c)CCN,3,75.0
cccCCN,3,75.0
ccC(N)C=O,2,50.0
cc(c)CC=O,3,75.0
cccCC=O,3,75.0
CC(N)c(c)c,2,50.0
CC(N)ccc,2,50.0
CCc(c)cc,3,75.0
CCcccc,3,75.0
ccc(c)CN,2,50.0
ccccCN,2,50.0
cccc(c)C,3,75.0
ccc(C)cc,3,75.0
cccccC,3,75.0
CccccO,1,25.0
c1ccccc1,3,75.0
cccccO,1,25.0
cccc(c)O,1,25.0
ccc(O)cc,1,25.0
CC(N)C(C)(C)S,2,50.0
CC1(C)CNCS1,2,50.0
CNCC(C)(C)S,2,50.0
CCC(C)(C)SC,2,50.0
CC(C)(S)CC=O,2,50.0
CC(C)(S)CCO,2,50.0
CCSC(C)(C)C,2,50.0
CC(NC)C(C)C,2,50.0
CNC(C)C(C)C,2,50.0
CC(C)C(N)C=O,2,50.0
CC(C)C(N)CO,2,50.0
CN(C)CC(C)C,2,50.0
CCNCC(C)C,2,50.0
CC(C)CNC=O,2,50.0
CC(C)CC(=O)O,2,50.0
CC1NCSC1C,2,50.0
CNC(C)C(C)S,2,50.0
CC(S)C(N)C=O,2,50.0
CC(S)C(N)CO,2,50.0
CN1CSC(C)C1,2,50.0
CC1CNC(C)S1,2,50.0
CCNCC(C)S,2,50.0
CC(S)CNC=O,2,50.0
CCC(C)SCC,2,50.0
CSC(C)CC=O,2,50.0
CSC(C)CCO,2,50.0
CC(S)CC(=O)O,2,50.0
CCCSC(C)C,2,50.0
CC(C)SCCN,2,50.0
CC(CC)N(C)C,2,50.0
CC(CC)NCC,2,50.0
CCC(C=O)NC,3,75.0
CCC(CO)NC,2,50.0
CC(CC)NC=O,2,50.0
CNC(C=O)CC,2,50.0
CNC(CO)CC,2,50.0
CCC(N)C(=O)O,2,50.0
CCCN1CCC1,2,50.0
CCCN(C)C=O,2,50.0
CCCNCCN,3,75.0
CCCNC(C)=O,3,75.0
CNCSC(C)C,2,50.0
CC(C)SC(C)N,2,50.0
CCSC1CCN1,3,75.0
CCSCNC=O,3,75.0
CCSC(N)CN,3,75.0
CC(N)CSCC,2,50.0
CCSCCC=O,3,75.0
CNCCSCC,2,50.0
CC1CSCN1C,2,50.0
CC1CSC(C)N1,2,50.0
O=CC1CSCN1,2,50.0
OCC1CSCN1,2,50.0
CC(CS)NCC,3,75.0
CC(CS)NC=O,3,75.0
CNC(C=O)CS,3,75.0
CNC(CO)CS,2,50.0
NC(CS)C(=O)O,2,50.0
C1CC2SCCN12,2,50.0
O=CN1CCSC1,2,50.0
NCC1NCCS1,2,50.0
NCCNCCS,3,75.0
CC(=O)NCCS,3,75.0
CCCSCCC,3,75.0
CCCSCCN,3,75.0
CCSCCCO,2,50.0
CSCCC(=O)O,2,50.0
CC(C)N1CCC1,2,50.0
CC(C)N(C)C=O,2,50.0
CN(C)C(C)C=O,2,50.0
CN(C)C(C)CO,2,50.0
CC(C)NCCN,4,100.0
CCNC(C)C=O,3,75.0
CCNC(C)CO,3,75.0
