Substructure,Frequency,Percentage1
CNC(C)C(=O)O,2,50.0
CC(C)NC(C)=O,3,75.0
CC(C=O)NC=O,3,75.0
CC(CO)NC=O,3,75.0
CCN1CC(N)C1,3,75.0
CCN1CCC1=O,3,75.0
CNCCNCC,3,75.0
CCNC(=O)CN,4,100.0
CSC1NCC1N,3,75.0
CSC1CC(=O)N1,3,75.0
CNCC(N)SC,3,75.0
CSCC(N)C=O,3,75.0
CNC(C)CSC,3,75.0
CSCCNC=O,3,75.0
CCNCCSC,3,75.0
CCN1CCC1S,3,75.0
CCN(C=O)CS,3,75.0
CN(CS)CC=O,2,50.0
CN(CS)CCO,2,50.0
O=CCN1CCC1,3,75.0
OCCN1CCC1,3,75.0
CN(C=O)CC=O,2,50.0
CN(C=O)CCO,2,50.0
CN(C)CC(=O)O,3,75.0
CCNC(S)CN,3,75.0
CC(S)NCC=O,3,75.0
CC(S)NCCO,3,75.0
O=C(O)CNCS,3,75.0
CCNCCNC,4,100.0
NCCNCC=O,3,75.0
NCCNCCO,4,100.0
CCNCC(=O)O,3,75.0
CC(=O)NCC=O,3,75.0
CC(=O)NCCO,4,100.0
O=CNCC(=O)O,3,75.0
CN1CC(N)C1S,3,75.0
CN1C(=O)CC1S,3,75.0
CN1CC(N)C1=O,3,75.0
CNC1CN(C)C1,3,75.0
CNCC(S)NC,3,75.0
CNCCNC=O,3,75.0
CNCC(=O)NC,4,100.0
NC1C(=O)NC1S,3,75.0
CNC1CNC1S,3,75.0
CNC1CNC1=O,3,75.0
O=CNC1CNC1,3,75.0
CCNC1CNC1,3,75.0
NC(S)CNC=O,3,75.0
CCNCC(N)S,3,75.0
CC(=O)NCCN,3,75.0
cCCNCCN,3,75.0
NCCNCCN,2,50.0
NC(=O)CNC=O,3,75.0
CCNCC(N)=O,4,100.0
cCCNCCS,3,75.0
cCCNC(C)C,3,75.0
cCC(=O)NCC,3,75.0
cC(N)CNCC,2,50.0
ccCCNCC,3,75.0
cCCNCC=O,3,75.0
CCNC(=O)Cc,3,75.0
CCNCC(c)N,2,50.0
CCNCCcc,3,75.0
cC(N)C(=O)NC,2,50.0
ccCC(=O)NC,3,75.0
ccC(N)CNC,2,50.0
cc(c)CCNC,3,75.0
cccCCNC,3,75.0
ccC(N)C(N)=O,2,50.0
cc(c)CC(N)=O,3,75.0
cccCC(N)=O,3,75.0
cc(c)C(N)CN,2,50.0
cccC(N)CN,2,50.0
ccc(c)CCN,3,75.0
ccccCCN,3,75.0
cc(c)C(N)C=O,2,50.0
cccC(N)C=O,2,50.0
ccc(c)CC=O,3,75.0
ccccCC=O,3,75.0
CC(N)c(c)cc,2,50.0
CC(N)cccc,2,50.0
CCc(c)ccc,3,75.0
CCc(cc)cc,3,75.0
CCccccc,3,75.0
CCccccO,1,25.0
cccc(c)CN,2,50.0
ccc(cc)CN,2,50.0
cccccCN,2,50.0
NCccccO,1,25.0
Cc1ccccc1,3,75.0
cc(C)cccO,1,25.0
cc(O)cccC,1,25.0
Oc1ccccc1,1,25.0
CC1NCSC1(C)C,2,50.0
CNC(C)C(C)(C)S,2,50.0
CC(C)(S)C(N)C=O,2,50.0
CC(C)(S)C(N)CO,2,50.0
CN1CSC(C)(C)C1,2,50.0
CC1NCC(C)(C)S1,2,50.0
CCNCC(C)(C)S,2,50.0
CC(C)(S)CNC=O,2,50.0
CCC(C)(C)SCC,2,50.0
CSC(C)(C)CC=O,2,50.0
CSC(C)(C)CCO,2,50.0
CC(C)(S)CC(=O)O,2,50.0
CCCSC(C)(C)C,2,50.0
CC(C)(C)SCCN,2,50.0
CC(C(C)C)N(C)C,2,50.0
CC(NCC)C(C)C,2,50.0
CNC(C=O)C(C)C,2,50.0
CNC(CO)C(C)C,2,50.0
CC(NC=O)C(C)C,2,50.0
CC(C)C(N)C(=O)O,2,50.0
CC(C)CN1CCC1,2,50.0
CC(C)CN(C)C=O,2,50.0
CC(C)CNCCN,2,50.0
CC(=O)NCC(C)C,2,50.0
CC1C(C)SCN1C,2,50.0
CC1NC(C)SC1C,2,50.0
CC1SCNC1C=O,2,50.0
CC1SCNC1CO,2,50.0
CC(NCC)C(C)S,2,50.0
CC(NC=O)C(C)S,2,50.0
CNC(C=O)C(C)S,2,50.0
CNC(CO)C(C)S,2,50.0
CC(S)C(N)C(=O)O,2,50.0
CC1CN2CCC2S1,2,50.0
CC1CN(C=O)CS1,2,50.0
CC1CNC(CN)S1,2,50.0
CC(S)CNCCN,2,50.0
CC(=O)NCC(C)S,2,50.0
CCCSC(C)CC,2,50.0
CCC(C)SCCN,2,50.0
CCSC(C)CC=O,2,50.0
CCSC(C)CCO,2,50.0
CSC(C)CC(=O)O,2,50.0
CC(N)CSC(C)C,2,50.0
CC(C)SCCC=O,2,50.0
CNCCSC(C)C,2,50.0
CC(CC)N1CCC1,2,50.0
CC(CC)N(C)C=O,2,50.0
CN(C)C(C=O)CC,2,50.0
CN(C)C(CO)CC,2,50.0
CC(CC)NCCN,2,50.0
CCNC(C=O)CC,2,50.0
CCNC(CO)CC,2,50.0
CCC(NC)C(=O)O,2,50.0
CC(CC)NC(C)=O,2,50.0
CCC(C=O)NC=O,2,50.0
CCC(CO)NC=O,3,75.0
CNC(CC)C(=O)O,2,50.0
CCCN1CC(N)C1,2,50.0
CCCN1CCC1=O,2,50.0
CNCCNCCC,2,50.0
CCCNC(=O)CN,3,75.0
CC(C)SC1CCN1,2,50.0
CC(C)SCNC=O,2,50.0
CC(C)SC(N)CN,2,50.0
CCSC1NCC1N,3,75.0
CCSC1CC(=O)N1,3,75.0
CNCC(N)SCC,2,50.0
CCSCC(N)C=O,3,75.0
CNC(C)CSCC,2,50.0
CCSCCNC=O,3,75.0
CCNCCSCC,2,50.0
CC1CSC2CCN12,2,50.0
CC1CSCN1C=O,2,50.0
CN1CSCC1C=O,2,50.0
CN1CSCC1CO,2,50.0
CC1CSC(CN)N1,2,50.0
CC1NC(C=O)CS1,2,50.0
CC1NC(CO)CS1,2,50.0
O=C(O)C1CSCN1,2,50.0
CC(CS)NCCN,3,75.0
CC(CS)NC(C)=O,3,75.0
CCNC(C=O)CS,3,75.0
CCNC(CO)CS,2,50.0
O=CNC(C=O)CS,3,75.0
O=CNC(CO)CS,2,50.0
CNC(CS)C(=O)O,2,50.0
NC1CN2CCSC12,2,50.0
O=C1CC2SCCN12,2,50.0
CNCC1NCCS1,2,50.0
NCC(=O)NCCS,3,75.0
CNCCNCCS,2,50.0
CCCSCC(C)N,2,50.0
CCCSCCC=O,3,75.0
CCCSCCCO,2,50.0
CCCSCCNC,2,50.0
NCCSCCC=O,2,50.0
NCCSCCCO,2,50.0
CCSCCC(=O)O,2,50.0
CC(C)N1CC(N)C1,2,50.0
CC(C)N1CCC1=O,2,50.0
CC(C=O)N1CCC1,2,50.0
CC(CO)N1CCC1,2,50.0
CC(C=O)N(C)C=O,2,50.0
CC(CO)N(C)C=O,2,50.0
CN(C)C(C)C(=O)O,2,50.0
CNCCNC(C)C,3,75.0
CC(C=O)NCCN,3,75.0
CC(CO)NCCN,3,75.0
CCNC(C)C(=O)O,2,50.0
CC(C)NC(=O)CN,4,100.0
CC(=O)NC(C)C=O,3,75.0
CC(=O)NC(C)CO,3,75.0
CC(NC=O)C(=O)O,2,50.0
CCN1CC(N)C1=O,3,75.0
CNC1CN(CC)C1,2,50.0
CCNCCNC=O,3,75.0
CCNCCNCC,4,100.0
CNCC(=O)NCC,2,50.0
CSC1NC(=O)C1N,3,75.0
CNC1CNC1SC,3,75.0
CSC(N)CNC=O,3,75.0
CCNCC(N)SC,3,75.0
CNC(C=O)CSC,3,75.0
CC(CSC)NC=O,3,75.0
CC(CSC)NCC,3,75.0
CSCCNC(C)=O,3,75.0
cCCNCCSC,3,75.0
CSCCNCCN,2,50.0
CCN1CC(N)C1S,3,75.0
CCN1C(=O)CC1S,3,75.0
O=CCN1CCC1S,3,75.0
OCCN1CCC1S,3,75.0
O=CCN(C=O)CS,3,75.0
O=CN(CS)CCO,2,50.0
CN(CS)CC(=O)O,2,50.0
CCN1CC(NC)C1,3,75.0
NC1CN(CC=O)C1,3,75.0
NC1CN(CCO)C1,3,75.0
O=CCN1CCC1=O,3,75.0
O=C1CCN1CCO,3,75.0
O=C(O)CN1CCC1,3,75.0
CN(C=O)CC(=O)O,2,50.0
CCNC(S)CNC,3,75.0
NCC(S)NCC=O,3,75.0
NCC(S)NCCO,3,75.0
CC(S)NCC(=O)O,3,75.0
CNCCNCC=O,3,75.0
CNCCNCCO,4,100.0
NCCNCC(=O)O,3,75.0
CCNC(=O)CNC,4,100.0
NCC(=O)NCC=O,3,75.0
NCC(=O)NCCO,4,100.0
CC(=O)NCC(=O)O,3,75.0
CN1C(=O)C(N)C1S,3,75.0
CNC1CN(C)C1S,3,75.0
CNC1CN(C)C1=O,3,75.0
CN1CC(NC=O)C1,3,75.0
CCNC1CN(C)C1,2,50.0
CNC(S)CNC=O,3,75.0
CCNCC(S)NC,2,50.0
CNCCNC(C)=O,3,75.0
cCCNCCNC,3,75.0
CNCCNCCN,2,50.0
CNC(=O)CNC=O,3,75.0
CCNCC(=O)NC,3,75.0
CNC1C(=O)NC1S,3,75.0
O=CNC1CNC1S,3,75.0
CCNC1CNC1S,3,75.0
O=CNC1CNC1=O,3,75.0
CCNC1CNC1=O,3,75.0
CC(=O)NC1CNC1,3,75.0
cCCNC1CNC1,3,75.0
NCCNC1CNC1,2,50.0
CC(=O)NCC(N)S,3,75.0
cCCNCC(N)S,3,75.0
NCCNCC(N)S,2,50.0
cCC(=O)NCCN,3,75.0
NCCNC(=O)CN,2,50.0
cC(N)CNCCN,2,50.0
ccCCNCCN,3,75.0
CC(=O)NCC(N)=O,3,75.0
cCCNCC(N)=O,3,75.0
NCCNCC(N)=O,2,50.0
cCCNC(C)CS,3,75.0
cCC(=O)NCCS,3,75.0
cC(N)CNCCS,2,50.0
ccCCNCCS,3,75.0
cCCNC(C)C=O,3,75.0
cCC(=O)NC(C)C,3,75.0
cC(N)CNC(C)C,2,50.0
CC(C)NCCcc,3,75.0
cC(N)C(=O)NCC,2,50.0
ccCC(=O)NCC,3,75.0
ccC(N)CNCC,2,50.0
cc(c)CCNCC,3,75.0
cccCCNCC,3,75.0
cCC(=O)NCC=O,3,75.0
cC(N)CNCC=O,2,50.0
ccCCNCC=O,3,75.0
CCNC(=O)C(c)N,2,50.0
CCNC(=O)Ccc,3,75.0
CCNCC(N)cc,2,50.0
CCNCCc(c)c,3,75.0
CCNCCccc,3,75.0
ccC(N)C(=O)NC,2,50.0
cc(c)CC(=O)NC,3,75.0
cccCC(=O)NC,3,75.0
cc(c)C(N)CNC,2,50.0
cccC(N)CNC,2,50.0
ccc(c)CCNC,3,75.0
ccccCCNC,3,75.0
cc(c)C(N)C(N)=O,2,50.0
cccC(N)C(N)=O,2,50.0
ccc(c)CC(N)=O,3,75.0
ccccCC(N)=O,3,75.0
ccc(c)C(N)CN,2,50.0
ccccC(N)CN,2,50.0
cccc(c)CCN,3,75.0
ccc(cc)CCN,3,75.0
cccccCCN,3,75.0
NCCccccO,1,25.0
ccc(c)C(N)C=O,2,50.0
ccccC(N)C=O,2,50.0
cccc(c)CC=O,3,75.0
ccc(cc)CC=O,3,75.0
cccccCC=O,3,75.0
O=CCccccO,1,25.0
CC(N)c(c)ccc,2,50.0
CC(N)c(cc)cc,2,50.0
CC(N)ccccc,2,50.0
CC(N)ccccO,1,25.0
CCc1ccccc1,3,75.0
CCc(c)cccO,1,25.0
CCcccc(c)O,1,25.0
NCc1ccccc1,2,50.0
cc(cccO)CN,1,25.0
cc(O)cccCN,1,25.0
Cc1ccc(O)cc1,1,25.0
CC1N(C)CSC1(C)C,2,50.0
CC1NC(C)SC1(C)C,2,50.0
CC1(C)SCNC1C=O,2,50.0
CC1(C)SCNC1CO,2,50.0
CC(NCC)C(C)(C)S,2,50.0
CC(NC=O)C(C)(C)S,2,50.0
CNC(C=O)C(C)(C)S,2,50.0
CNC(CO)C(C)(C)S,2,50.0
CC(C)(S)C(N)C(=O)O,2,50.0
CC1(C)CN2CCC2S1,2,50.0
CC1(C)CN(C=O)CS1,2,50.0
CC1(C)CNC(CN)S1,2,50.0
CC(C)(S)CNCCN,2,50.0
CC(=O)NCC(C)(C)S,2,50.0
CCCSC(C)(C)CC,2,50.0
CCC(C)(C)SCCN,2,50.0
CCSC(C)(C)CC=O,2,50.0
CCSC(C)(C)CCO,2,50.0
CSC(C)(C)CC(=O)O,2,50.0
CC(N)CSC(C)(C)C,2,50.0
CC(C)(C)SCCC=O,2,50.0
CNCCSC(C)(C)C,2,50.0
CC(C(C)C)N1CCC1,2,50.0
CC(C(C)C)N(C)C=O,2,50.0
CN(C)C(C=O)C(C)C,2,50.0
CN(C)C(CO)C(C)C,2,50.0
CC(NCCN)C(C)C,2,50.0
CCNC(C=O)C(C)C,2,50.0
CCNC(CO)C(C)C,2,50.0
CNC(C(=O)O)C(C)C,2,50.0
CC(NC(C)=O)C(C)C,2,50.0
CC(C)C(C=O)NC=O,2,50.0
CC(C)C(CO)NC=O,2,50.0
CC(C)CN1CC(N)C1,2,50.0
CC(C)CN1CCC1=O,2,50.0
CNCCNCC(C)C,2,50.0
CC(C)CNC(=O)CN,2,50.0
CC1C(C)SC2CCN21,2,50.0
CC1C(C)SCN1C=O,2,50.0
CN1CSC(C)C1C=O,2,50.0
CN1CSC(C)C1CO,2,50.0
CC1NC(CN)SC1C,2,50.0
CC1NC(C=O)C(C)S1,2,50.0
CC1NC(CO)C(C)S1,2,50.0
CC1SCNC1C(=O)O,2,50.0
CC(NCCN)C(C)S,2,50.0
CC(NC(C)=O)C(C)S,2,50.0
CCNC(C=O)C(C)S,2,50.0
CCNC(CO)C(C)S,2,50.0
CC(S)C(C=O)NC=O,2,50.0
CC(S)C(CO)NC=O,2,50.0
CNC(C(=O)O)C(C)S,2,50.0
CC1CN2CC(N)C2S1,2,50.0
CC1CN2C(=O)CC2S1,2,50.0
CNCC1NCC(C)S1,2,50.0
CC(S)CNC(=O)CN,2,50.0
CNCCNCC(C)S,2,50.0
CCC(C)SCC(C)N,2,50.0
CCC(C)SCCC=O,2,50.0
CCCSC(C)CC=O,2,50.0
CCCSC(C)CCO,2,50.0
CCC(C)SCCNC,2,50.0
CC(CC=O)SCCN,2,50.0
CC(CCO)SCCN,2,50.0
CCSC(C)CC(=O)O,2,50.0
CC(C)SCC(N)C=O,2,50.0
CNC(C)CSC(C)C,2,50.0
CC(C)SCCNC=O,2,50.0
CCNCCSC(C)C,2,50.0
CC(CC)N1CC(N)C1,2,50.0
CC(CC)N1CCC1=O,2,50.0
CCC(C=O)N1CCC1,2,50.0
CCC(CO)N1CCC1,2,50.0
CCC(C=O)N(C)C=O,2,50.0
CCC(CO)N(C)C=O,2,50.0
CN(C)C(CC)C(=O)O,2,50.0
CNCCNC(C)CC,2,50.0
CCC(C=O)NCCN,2,50.0
CCC(CO)NCCN,3,75.0
CCNC(CC)C(=O)O,2,50.0
CC(CC)NC(=O)CN,2,50.0
CCC(C=O)NC(C)=O,2,50.0
CCC(CO)NC(C)=O,3,75.0
CCC(NC=O)C(=O)O,2,50.0
CCCN1CC(N)C1=O,2,50.0
CNC1CN(CCC)C1,2,50.0
CCCNCCNC=O,2,50.0
CCNCCNCCC,2,50.0
CNCC(=O)NCCC,2,50.0
CC(C)SC1NCC1N,2,50.0
CC(C)SC1CC(=O)N1,2,50.0
CNCC(N)SC(C)C,2,50.0
CCSC1NC(=O)C1N,3,75.0
CNC1CNC1SCC,2,50.0
CCSC(N)CNC=O,3,75.0
CCNCC(N)SCC,2,50.0
CNC(C=O)CSCC,2,50.0
CC(CSCC)NC=O,2,50.0
CC(CSCC)NCC,2,50.0
CCSCCNC(C)=O,3,75.0
cCCNCCSCC,3,75.0
CCSCCNCCN,2,50.0
CC1CSC2C(N)CN12,2,50.0
CC1CSC2CC(=O)N12,2,50.0
O=CC1CSC2CCN12,2,50.0
OCC1CSC2CCN12,2,50.0
O=CC1CSCN1C=O,2,50.0
O=CN1CSCC1CO,2,50.0
CN1CSCC1C(=O)O,2,50.0
CNCC1NC(C)CS1,2,50.0
NCC1NC(C=O)CS1,2,50.0
NCC1NC(CO)CS1,2,50.0
CC1NC(C(=O)O)CS1,2,50.0
CC(CS)NC(=O)CN,3,75.0
CNCCNC(C)CS,2,50.0
NCCNC(C=O)CS,3,75.0
NCCNC(CO)CS,2,50.0
CC(=O)NC(C=O)CS,3,75.0
CC(=O)NC(CO)CS,2,50.0
CCNC(CS)C(=O)O,2,50.0
O=CNC(CS)C(=O)O,2,50.0
NC1C(=O)N2CCSC12,2,50.0
CNC1CN2CCSC12,2,50.0
O=CNCC1NCCS1,2,50.0
CCNCC1NCCS1,2,50.0
CNCC(=O)NCCS,2,50.0
O=CNCCNCCS,2,50.0
CCNCCNCCS,2,50.0
CCCSCC(N)C=O,3,75.0
CCCSCC(C)NC,2,50.0
CC(N)CSCCC=O,2,50.0
CC(N)CSCCCO,2,50.0
O=CCCSCCC=O,2,50.0
O=CCCSCCCO,2,50.0
CCCSCCC(=O)O,2,50.0
CCCSCCNC=O,3,75.0
CCCSCCNCC,3,75.0
CNCCSCCC=O,2,50.0
CNCCSCCCO,2,50.0
NCCSCCC(=O)O,2,50.0
CC(C)N1CC(N)C1=O,2,50.0
CNC1CN(C(C)C)C1,2,50.0
CC(C=O)N1CC(N)C1,2,50.0
CC(CO)N1CC(N)C1,2,50.0
CC(C=O)N1CCC1=O,2,50.0
CC(CO)N1CCC1=O,2,50.0
CC(C(=O)O)N1CCC1,2,50.0
CC(C(=O)O)N(C)C=O,2,50.0
CC(C)NCCNC=O,2,50.0
CC(C)NCCNCC,2,50.0
CNCCNC(C)C=O,2,50.0
CNCCNC(C)CO,3,75.0
CC(NCCN)C(=O)O,2,50.0
CNCC(=O)NC(C)C,3,75.0
CC(C=O)NC(=O)CN,3,75.0
CC(CO)NC(=O)CN,3,75.0
CC(=O)NC(C)C(=O)O,2,50.0
CNC1CN(CC)C1=O,2,50.0
CCN1CC(NC=O)C1,3,75.0
CCNC1CN(CC)C1,2,50.0
CCNCCNC(C)=O,3,75.0
cCCNCCNCC,2,50.0
CCNCCNCCN,2,50.0
CCNC(=O)CNC=O,3,75.0
CCNCC(=O)NCC,3,75.0
CNC1C(=O)NC1SC,3,75.0
CSC1NCC1NC=O,3,75.0
CCNC1CNC1SC,3,75.0
CSC(N)CNC(C)=O,3,75.0
cCCNCC(N)SC,3,75.0
CSC(N)CNCCN,2,50.0
CSCC(C=O)NC=O,3,75.0
CCNC(C=O)CSC,3,75.0
CC(CSC)NC(C)=O,3,75.0
cCCNC(C)CSC,3,75.0
CC(CSC)NCCN,2,50.0
cCC(=O)NCCSC,3,75.0
CSCCNC(=O)CN,2,50.0
cC(N)CNCCSC,2,50.0
ccCCNCCSC,3,75.0
CCN1C(=O)C(N)C1S,3,75.0
CCN1CC(NC)C1S,3,75.0
NC1CN(CC=O)C1S,3,75.0
NC1CN(CCO)C1S,3,75.0
O=CCN1C(=O)CC1S,3,75.0
O=C1CC(S)N1CCO,3,75.0
O=C(O)CN1CCC1S,3,75.0
