Substructure,Frequency,Percentage0
Ccc(c)O,1,20.0
O=CccO,1,20.0
OCccO,1,20.0
NcccO,1,20.0
Cc(c)ccc,1,20.0
c1ccccc1,2,40.0
cccccO,1,20.0
cccccN,1,20.0
Cccccc,1,20.0
CccccN,1,20.0
ccccC=O,1,20.0
ccccCO,1,20.0
cccc(c)N,1,20.0
ccc(N)cc,1,20.0
Cc(cc)cc,1,20.0
Cc(cO)cc,1,20.0
ccc(c)C=O,1,20.0
ccc(c)CO,1,20.0
cccc(c)O,1,20.0
cccC(=O)O,1,20.0
cc(N)ccO,1,20.0
Cc(c)c(c)O,1,20.0
cc(C=O)cO,1,20.0
cc(CO)cO,1,20.0
cc(c)C(=O)O,1,20.0
ccc(O)cc,1,20.0
Ccc(O)cc,1,20.0
cc(O)cC=O,1,20.0
cc(O)cCO,1,20.0
O=C(O)ccO,1,20.0
cc(O)ccN,1,20.0
Cc1ccccc1,2,40.0
Cc(cO)ccc,1,20.0
Cc(c)cccN,1,20.0
cccc(c)C=O,1,20.0
cccc(c)CO,1,20.0
Oc1ccccc1,1,20.0
Nc1ccccc1,1,20.0
NcccccO,1,20.0
Ccccc(c)N,1,20.0
cccccC=O,1,20.0
cccccCO,1,20.0
NccccC=O,1,20.0
NccccCO,1,20.0
ccccC(=O)O,1,20.0
ccc(N)ccO,1,20.0
Cc(cc)c(c)O,1,20.0
ccc(C=O)cc,1,20.0
ccc(CO)cc,1,20.0
ccc(C=O)cO,1,20.0
ccc(CO)cO,1,20.0
ccc(c)C(=O)O,1,20.0
Ccc(O)ccc,1,20.0
cc(N)cc(c)O,1,20.0
Cc(c)c(O)cc,1,20.0
cc(O)c(c)C=O,1,20.0
cc(O)c(c)CO,1,20.0
cc(cO)C(=O)O,1,20.0
ccc(O)ccN,1,20.0
Ccc(O)ccN,1,20.0
ccc(O)cC=O,1,20.0
ccc(O)cCO,1,20.0
cc(O)cC(=O)O,1,20.0
Cc1ccccc1O,1,20.0
Cc1ccc(N)cc1,1,20.0
O=Cc1ccccc1,1,20.0
OCc1ccccc1,1,20.0
Cc(cO)cccN,1,20.0
cccc(C=O)cO,1,20.0
cccc(CO)cO,1,20.0
cc(C=O)cccN,1,20.0
cc(CO)cccN,1,20.0
cccc(c)C(=O)O,1,20.0
Nc1cccc(O)c1,1,20.0
cc(N)cccC=O,1,20.0
cc(N)cccCO,1,20.0
cccccC(=O)O,1,20.0
NccccC(=O)O,1,20.0
ccc(C=O)c(c)O,1,20.0
ccc(CO)c(c)O,1,20.0
ccc(cc)C(=O)O,1,20.0
ccc(cO)C(=O)O,1,20.0
Ccc(O)cc(c)N,1,20.0
cccc(O)cC=O,1,20.0
cccc(O)cCO,1,20.0
