Substructure,Frequency,Percentage0
CC(CCO)OC(CO)OCCO,1,20.0
CCCC(C)OC(CO)OCCO,1,20.0
COC(C)COC(CO)OCCO,1,20.0
OCCOC(CO)OCC(O)CO,1,20.0
CCOCCOC(CO)OCCO,1,20.0
OCCOC(CO)OCCOCO,1,20.0
OCCCCOC(CO)OCCO,1,20.0
CC(O)CCOC(CO)OCCO,1,20.0
CCC(O)COC(CO)OCCO,1,20.0
COC(C)C(C)OC(C)OCCO,1,20.0
CCC(OC(C)OCCO)C(C)O,1,20.0
CC(OCCO)OC(CO)C(C)O,1,20.0
CC(OCCO)OC(C)C(O)CO,1,20.0
CC(OCCO)OC1CCCOC1,1,20.0
CC(COCO)OC(C)OCCO,1,20.0
COCC(CO)OC(C)OCCO,1,20.0
CC(OCCO)OC(CO)CCO,1,20.0
CCCC(CC)OC(C)OCCO,1,20.0
CCC(CCO)OC(C)OCCO,1,20.0
CC(CCCO)OC(C)OCCO,1,20.0
CC(O)CC(C)OC(C)OCCO,1,20.0
CCC(O)C(C)OC(C)OCCO,1,20.0
CCOC(C)COC(C)OCCO,1,20.0
CC(COC(C)OCCO)OCO,1,20.0
COC(CO)COC(C)OCCO,1,20.0
CC(O)OCCOC(C)OCCO,1,20.0
CC(OCCO)OCCOCCO,1,20.0
CC(OCCO)OCCCC(O)O,1,20.0
CC(OCCO)OCCC(O)CO,1,20.0
CC(OCCO)OCC(O)CCO,1,20.0
CC(OCCO)OCC(O)C(C)O,1,20.0
CC1OCCCC1OCOCCO,1,20.0
CC(OCO)C(C)OCOCCO,1,20.0
COC(C)C(CO)OCOCCO,1,20.0
COC(CO)C(C)OCOCCO,1,20.0
CC(O)C(CCO)OCOCCO,1,20.0
CC(O)C(OCOCCO)C(C)O,1,20.0
CCC(OCOCCO)C(O)CO,1,20.0
OCCOCOC1CCC(O)OC1,1,20.0
OCCOCOC1COCC(O)C1,1,20.0
OCCOCOC1COCCC1O,1,20.0
OCCOCOC(CO)COCO,1,20.0
CCC(CCCO)OCOCCO,1,20.0
CCC(CC(C)O)OCOCCO,1,20.0
CCC(O)C(CC)OCOCCO,1,20.0
CCCC(CCO)OCOCCO,1,20.0
OCCOCOC(CCO)CCO,1,20.0
CC(CC(O)CO)OCOCCO,1,20.0
CC(OCOCCO)C(O)CCO,1,20.0
CC(O)C(O)C(C)OCOCCO,1,20.0
CC(O)OC(C)COCOCCO,1,20.0
CC(COCOCCO)OCCO,1,20.0
CCOC(CO)COCOCCO,1,20.0
OCCOCOCC(CO)OCO,1,20.0
OCCOCOCCOC(O)CO,1,20.0
OCCOCOCCC(O)C(O)O,1,20.0
OCCOCOCC(O)CC(O)O,1,20.0
OCCOCOCC(O)C(O)CO,1,20.0
CCOC1OC(C)C(O)C(O)C1O,1,20.0
CC(C)OC1CC(O)C(O)C(C)O1,1,20.0
CC1OC(OCCO)CC(O)C1O,1,20.0
CCCOC1CC(O)C(O)C(C)O1,1,20.0
CC(C)OC1OC(C)C(O)CC1O,1,20.0
CC1OC(OCCO)C(O)CC1O,1,20.0
CCCOC1OC(C)C(O)CC1O,1,20.0
CC(CO)OC1CCC(O)C(C)O1,1,20.0
CCC(C)OC1CCC(O)C(C)O1,1,20.0
CC(O)COC1CCC(O)C(C)O1,1,20.0
COCCOC1CCC(O)C(C)O1,1,20.0
CC1OC(OCCCO)CCC1O,1,20.0
CCCCOC1CCC(O)C(C)O1,1,20.0
CCC(C)OCOC(C)C(O)CO,1,20.0
CC(O)COCOC(C)C(O)CO,1,20.0
COCCOCOC(C)C(O)CO,1,20.0
CC(OCOCCCO)C(O)CO,1,20.0
CCCCOCOC(C)C(O)CO,1,20.0
CC(O)C(C)OCOC(C)C(C)O,1,20.0
COCC(C)OCOC(C)C(C)O,1,20.0
CCC(CC)OCOC(C)C(C)O,1,20.0
CC(CCO)OCOC(C)C(C)O,1,20.0
CCCC(C)OCOC(C)C(C)O,1,20.0
COC(C)COCOC(C)C(C)O,1,20.0
CC(O)C(C)OCOCC(O)CO,1,20.0
CCOCCOCOC(C)C(C)O,1,20.0
CC(O)C(C)OCOCCOCO,1,20.0
CC(O)C(C)OCOCCCCO,1,20.0
CC(O)CCOCOC(C)C(C)O,1,20.0
CCC(O)COCOC(C)C(C)O,1,20.0
CC(C)OC1OC(C)CC(O)C1O,1,20.0
CC1CC(O)C(O)C(OCCO)O1,1,20.0
CCCOC1OC(C)CC(O)C1O,1,20.0
CC(CO)OC1CC(O)CC(C)O1,1,20.0
CCC(C)OC1CC(O)CC(C)O1,1,20.0
CC(O)COC1CC(O)CC(C)O1,1,20.0
COCCOC1CC(O)CC(C)O1,1,20.0
CC1CC(O)CC(OCCCO)O1,1,20.0
CCCCOC1CC(O)CC(C)O1,1,20.0
CC(CO)OC1OC(C)CCC1O,1,20.0
CCC(C)OC1OC(C)CCC1O,1,20.0
CC(O)COC1OC(C)CCC1O,1,20.0
COCCOC1OC(C)CCC1O,1,20.0
CC1CCC(O)C(OCCCO)O1,1,20.0
CCCCOC1OC(C)CCC1O,1,20.0
CC1CCCC(OC(C)C(C)O)O1,1,20.0
COCC(C)OC1CCCC(C)O1,1,20.0
CCC(CO)OC1CCCC(C)O1,1,20.0
CC1CCCC(OC(CO)CO)O1,1,20.0
CCC(CC)OC1CCCC(C)O1,1,20.0
CC(CCO)OC1CCCC(C)O1,1,20.0
CCCC(C)OC1CCCC(C)O1,1,20.0
COC(C)COC1CCCC(C)O1,1,20.0
CC1CCCC(OCC(O)CO)O1,1,20.0
CCOCCOC1CCCC(C)O1,1,20.0
CC1CCCC(OCCOCO)O1,1,20.0
CC1CCCC(OCCCCO)O1,1,20.0
CC(O)CCOC1CCCC(C)O1,1,20.0
CCC(O)COC1CCCC(C)O1,1,20.0
COCC(C)OCOC(C)CCO,1,20.0
CCC(CC)OCOC(C)CCO,1,20.0
CC(CCO)OCOC(C)CCO,1,20.0
CCCC(C)OCOC(C)CCO,1,20.0
COC(C)COCOC(C)CCO,1,20.0
CC(CCO)OCOCC(O)CO,1,20.0
CCOCCOCOC(C)CCO,1,20.0
CC(CCO)OCOCCOCO,1,20.0
CC(CCO)OCOCCCCO,1,20.0
CC(O)CCOCOC(C)CCO,1,20.0
CCC(O)COCOC(C)CCO,1,20.0
CCC(C)OCOC(C)C(C)OC,1,20.0
CCC(C)OCOC(CC)C(C)O,1,20.0
CCC(C)OCOC1CCCOC1,1,20.0
CCC(C)OCOC(C)COCO,1,20.0
CCC(C)OCOC(CO)COC,1,20.0
CCCC(CC)OCOC(C)CC,1,20.0
CCC(C)OCOC(CC)CCO,1,20.0
CCC(C)OCOC(C)CCCO,1,20.0
CCC(C)OCOC(C)CC(C)O,1,20.0
CCC(C)OCOC(C)C(O)CC,1,20.0
CCOC(C)COCOC(C)CC,1,20.0
CCC(C)OCOCC(C)OCO,1,20.0
CCC(C)OCOCC(CO)OC,1,20.0
CCC(C)OCOCCOC(C)O,1,20.0
CCC(C)OCOCCOCCO,1,20.0
CCC(C)OCOCCCC(O)O,1,20.0
CCC(C)OCOCCC(O)CO,1,20.0
CCC(C)OCOCC(O)CCO,1,20.0
CCC(C)OCOCC(O)C(C)O,1,20.0
CC(C)OC(CO)OC(C)C(C)O,1,20.0
COCC(C)OC(CO)OC(C)C,1,20.0
CCC(CO)OC(CO)OC(C)C,1,20.0
CCC(CC)OC(CO)OC(C)C,1,20.0
CC(C)OC(CO)OC(C)CCO,1,20.0
CCCC(C)OC(CO)OC(C)C,1,20.0
COC(C)COC(CO)OC(C)C,1,20.0
CC(C)OC(CO)OCC(O)CO,1,20.0
CCOCCOC(CO)OC(C)C,1,20.0
CC(C)OC(CO)OCCOCO,1,20.0
CC(C)OC(CO)OCCCCO,1,20.0
CC(O)CCOC(CO)OC(C)C,1,20.0
CCC(O)COC(CO)OC(C)C,1,20.0
COC(C)C(C)OC(C)OC(C)C,1,20.0
CCC(OC(C)OC(C)C)C(C)O,1,20.0
CC(C)OC(C)OC(CO)C(C)O,1,20.0
CC(C)OC(C)OC(C)C(O)CO,1,20.0
CC(C)OC(C)OC1CCCOC1,1,20.0
CC(C)OC(C)OC(C)COCO,1,20.0
COCC(CO)OC(C)OC(C)C,1,20.0
CC(C)OC(C)OC(CO)CCO,1,20.0
CCCC(CC)OC(C)OC(C)C,1,20.0
CCC(CCO)OC(C)OC(C)C,1,20.0
CC(C)OC(C)OC(C)CCCO,1,20.0
CC(O)CC(C)OC(C)OC(C)C,1,20.0
CCC(O)C(C)OC(C)OC(C)C,1,20.0
CCOC(C)COC(C)OC(C)C,1,20.0
CC(C)OC(C)OCC(C)OCO,1,20.0
COC(CO)COC(C)OC(C)C,1,20.0
CC(C)OC(C)OCCOC(C)O,1,20.0
CC(C)OC(C)OCCOCCO,1,20.0
CC(C)OC(C)OCCCC(O)O,1,20.0
CC(C)OC(C)OCCC(O)CO,1,20.0
CC(C)OC(C)OCC(O)CCO,1,20.0
CC(C)OC(C)OCC(O)C(C)O,1,20.0
CC(C)OCOC1CCCOC1C,1,20.0
CC(C)OCOC(C)C(C)OCO,1,20.0
COC(C)C(CO)OCOC(C)C,1,20.0
COC(CO)C(C)OCOC(C)C,1,20.0
CC(C)OCOC(CCO)C(C)O,1,20.0
CC(C)OCOC(C(C)O)C(C)O,1,20.0
CCC(OCOC(C)C)C(O)CO,1,20.0
CC(C)OCOC1CCC(O)OC1,1,20.0
CC(C)OCOC1COCC(O)C1,1,20.0
CC(C)OCOC1COCCC1O,1,20.0
CC(C)OCOC(CO)COCO,1,20.0
CCC(CCCO)OCOC(C)C,1,20.0
CCC(CC(C)O)OCOC(C)C,1,20.0
CCC(O)C(CC)OCOC(C)C,1,20.0
CCCC(CCO)OCOC(C)C,1,20.0
CC(C)OCOC(CCO)CCO,1,20.0
CC(C)OCOC(C)CC(O)CO,1,20.0
CC(C)OCOC(C)C(O)CCO,1,20.0
CC(C)OCOC(C)C(O)C(C)O,1,20.0
CC(C)OCOCC(C)OC(C)O,1,20.0
CC(C)OCOCC(C)OCCO,1,20.0
CCOC(CO)COCOC(C)C,1,20.0
CC(C)OCOCC(CO)OCO,1,20.0
CC(C)OCOCCOC(O)CO,1,20.0
CC(C)OCOCCC(O)C(O)O,1,20.0
CC(C)OCOCC(O)CC(O)O,1,20.0
CC(C)OCOCC(O)C(O)CO,1,20.0
CCC(O)C(O)C(O)COC(C)C,1,20.0
CCC(O)C(O)C(O)COCCO,1,20.0
CCCOCC(O)C(O)C(O)CC,1,20.0
CCC(O)C(O)CCOC(C)CO,1,20.0
CCC(C)OCCC(O)C(O)CC,1,20.0
CCC(O)C(O)CCOCC(C)O,1,20.0
CCC(O)C(O)CCOCCOC,1,20.0
CCC(O)C(O)CCOCCCO,1,20.0
CCCCOCCC(O)C(O)CC,1,20.0
CCC(O)CC(O)COC(C)CO,1,20.0
CCC(O)CC(O)COC(C)CC,1,20.0
CCC(O)CC(O)COCC(C)O,1,20.0
CCC(O)CC(O)COCCOC,1,20.0
CCC(O)CC(O)COCCCO,1,20.0
CCCCOCC(O)CC(O)CC,1,20.0
CCC(O)CCCOC(C)C(C)O,1,20.0
CCC(O)CCCOC(C)COC,1,20.0
CCC(O)CCCOC(CC)CO,1,20.0
CCC(O)CCCOC(CO)CO,1,20.0
CCC(O)CCCOC(CC)CC,1,20.0
CCC(O)CCCOC(C)CCO,1,20.0
CCCC(C)OCCCC(O)CC,1,20.0
CCC(O)CCCOCC(C)OC,1,20.0
CCC(O)CCCOCC(O)CO,1,20.0
CCOCCOCCCC(O)CC,1,20.0
CCC(O)CCCOCCOCO,1,20.0
CCC(O)CCCOCCCCO,1,20.0
CCC(O)CCCOCCC(C)O,1,20.0
CCC(O)CCCOCC(O)CC,1,20.0
CCCC(O)C(O)COC(C)CO,1,20.0
CCCC(O)C(O)COC(C)CC,1,20.0
CCCC(O)C(O)COCC(C)O,1,20.0
CCCC(O)C(O)COCCOC,1,20.0
CCCC(O)C(O)COCCCO,1,20.0
CCCCOCC(O)C(O)CCC,1,20.0
CCCC(O)CCOC(C)C(C)O,1,20.0
CCCC(O)CCOC(C)COC,1,20.0
CCCC(O)CCOC(CC)CO,1,20.0
CCCC(O)CCOC(CO)CO,1,20.0
CCCC(O)CCOC(CC)CC,1,20.0
CCCC(O)CCOC(C)CCO,1,20.0
CCCC(O)CCOC(C)CCC,1,20.0
CCCC(O)CCOCC(C)OC,1,20.0
CCCC(O)CCOCC(O)CO,1,20.0
CCCC(O)CCOCCOCC,1,20.0
CCCC(O)CCOCCOCO,1,20.0
CCCC(O)CCOCCCCO,1,20.0
CCCC(O)CCOCCC(C)O,1,20.0
CCCC(O)CCOCC(O)CC,1,20.0
CCCCC(O)COC(C)C(C)O,1,20.0
CCCCC(O)COC(C)COC,1,20.0
CCCCC(O)COC(CC)CO,1,20.0
CCCCC(O)COC(CO)CO,1,20.0
CCCCC(O)COC(CC)CC,1,20.0
CCCCC(O)COC(C)CCO,1,20.0
CCCCC(O)COC(C)CCC,1,20.0
CCCCC(O)COCC(C)OC,1,20.0
CCCCC(O)COCC(O)CO,1,20.0
CCCCC(O)COCCOCC,1,20.0
CCCCC(O)COCCOCO,1,20.0
CCCCC(O)COCCCCO,1,20.0
CCCCC(O)COCCC(C)O,1,20.0
CCCCC(O)COCC(O)CC,1,20.0
CCCCCCOC(C)C(C)OC,1,20.0
CCCCCCOC(CC)C(C)O,1,20.0
CCCCCCOC(CO)C(C)O,1,20.0
CCCCCCOC(C)C(O)CO,1,20.0
CCCCCCOC1CCCOC1,1,20.0
CCCCCCOC(C)COCO,1,20.0
CCCCCCOC(CO)COC,1,20.0
CCCCCCOC(CO)CCO,1,20.0
CCCCCCOC(CC)CCC,1,20.0
CCCCCCOC(CC)CCO,1,20.0
CCCCCCOC(C)CCCO,1,20.0
CCCCCCOC(C)CC(C)O,1,20.0
CCCCCCOC(C)C(O)CC,1,20.0
CCCCCCOCC(C)OCC,1,20.0
CCCCCCOCC(C)OCO,1,20.0
CCCCCCOCC(CO)OC,1,20.0
CCCCCCOCCOC(C)O,1,20.0
CCCCCCOCCOCCO,1,20.0
CCCCCCOCCCC(O)O,1,20.0
CCCCCCOCCC(O)CO,1,20.0
CCCCCCOCC(O)CCO,1,20.0
CCCCCCOCC(O)C(C)O,1,20.0
CCOC(OC(C)CO)C(O)CO,1,20.0
CCOC(OC(C)CC)C(O)CO,1,20.0
CCOC(OCC(C)O)C(O)CO,1,20.0
CCOC(OCCOC)C(O)CO,1,20.0
CCOC(OCCCO)C(O)CO,1,20.0
CCCCOC(OCC)C(O)CO,1,20.0
CCOC(CCO)OC(C)C(C)O,1,20.0
CCOC(CCO)OC(C)COC,1,20.0
CCOC(CCO)OC(CC)CO,1,20.0
CCOC(CCO)OC(CO)CO,1,20.0
CCOC(CCO)OC(CC)CC,1,20.0
CCOC(CCO)OC(C)CCO,1,20.0
CCCC(C)OC(CCO)OCC,1,20.0
CCOC(CCO)OCC(C)OC,1,20.0
CCOC(CCO)OCC(O)CO,1,20.0
CCOCCOC(CCO)OCC,1,20.0
CCOC(CCO)OCCOCO,1,20.0
CCOC(CCO)OCCCCO,1,20.0
CCOC(CCO)OCCC(C)O,1,20.0
CCOC(CCO)OCC(O)CC,1,20.0
CCOC(OC(C)C(C)O)C(C)O,1,20.0
CCOC(OC(C)COC)C(C)O,1,20.0
CCOC(OC(CC)CO)C(C)O,1,20.0
CCOC(OC(CO)CO)C(C)O,1,20.0
CCOC(OC(CC)CC)C(C)O,1,20.0
CCOC(OC(C)CCO)C(C)O,1,20.0
CCCC(C)OC(OCC)C(C)O,1,20.0
CCOC(OCC(C)OC)C(C)O,1,20.0
CCOC(OCC(O)CO)C(C)O,1,20.0
CCOCCOC(OCC)C(C)O,1,20.0
CCOC(OCCOCO)C(C)O,1,20.0
CCOC(OCCCCO)C(C)O,1,20.0
CCOC(OCCC(C)O)C(C)O,1,20.0
CCOC(OCC(O)CC)C(C)O,1,20.0
CCOC(CC)OC(C)C(C)OC,1,20.0
CCOC(CC)OC(CC)C(C)O,1,20.0
CCOC(CC)OC(CO)C(C)O,1,20.0
CCOC(CC)OC(C)C(O)CO,1,20.0
CCOC(CC)OC1CCCOC1,1,20.0
CCOC(CC)OC(C)COCO,1,20.0
CCOC(CC)OC(CO)COC,1,20.0
CCOC(CC)OC(CO)CCO,1,20.0
CCCC(CC)OC(CC)OCC,1,20.0
CCOC(CC)OC(CC)CCO,1,20.0
CCOC(CC)OC(C)CCCO,1,20.0
CCOC(CC)OC(C)CC(C)O,1,20.0
CCOC(CC)OC(C)C(O)CC,1,20.0
CCOC(C)COC(CC)OCC,1,20.0
CCOC(CC)OCC(C)OCO,1,20.0
CCOC(CC)OCC(CO)OC,1,20.0
CCOC(CC)OCCOC(C)O,1,20.0
CCOC(CC)OCCOCCO,1,20.0
CCOC(CC)OCCCC(O)O,1,20.0
CCOC(CC)OCCC(O)CO,1,20.0
CCOC(CC)OCC(O)CCO,1,20.0
CCOC(CC)OCC(O)C(C)O,1,20.0
CCOC(CO)OC(C)C(C)OC,1,20.0
CCOC(CO)OC(CC)C(C)O,1,20.0
CCOC(CO)OC(CO)C(C)O,1,20.0
CCOC(CO)OC(C)C(O)CO,1,20.0
CCOC(CO)OC1CCCOC1,1,20.0
CCOC(CO)OC(C)COCO,1,20.0
CCOC(CO)OC(CO)COC,1,20.0
CCOC(CO)OC(CO)CCO,1,20.0
CCCC(CC)OC(CO)OCC,1,20.0
CCOC(CO)OC(CC)CCO,1,20.0
CCOC(CO)OC(C)CCCO,1,20.0
CCOC(CO)OC(C)CC(C)O,1,20.0
CCOC(CO)OC(C)C(O)CC,1,20.0
CCOC(C)COC(CO)OCC,1,20.0
CCOC(CO)OCC(C)OCO,1,20.0
CCOC(CO)OCC(CO)OC,1,20.0
CCOC(CO)OCCOC(C)O,1,20.0
CCOC(CO)OCCOCCO,1,20.0
CCOC(CO)OCCCC(O)O,1,20.0
CCOC(CO)OCCC(O)CO,1,20.0
CCOC(CO)OCC(O)CCO,1,20.0
CCOC(CO)OCC(O)C(C)O,1,20.0
CCOC(C)OC1CCCOC1C,1,20.0
CCOC(C)OC(C)C(C)OCO,1,20.0
CCOC(C)OC(CO)C(C)OC,1,20.0
CCOC(C)OC(C)C(CO)OC,1,20.0
CCOC(C)OC(CCO)C(C)O,1,20.0
CCOC(C)OC(C(C)O)C(C)O,1,20.0
CCOC(C)OC(CC)C(O)CO,1,20.0
CCOC(C)OC(CO)C(O)CO,1,20.0
CCOC(C)OC1CCC(O)OC1,1,20.0
CCOC(C)OC1COCC(O)C1,1,20.0
CCOC(C)OC1COCCC1O,1,20.0
CCOC(C)OC(CO)COCO,1,20.0
CCOC(C)OC(CC)CCCO,1,20.0
CCOC(C)OC(CC)CC(C)O,1,20.0
CCOC(C)OC(CC)C(O)CC,1,20.0
CCCC(CCO)OC(C)OCC,1,20.0
CCOC(C)OC(CCO)CCO,1,20.0
CCOC(C)OC(C)CC(O)CO,1,20.0
CCOC(C)OC(C)C(O)CCO,1,20.0
CCOC(C)OC(C)C(O)C(C)O,1,20.0
CCOC(C)OCC(C)OC(C)O,1,20.0
CCOC(C)OCC(C)OCCO,1,20.0
CCOC(CO)COC(C)OCC,1,20.0
CCOC(C)OCC(CO)OCO,1,20.0
CCOC(C)OCCOC(O)CO,1,20.0
CCOC(C)OCCC(O)C(O)O,1,20.0
CCOC(C)OCC(O)CC(O)O,1,20.0
CCOC(C)OCC(O)C(O)CO,1,20.0
CCOCOC1CCC(O)OC1C,1,20.0
CCOCOC1CC(O)COC1C,1,20.0
CCOCOC1C(O)CCOC1C,1,20.0
CCOCOC1CCCOC1CO,1,20.0
CCOCOC(CO)C(C)OCO,1,20.0
CCOCOC(C)C(CO)OCO,1,20.0
CCOCOC(CO)C(CO)OC,1,20.0
CCOCOC(C(C)O)C(O)CO,1,20.0
CCOCOC(CCO)C(O)CO,1,20.0
CCOCOC1COC(O)C(O)C1,1,20.0
CCOCOC1COC(O)CC1O,1,20.0
CCOCOC1COCC(O)C1O,1,20.0
CCOCOC(CC)CC(O)CO,1,20.0
CCOCOC(CC)C(O)CCO,1,20.0
CCOCOC(CCO)CCCO,1,20.0
CCOCOC(CC)C(O)C(C)O,1,20.0
CCOCOC(CCO)CC(C)O,1,20.0
CCOCOC(CCO)C(O)CC,1,20.0
CCOCOC(C)C(O)C(O)CO,1,20.0
CCOCOCC(C)OC(O)CO,1,20.0
CCOCOCC(CO)OC(C)O,1,20.0
CCOCOCC(CO)OCCO,1,20.0
CCOCOCC(O)C(O)C(O)O,1,20.0
CC(C)OC1OCC(O)C(O)C1O,1,20.0
OCCOC1OCC(O)C(O)C1O,1,20.0
CCCOC1OCC(O)C(O)C1O,1,20.0
CC(CO)OC1CC(O)C(O)CO1,1,20.0
CCC(C)OC1CC(O)C(O)CO1,1,20.0
CC(O)COC1CC(O)C(O)CO1,1,20.0
COCCOC1CC(O)C(O)CO1,1,20.0
OCCCOC1CC(O)C(O)CO1,1,20.0
CCCCOC1CC(O)C(O)CO1,1,20.0
CC(CO)OC1OCC(O)CC1O,1,20.0
CCC(C)OC1OCC(O)CC1O,1,20.0
CC(O)COC1OCC(O)CC1O,1,20.0
COCCOC1OCC(O)CC1O,1,20.0
OCCCOC1OCC(O)CC1O,1,20.0
CCCCOC1OCC(O)CC1O,1,20.0
CC(O)C(C)OC1CCC(O)CO1,1,20.0
COCC(C)OC1CCC(O)CO1,1,20.0
CCC(CO)OC1CCC(O)CO1,1,20.0
OCC(CO)OC1CCC(O)CO1,1,20.0
CCC(CC)OC1CCC(O)CO1,1,20.0
CC(CCO)OC1CCC(O)CO1,1,20.0
CCCC(C)OC1CCC(O)CO1,1,20.0
COC(C)COC1CCC(O)CO1,1,20.0
OCC(O)COC1CCC(O)CO1,1,20.0
CCOCCOC1CCC(O)CO1,1,20.0
OCOCCOC1CCC(O)CO1,1,20.0
OCCCCOC1CCC(O)CO1,1,20.0
CC(O)CCOC1CCC(O)CO1,1,20.0
CCC(O)COC1CCC(O)CO1,1,20.0
COCC(C)OCOCC(O)CO,1,20.0
CCC(CC)OCOCC(O)CO,1,20.0
CCCC(C)OCOCC(O)CO,1,20.0
COC(C)COCOCC(O)CO,1,20.0
OCC(O)COCOCC(O)CO,1,20.0
CCOCCOCOCC(O)CO,1,20.0
OCOCCOCOCC(O)CO,1,20.0
OCCCCOCOCC(O)CO,1,20.0
CC(O)CCOCOCC(O)CO,1,20.0
CCC(O)COCOCC(O)CO,1,20.0
COC(C)C(C)OCOCC(C)O,1,20.0
CCC(OCOCC(C)O)C(C)O,1,20.0
CC(O)COCOC1CCCOC1,1,20.0
CC(O)COCOC(C)COCO,1,20.0
COCC(CO)OCOCC(C)O,1,20.0
CCCC(CC)OCOCC(C)O,1,20.0
CCC(CCO)OCOCC(C)O,1,20.0
CC(O)COCOC(C)CCCO,1,20.0
CC(O)COCOC(C)CC(C)O,1,20.0
CCC(O)C(C)OCOCC(C)O,1,20.0
CCOC(C)COCOCC(C)O,1,20.0
CC(O)COCOCC(C)OCO,1,20.0
COC(CO)COCOCC(C)O,1,20.0
CC(O)COCOCCOC(C)O,1,20.0
CC(O)COCOCCOCCO,1,20.0
CC(O)COCOCCCC(O)O,1,20.0
CC(O)COCOCCC(O)CO,1,20.0
CC(O)COCOCC(O)CCO,1,20.0
CC(O)COCOCC(O)C(C)O,1,20.0
CC(CO)OC1OCCC(O)C1O,1,20.0
CCC(C)OC1OCCC(O)C1O,1,20.0
CC(O)COC1OCCC(O)C1O,1,20.0
COCCOC1OCCC(O)C1O,1,20.0
OCCCOC1OCCC(O)C1O,1,20.0
CCCCOC1OCCC(O)C1O,1,20.0
CC(O)C(C)OC1CC(O)CCO1,1,20.0
COCC(C)OC1CC(O)CCO1,1,20.0
CCC(CO)OC1CC(O)CCO1,1,20.0
OCC(CO)OC1CC(O)CCO1,1,20.0
CCC(CC)OC1CC(O)CCO1,1,20.0
CC(CCO)OC1CC(O)CCO1,1,20.0
CCCC(C)OC1CC(O)CCO1,1,20.0
COC(C)COC1CC(O)CCO1,1,20.0
OCC(O)COC1CC(O)CCO1,1,20.0
CCOCCOC1CC(O)CCO1,1,20.0
OCOCCOC1CC(O)CCO1,1,20.0
OCCCCOC1CC(O)CCO1,1,20.0
CC(O)CCOC1CC(O)CCO1,1,20.0
CCC(O)COC1CC(O)CCO1,1,20.0
CC(O)C(C)OC1OCCCC1O,1,20.0
COCC(C)OC1OCCCC1O,1,20.0
CCC(CO)OC1OCCCC1O,1,20.0
OCC(CO)OC1OCCCC1O,1,20.0
CCC(CC)OC1OCCCC1O,1,20.0
CC(CCO)OC1OCCCC1O,1,20.0
CCCC(C)OC1OCCCC1O,1,20.0
COC(C)COC1OCCCC1O,1,20.0
OCC(O)COC1OCCCC1O,1,20.0
CCOCCOC1OCCCC1O,1,20.0
OCOCCOC1OCCCC1O,1,20.0
OCCCCOC1OCCCC1O,1,20.0
CC(O)CCOC1OCCCC1O,1,20.0
CCC(O)COC1OCCCC1O,1,20.0
COC(C)C(C)OC1CCCCO1,1,20.0
CCC(OC1CCCCO1)C(C)O,1,20.0
CC(O)C(CO)OC1CCCCO1,1,20.0
CC(OC1CCCCO1)C(O)CO,1,20.0
C1CCC(OC2CCCOC2)OC1,1,20.0
CC(COCO)OC1CCCCO1,1,20.0
COCC(CO)OC1CCCCO1,1,20.0
OCCC(CO)OC1CCCCO1,1,20.0
CCCC(CC)OC1CCCCO1,1,20.0
CCC(CCO)OC1CCCCO1,1,20.0
CC(CCCO)OC1CCCCO1,1,20.0
CC(O)CC(C)OC1CCCCO1,1,20.0
CCC(O)C(C)OC1CCCCO1,1,20.0
CCOC(C)COC1CCCCO1,1,20.0
CC(COC1CCCCO1)OCO,1,20.0
COC(CO)COC1CCCCO1,1,20.0
CC(O)OCCOC1CCCCO1,1,20.0
OCCOCCOC1CCCCO1,1,20.0
OC(O)CCCOC1CCCCO1,1,20.0
OCC(O)CCOC1CCCCO1,1,20.0
OCCC(O)COC1CCCCO1,1,20.0
CC(O)C(O)COC1CCCCO1,1,20.0
COC(C)C(C)OCOCCCO,1,20.0
CCC(OCOCCCO)C(C)O,1,20.0
OCCCOCOC1CCCOC1,1,20.0
CC(COCO)OCOCCCO,1,20.0
COCC(CO)OCOCCCO,1,20.0
CCCC(CC)OCOCCCO,1,20.0
CCC(CCO)OCOCCCO,1,20.0
CC(CCCO)OCOCCCO,1,20.0
CC(O)CC(C)OCOCCCO,1,20.0
CCC(O)C(C)OCOCCCO,1,20.0
CCOC(C)COCOCCCO,1,20.0
CC(COCOCCCO)OCO,1,20.0
COC(CO)COCOCCCO,1,20.0
CC(O)OCCOCOCCCO,1,20.0
OCCCOCOCCOCCO,1,20.0
OCCCOCOCCCC(O)O,1,20.0
OCCCOCOCCC(O)CO,1,20.0
OCCCOCOCC(O)CCO,1,20.0
CC(O)C(O)COCOCCCO,1,20.0
CCCOCOC1CCCOC1C,1,20.0
CCCOCOC(C)C(C)OCO,1,20.0
CCCOCOC(CO)C(C)OC,1,20.0
CCCOCOC(C)C(CO)OC,1,20.0
CCCOCOC(CCO)C(C)O,1,20.0
CCCOCOC(C(C)O)C(C)O,1,20.0
CCCOCOC(CC)C(O)CO,1,20.0
CCCOCOC1CCC(O)OC1,1,20.0
CCCOCOC1COCC(O)C1,1,20.0
CCCOCOC1COCCC1O,1,20.0
CCCOCOC(CO)COCO,1,20.0
CCCOCOC(CC)CCCO,1,20.0
CCCOCOC(CC)CC(C)O,1,20.0
CCCOCOC(CC)C(O)CC,1,20.0
CCCOCOC(CCC)CCO,1,20.0
CCCOCOC(CCO)CCO,1,20.0
CCCOCOC(C)CC(O)CO,1,20.0
CCCOCOC(C)C(O)CCO,1,20.0
